[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Cocaine.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Orciprenaline is combined with Cocaine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Cocaine.]
[J01CF04, oxacillin, The risk or severity of methemoglobinemia can be increased when Oxacillin is combined with Cocaine.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01MB05, oxolinic acid, The risk or severity of methemoglobinemia can be increased when Oxolinic acid is combined with Cocaine.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Cocaine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Cocaine is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Cocaine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Cocaine.]
[S01AA04, oxytetracycline, The risk or severity of methemoglobinemia can be increased when Oxytetracycline is combined with Cocaine.]
[H01BB02, oxytocin, The risk or severity of hypertension can be increased when Cocaine is combined with Oxytocin.]
[J04AA01, aminosalicylic acid, The risk or severity of methemoglobinemia can be increased when Aminosalicylic acid is combined with Cocaine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Asenapine.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Cocaine is combined with Tapentadol.]
[M03AC01, pancuronium, Pancuronium may increase the neuromuscular blocking activities of Cocaine.]
[J04AB30, capreomycin, The risk or severity of methemoglobinemia can be increased when Capreomycin is combined with Cocaine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Cocaine.]
[N05CC05, paraldehyde, The risk or severity of methemoglobinemia can be increased when Paraldehyde is combined with Cocaine.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A07AA06, paromomycin, The risk or severity of methemoglobinemia can be increased when Paromomycin is combined with Cocaine.]
[J01MA03, pefloxacin, The risk or severity of methemoglobinemia can be increased when Pefloxacin is combined with Cocaine.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Cocaine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Penfluridol is combined with Cocaine.]
[S01AA14, penicillin G, The risk or severity of methemoglobinemia can be increased when Benzylpenicillin is combined with Cocaine.]
[J01CE09, penicillin G procaine, The risk or severity of methemoglobinemia can be increased when Procaine benzylpenicillin is combined with Cocaine.]
[J01CE02, penicillin V, The risk or severity of methemoglobinemia can be increased when Phenoxymethylpenicillin is combined with Cocaine.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Cocaine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of methemoglobinemia can be increased when Pentobarbital is combined with Cocaine.]
[L01XX08, pentostatin, The risk or severity of methemoglobinemia can be increased when Pentostatin is combined with Cocaine.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Cocaine.]
[L01FX01, edrecolomab, The risk or severity of methemoglobinemia can be increased when Edrecolomab is combined with Cocaine.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Cocaine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Cocaine is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Cocaine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Cocaine.]
[N03AA02, phenobarbital, The risk or severity of methemoglobinemia can be increased when Phenobarbital is combined with Cocaine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Cocaine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Cocaine is combined with Phenoperidine.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Cocaine.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Cocaine.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Phenylpropanolamine is combined with Cocaine.]
[N03AB02, phenytoin, The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Cocaine.]
[L01XF02, alitretinoin, The risk or severity of methemoglobinemia can be increased when Alitretinoin is combined with Cocaine.]
[S01AE08, besifloxacin, The risk or severity of methemoglobinemia can be increased when Besifloxacin is combined with Cocaine.]
[S01AE05, levofloxacin, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Cocaine.]
[V03AB19, physostigmine, Physostigmine may increase the neuromuscular blocking activities of Cocaine.]
[L02BB03, bicalutamide, The risk or severity of methemoglobinemia can be increased when Bicalutamide is combined with Cocaine.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Mibefradil is combined with Cocaine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Cocaine.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01CA12, piperacillin, The risk or severity of methemoglobinemia can be increased when Piperacillin is combined with Cocaine.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Saquinavir is combined with Cocaine.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Cocaine.]
[L01AX02, pipobroman, The risk or severity of methemoglobinemia can be increased when Pipobroman is combined with Cocaine.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Cocaine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Cocaine is combined with Piritramide.]
[J01DD16, cefditoren, The risk or severity of methemoglobinemia can be increased when Cefditoren is combined with Cocaine.]
[J01MA11, grepafloxacin, The risk or severity of methemoglobinemia can be increased when Grepafloxacin is combined with Cocaine.]
[J01CA02, pivampicillin, The risk or severity of methemoglobinemia can be increased when Pivampicillin is combined with Cocaine.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Cocaine.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L02BG03, anastrozole, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Cocaine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Cocaine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S03AA03, polymyxin B, The risk or severity of methemoglobinemia can be increased when Polymyxin B is combined with Cocaine.]
[C03AA05, polythiazide, The serum concentration of Polythiazide can be increased when it is combined with Cocaine.]
[J05AE03, ritonavir, The serum concentration of Cocaine can be increased when it is combined with Ritonavir.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Cocaine is combined with Potassium chloride.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Cocaine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Cocaine.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01AA08, prednimustine, The risk or severity of methemoglobinemia can be increased when Prednimustine is combined with Cocaine.]
[S03BA02, prednisolone, The risk or severity of methemoglobinemia can be increased when Prednisolone is combined with Cocaine.]
[H02AB07, prednisone, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Cocaine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Cocaine.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Cocaine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Prilocaine is combined with Cocaine.]
[P01BA03, primaquine, The risk or severity of methemoglobinemia can be increased when Primaquine is combined with Cocaine.]
[N03AA03, primidone, The risk or severity of methemoglobinemia can be increased when Primidone is combined with Cocaine.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Cocaine.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Cocaine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Cocaine.]
[L01XB01, procarbazine, The risk or severity of methemoglobinemia can be increased when Procarbazine is combined with Cocaine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Cocaine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Cocaine.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Promazine is combined with Cocaine.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Cocaine.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Cocaine.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XH02, romidepsin, The risk or severity of methemoglobinemia can be increased when Romidepsin is combined with Cocaine.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Cocaine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Propranolol may increase the vasoconstricting activities of Cocaine.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J04AD01, prothionamide, The risk or severity of methemoglobinemia can be increased when Protionamide is combined with Cocaine.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Cocaine.]
[N05AX12, aripiprazole, Aripiprazole may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Cocaine is combined with Dalfampridine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Cocaine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Cocaine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Cocaine is combined with Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J04AK01, pyrazinamide, The risk or severity of methemoglobinemia can be increased when Pyrazinamide is combined with Cocaine.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the neuromuscular blocking activities of Cocaine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[P01BD01, pyrimethamine, The risk or severity of methemoglobinemia can be increased when Pyrimethamine is combined with Cocaine.]
[P01AX05, quinacrine, The risk or severity of methemoglobinemia can be increased when Quinacrine is combined with Cocaine.]
[C01BA01, quinidine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Cocaine.]
[P01BC01, quinine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Cocaine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J04AB02, rifampin, The risk or severity of methemoglobinemia can be increased when Rifampicin is combined with Cocaine.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Cocaine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Ritodrine is combined with Cocaine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01AA09, rolitetracycline, The risk or severity of methemoglobinemia can be increased when Rolitetracycline is combined with Cocaine.]
[J01FA06, roxithromycin, The risk or severity of methemoglobinemia can be increased when Roxithromycin is combined with Cocaine.]
[A07EC01, sulfasalazine, The risk or severity of methemoglobinemia can be increased when Sulfasalazine is combined with Cocaine.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CA06, secobarbital, The risk or severity of methemoglobinemia can be increased when Secobarbital is combined with Cocaine.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Cocaine.]
[L01FA03, obinutuzumab, The risk or severity of methemoglobinemia can be increased when Obinutuzumab is combined with Cocaine.]
[D06BA01, silver sulfadiazine, The risk or severity of methemoglobinemia can be increased when Silver sulfadiazine is combined with Cocaine.]
[J01GB08, sisomicin, The risk or severity of methemoglobinemia can be increased when Sisomicin is combined with Cocaine.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Cocaine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Cocaine.]
[L01CD04, cabazitaxel, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Cocaine.]
[J01FA02, spiramycin, The risk or severity of methemoglobinemia can be increased when Spiramycin is combined with Cocaine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AG01, valproic acid, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Cocaine.]
[L01CD03, paclitaxel poliglumex, The risk or severity of methemoglobinemia can be increased when Paclitaxel poliglumex is combined with Cocaine.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Cocaine is combined with Ipratropium.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
