[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Carbamazepine.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be increased when combined with Carbamazepine.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be increased when combined with Carbamazepine.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be increased when combined with Carbamazepine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01EC01, acetazolamide, The serum concentration of Carbamazepine can be increased when it is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be increased when combined with Carbamazepine.]
[V03AB37, idarucizumab, Idarucizumab may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Carbamazepine.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Carbamazepine can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Carbamazepine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Carbamazepine.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be decreased when it is combined with Carbamazepine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Carbamazepine.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Carbamazepine.]
[B01AC27, selexipag, The metabolism of Selexipag can be increased when combined with Carbamazepine.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be increased when combined with Carbamazepine.]
[M04AB05, lesinurad, The metabolism of Carbamazepine can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Carbamazepine can be decreased when combined with Elbasvir.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be increased when combined with Carbamazepine.]
[N05CA05, aprobarbital, The metabolism of Carbamazepine can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, Carbamazepine may increase the Change in thyroid function activities of Brivaracetam.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Carbamazepine.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be increased when combined with Carbamazepine.]
[N04BC01, bromocriptine, The metabolism of Bromocriptine can be increased when combined with Carbamazepine.]
[A02AD05, aluminum magnesium silicate, Almasilate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Carbamazepine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Amineptine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Carbamazepine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Carbamazepine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Bupivacaine.]
[N07BC01, buprenorphine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Carbamazepine can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Carbamazepine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Carbamazepine can be decreased when combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Butorphanol.]
[R06AX09, azatadine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Carbamazepine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Carbamazepine.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Carbamazepine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be decreased when it is combined with Carbamazepine.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Carbamazepine.]
[A06AH05, naldemedine, Naldemedine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Carbamazepine can be decreased when combined with Deutetrabenazine.]
[N03AX30, beclamide, Carbamazepine may increase the Change in thyroid function activities of Beclamide.]
[N06BC01, caffeine, The serum concentration of Caffeine can be decreased when it is combined with Carbamazepine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Carbamazepine can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, Benznidazole may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Carbamazepine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Linezolid.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Tipranavir can be decreased when it is combined with Carbamazepine.]
[N07XX13, valbenazine, The metabolism of Carbamazepine can be decreased when combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Carbamazepine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Carbamazepine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Carbamazepine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Safinamide.]
[L04AC14, sarilumab, The metabolism of Carbamazepine can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Delafloxacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Carbamazepine.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Carbamazepine can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Carbamazepine.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Carbamazepine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Carbamazepine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Carbamazepine.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be increased when combined with Carbamazepine.]
[J05AG03, efavirenz, The metabolism of Carbamazepine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N04AA11, bornaprine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Carbamazepine.]
