[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Mometasone.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Mometasone is combined with Fluprednidene.]
[M01AC04, droxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Droxicam.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Dexketoprofen.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Mometasone is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Mometasone is combined with Stepronin.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be increased when combined with Mometasone.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Mometasone.]
[L04AC19, satralizumab, The serum concentration of Mometasone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Mometasone.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be increased when combined with Mometasone.]
[C03AA04, chlorothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be increased when combined with Mometasone.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Mometasone.]
[A10BB02, chlorpropamide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Chlorpropamide.]
[C03BA04, chlorthalidone, Mometasone may increase the hypokalemic activities of Chlorthalidone.]
[A11CC05, cholecalciferol, The therapeutic efficacy of Cholecalciferol can be decreased when used in combination with Mometasone.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine may increase the excretion rate of Mometasone which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DC06, ethynodiol, The serum concentration of Mometasone can be increased when it is combined with Etynodiol.]
[M01AB08, etodolac, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Etofenamate.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be increased when combined with Mometasone.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Mometasone is combined with Fludarabine.]
[L02BX04, relugolix, The metabolism of Relugolix can be increased when combined with Mometasone.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Mometasone is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Mometasone can be increased when it is combined with Abametapir.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Fenbufen.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Mometasone.]
[J01MB07, flumequine, The risk or severity of tendinopathy can be increased when Mometasone is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Mometasone.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Mometasone.]
[R03CC15, formoterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Mometasone is combined with Ponesimod.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Mometasone.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Mometasone.]
[J01MB06, cinoxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Mometasone can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Mometasone.]
[S03AA07, ciprofloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Cisplatin can be decreased when used in combination with Mometasone.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Mometasone is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The serum concentration of the active metabolites of Mometasone can be decreased when Mometasone is used in combination with Somapacitan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Mometasone.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Mometasone is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Mometasone.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Anifrolumab.]
[H01AC09, lonapegsomatropin, The serum concentration of the active metabolites of Mometasone can be decreased when Mometasone is used in combination with Lonapegsomatropin.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be increased when combined with Mometasone.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Mefenamic acid.]
[A10BB12, glimepiride, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Mometasone.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Mometasone is combined with Ropeginterferon alfa-2b.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Mometasone.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Mometasone.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Mometasone.]
[C01EB24, mavacamten, The serum concentration of Mometasone can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Tirzepatide.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be increased when combined with Mometasone.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Mometasone is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Mometasone is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Mometasone.]
[A10BX01, guar gum, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Sotagliflozin.]
[H01AC08, somatrogon, The serum concentration of the active metabolites of Mometasone can be reduced when Mometasone is used in combination with Somatrogon resulting in a loss in efficacy.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Proquazone.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Mometasone.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Mometasone is combined with Leflunomide.]
[A10BX03, nateglinide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Mecasermin.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Mometasone is combined with Nelarabine.]
[A10AE04, insulin glargine, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be increased when combined with Mometasone.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Mometasone is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Indobufen.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Mometasone.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Mometasone is combined with Lanatoside C.]
