[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[D05AX03, calcitriol, The metabolism of Tramadol can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, Tramadol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome and seizure can be increased when Linezolid is combined with Tramadol.]
[J05AF06, abacavir, Tramadol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tramadol can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Tramadol may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Tramadol can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Tramadol can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Tramadol can be increased when combined with Brigatinib.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome and seizure can be increased when Safinamide is combined with Tramadol.]
[L04AC14, sarilumab, The metabolism of Tramadol can be decreased when combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Tramadol can be increased when combined with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Tramadol can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, Tramadol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Tramadol can be decreased when combined with Enasidenib.]
[C07AB07, bisoprolol, Tramadol may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Tramadol can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Tramadol.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bornaprine is combined with Tramadol.]
[N05AD06, bromperidol, The risk or severity of CNS depression can be increased when Bromperidol is combined with Tramadol.]
[N05CD09, brotizolam, The risk or severity of CNS depression can be increased when Brotizolam is combined with Tramadol.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Tramadol can be increased when combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Tramadol can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of CNS depression can be increased when Butobarbital is combined with Tramadol.]
[J05AX18, letermovir, The metabolism of Tramadol can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of serotonin syndrome can be increased when Butriptyline is combined with Tramadol.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Tramadol is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The metabolism of Tramadol can be decreased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of CNS depression can be increased when Vinylbital is combined with Tramadol.]
[R06AX18, acrivastine, Tramadol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Tramadol.]
[L02BB05, apalutamide, The metabolism of Tramadol can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Tramadol.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Tramadol.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Camylofin is combined with Tramadol.]
[R06AA08, carbinoxamine, The risk or severity of CNS depression can be increased when Carbinoxamine is combined with Tramadol.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Tramadol.]
[B02BX09, fostamatinib, The metabolism of Tramadol can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of serotonin syndrome can be increased when Cannabidiol is combined with Tramadol.]
[L04AA37, baricitinib, Tramadol may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Tramadol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01GB14, plazomicin, Tramadol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Tramadol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Tramadol.]
[L01XX62, ivosidenib, The metabolism of Tramadol can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Tramadol.]
[A16AX14, migalastat, Tramadol may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Tramadol can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Tramadol can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Tramadol can be decreased when combined with Dacomitinib.]
[S01GX12, cetirizine, The risk or severity of CNS depression can be increased when Cetirizine is combined with Tramadol.]
[N05CM04, carbromal, The risk or severity of CNS depression can be increased when Carbromal is combined with Tramadol.]
[N01BA04, chloroprocaine, The risk or severity of CNS depression can be increased when Chloroprocaine is combined with Tramadol.]
[D08AE05, chloroxylenol, Tramadol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Chlorphenoxamine is combined with Tramadol.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Tramadol.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Revefenacin is combined with Tramadol.]
[L01ED05, lorlatinib, The metabolism of Tramadol can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Tramadol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Tramadol may decrease the excretion rate of Carmustine which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Tramadol can be decreased when used in combination with Gilteritinib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Tramadol is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Tramadol.]
[B01AC23, cilostazol, Tramadol may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of serotonin syndrome can be increased when Cinitapride is combined with Tramadol.]
[P02BX04, triclabendazole, The metabolism of Tramadol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Tramadol is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Tramadol can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Tramadol.]
[N06AX29, brexanolone, The risk or severity of CNS depression can be increased when Brexanolone is combined with Tramadol.]
[N05BA09, clobazam, The metabolism of Tramadol can be decreased when combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Tramadol.]
[N05BA22, cloxazolam, The risk or severity of CNS depression can be increased when Cloxazolam is combined with Tramadol.]
[L04AB01, etanercept, The metabolism of Tramadol can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Tramadol can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
