[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluconazole.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Fluconazole.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Saxagliptin is combined with Fluconazole.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Fluconazole.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Fluconazole.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Insulin lispro is combined with Fluconazole.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Fluconazole.]
[C07AB01, practolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Prajmaline.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Fluconazole.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Fluconazole.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Fluconazole.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Fluconazole.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Antazoline.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be decreased when combined with Fluconazole.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Fluconazole.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Fluconazole.]
[M04AB01, probenecid, Fluconazole may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Probucol.]
[C01BA02, procainamide, Fluconazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Fluconazole.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Fluconazole.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Fluconazole.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Fluconazole.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Fluconazole.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Fluconazole.]
[A03AB05, propantheline, Fluconazole may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Fluconazole.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Fluconazole.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Fluconazole.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Fluconazole.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Fluconazole.]
[N02CC04, rizatriptan, Fluconazole may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Fluconazole may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Fluconazole.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Protriptyline.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Fluconazole.]
[N07XX07, dalfampridine, Fluconazole may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Fluconazole may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Fluconazole may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Fluconazole.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Fluconazole.]
[C01BA01, quinidine, The serum concentration of Quinidine can be increased when it is combined with Fluconazole.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Fluconazole.]
[A02BA02, ranitidine, Ranitidine can cause a decrease in the absorption of Fluconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Rescinnamine.]
[C02AA02, reserpine, Fluconazole may decrease the excretion rate of Reserpine which could result in a higher serum level.]
[J05AP01, ribavirin, Fluconazole may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, Rifampicin may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be decreased when combined with Fluconazole.]
[N02BA05, salicylamide, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Fluconazole.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Fluconazole.]
[N05CA06, secobarbital, Fluconazole may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Fluconazole.]
[J01GB08, sisomicin, Fluconazole may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Fluconazole may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Fluconazole may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Sotalol.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Fluconazole.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Fluconazole.]
[C01DA14, isosorbide mononitrate, Fluconazole may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Levoketoconazole can be decreased when combined with Fluconazole.]
[D10AX03, azelaic acid, Fluconazole may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[C10AA01, simvastatin, HMG Co-A reductase inhibitors - CYP3A4 inhibitors]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[L01CE02, irinotecan, Irinotecan - CYP3A4 inhibitors]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[C10AA02, lovastatin, HMG Co-A reductase inhibitors - CYP3A4 inhibitors]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
