[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Pindolol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Pindolol is combined with Opium.]
[R03CB03, metaproterenol, Pindolol may decrease the bronchodilatory activities of Orciprenaline.]
[G04CA02, tamsulosin, Pindolol may increase the orthostatic hypotensive activities of Tamsulosin.]
[C01AC01, ouabain, Pindolol may increase the bradycardic activities of Ouabain.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Pindolol can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pindolol.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pindolol.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Pindolol.]
[S01GA04, oxymetazoline, The risk or severity of cardiovascular complications can be increased when Pindolol is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Pindolol is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Pindolol is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Pindolol.]
[A03AB03, oxyphenonium, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, Pindolol may increase the orthostatic hypotensive activities of Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[M03AC01, pancuronium, Pancuronium may increase the bradycardic activities of Pindolol.]
[J04AB30, capreomycin, Pindolol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Pindolol is combined with Papaverine.]
[N05CC05, paraldehyde, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Pindolol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[G04BD11, fesoterodine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of bradycardia can be increased when Penfluridol is combined with Pindolol.]
[J01CE09, penicillin G procaine, Pindolol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Pindolol.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Pindolol.]
[L01XX08, pentostatin, Pindolol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Pindolol.]
[N05AB10, perazine, The serum concentration of Pindolol can be increased when it is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Pindolol.]
[C08EX02, perhexiline, The risk or severity of bradycardia can be increased when Perhexiline is combined with Pindolol.]
[N05AB03, perphenazine, The serum concentration of Pindolol can be increased when it is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Pindolol.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Pindolol is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Pindolol.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Pindolol.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Pindolol is combined with Phenindione.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Pindolol.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Pindolol is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Pindolol may increase the orthostatic hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Pindolol is combined with Phenprocoumon.]
[A08AA01, phentermine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Pindolol may increase the orthostatic hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Pindolol.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Pindolol.]
[R01BA01, phenylpropanolamine, Pindolol may decrease the bronchodilatory activities of Phenylpropanolamine.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Pindolol.]
[L04AB06, golimumab, The metabolism of Pindolol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Pindolol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AB19, physostigmine, Physostigmine may increase the bradycardic activities of Pindolol.]
[B02BA01, vitamin K1, Pindolol may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of bradycardia can be increased when Mibefradil is combined with Pindolol.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Pindolol is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Pindolol.]
[N07XX04, sodium oxybate, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Pindolol can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Pindolol.]
[N05AC04, pipothiazine, The serum concentration of Pindolol can be increased when it is combined with Pipotiazine.]
[N06BX03, piracetam, Pindolol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Eprosartan may increase the hypotensive activities of Pindolol.]
[A02BX03, pirenzepine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Pindolol is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Pindolol.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N02CX01, pizotyline, Pindolol may increase the orthostatic hypotensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Pindolol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Pindolol may increase the hypotensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Pindolol is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Pindolol.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Pindolol is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Pindolol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Pindolol can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Pindolol.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Pindolol.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Pindolol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Pindolol.]
[C07AB01, practolol, Pindolol may increase the hypotensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Prazepam.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Pindolol.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C01DX02, prenylamine, The risk or severity of bradycardia can be increased when Prenylamine is combined with Pindolol.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Pindolol.]
[P01BA03, primaquine, The metabolism of Pindolol can be decreased when combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Pindolol.]
[M04AB01, probenecid, Pindolol may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Pindolol.]
[S01HA05, procaine, Procaine may increase the bradycardic activities of Pindolol.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Pindolol.]
[C10AB05, fenofibrate, Pindolol may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The serum concentration of Pindolol can be increased when it is combined with Prochlorperazine.]
[N04AA04, procyclidine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Pindolol.]
[N05AA03, promazine, The serum concentration of Pindolol can be increased when it is combined with Promazine.]
[R06AD02, promethazine, The serum concentration of Pindolol can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of adverse effects can be increased when Propafenone is combined with Pindolol.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Pindolol is combined with Propanidid.]
[A03AB05, propantheline, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The serum concentration of Pindolol can be increased when it is combined with Periciazine.]
[N05CM06, propiomazine, Pindolol may increase the orthostatic hypotensive activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Pindolol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Pindolol.]
[C07AA05, propranolol, Propranolol may increase the hypotensive activities of Pindolol.]
[C01AB01, proscillaridin, Pindolol may increase the bradycardic activities of Proscillaridin.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Pindolol.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Pindolol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Pindolol.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Pindolol.]
[N07XX07, dalfampridine, Pindolol may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Pindolol.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Pindolol is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Pindolol is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Pindolol is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Pindolol is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Pindolol.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the bradycardic activities of Pindolol.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Pindolol is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Pindolol can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Pindolol can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Pindolol can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Pindolol.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Pindolol.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Pindolol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Pindolol.]
[G02CA01, ritodrine, Pindolol may decrease the bronchodilatory activities of Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Pindolol is combined with Oxitriptan.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Pindolol.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Pindolol.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Pindolol.]
[S01FA02, scopolamine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Pindolol.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Pindolol.]
[L01FA03, obinutuzumab, Pindolol may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Pindolol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Pindolol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Pindolol may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Pindolol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
