[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ethinylestradiol.]
[J05AE05, amprenavir, The metabolism of Levonorgestrel can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Levonorgestrel.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Levonorgestrel.]
[M01AH02, rofecoxib, The metabolism of Levonorgestrel can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Levonorgestrel can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Levonorgestrel.]
[N03AG02, dipropylacetamide, The metabolism of Levonorgestrel can be increased when combined with Valpromide.]
[S03AA08, chloramphenicol, The metabolism of Levonorgestrel can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Levonorgestrel.]
[D07XB03, fluprednidene, The serum concentration of Fluprednidene can be increased when it is combined with Levonorgestrel.]
[B01AE02, lepirudin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Lepirudin.]
[N05CM02, chlormethiazole, The metabolism of Levonorgestrel can be increased when combined with Clomethiazole.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Levonorgestrel.]
[L04AC19, satralizumab, The serum concentration of Levonorgestrel can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Levonorgestrel.]
[L01EX23, pralsetinib, The metabolism of Levonorgestrel can be increased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Levonorgestrel.]
[N05AA01, chlorpromazine, The metabolism of Levonorgestrel can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Levonorgestrel.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Levonorgestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06BX18, vinpocetine, The metabolism of Levonorgestrel can be increased when combined with Vinpocetine.]
[B06AC06, berotralstat, The metabolism of Levonorgestrel can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Levonorgestrel can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Levonorgestrel.]
[P03AX07, abametapir, The serum concentration of Levonorgestrel can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The metabolism of Levonorgestrel can be increased when combined with Felbamate.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Levonorgestrel.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Levonorgestrel.]
[S02BA08, fluocinolone acetonide, The serum concentration of Fluocinolone acetonide can be increased when it is combined with Levonorgestrel.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Levonorgestrel.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Levonorgestrel.]
[A02BA01, cimetidine, The metabolism of Levonorgestrel can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The metabolism of Levonorgestrel can be increased when combined with Gabapentin.]
[L01XX73, sotorasib, The serum concentration of Levonorgestrel can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Levonorgestrel can be decreased when combined with Ciprofloxacin.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Levonorgestrel.]
[L01XX74, belzutifan, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Levonorgestrel can be decreased when it is combined with Mobocertinib.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Levonorgestrel.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Levonorgestrel.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Levonorgestrel.]
[N06AX25, St. John's wort extract, The metabolism of Levonorgestrel can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The metabolism of Levonorgestrel can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Levonorgestrel can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Levonorgestrel can be increased when combined with Mitapivat.]
[N03AE01, clonazepam, The metabolism of Levonorgestrel can be increased when combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Levonorgestrel is combined with Clonidine.]
[C01EB24, mavacamten, The serum concentration of Levonorgestrel can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, Tirzepatide can cause a decrease in the absorption of Levonorgestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Levonorgestrel.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Levonorgestrel.]
[J01CF02, cloxacillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Levonorgestrel can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Levonorgestrel.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Levonorgestrel.]
[H01AC08, somatrogon, The metabolism of Levonorgestrel can be increased when combined with Somatrogon.]
[M09AX11, palovarotene, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Palovarotene.]
[L04AC21, bimekizumab, The metabolism of Levonorgestrel can be increased when combined with Bimekizumab.]
[J01CA18, hetacillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Hetacillin.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Levonorgestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C04AX28, ifenprodil, The metabolism of Levonorgestrel can be increased when combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Levonorgestrel.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Levonorgestrel.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Levonorgestrel.]
[J01FA15, telithromycin, The metabolism of Levonorgestrel can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Levonorgestrel.]
[J02AC02, itraconazole, The metabolism of Levonorgestrel can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Bemiparin.]
[L01EA01, imatinib, The metabolism of Levonorgestrel can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Levonorgestrel can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Lamotrigine.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Levonorgestrel.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Levonorgestrel.]
[J01CA14, methampicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Metampicillin.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Levonorgestrel.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Levonorgestrel.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Levonorgestrel.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Levonorgestrel.]
[N06BA07, modafinil, The metabolism of Levonorgestrel can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, Rosuvastatin may decrease the excretion rate of Levonorgestrel which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Levonorgestrel can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Levonorgestrel.]
[G03XA01, danazol, The metabolism of Levonorgestrel can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Levonorgestrel can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Levonorgestrel can be increased when combined with Daunorubicin.]
[J01AA01, demeclocycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Demeclocycline.]
[N06AX06, nefazodone, The metabolism of Levonorgestrel can be decreased when combined with Nefazodone.]
[N03AG06, tiagabine, The metabolism of Levonorgestrel can be increased when combined with Tiagabine.]
[B01AX05, fondaparinux, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Fondaparinux.]
[D07XC02, desoximetasone, The serum concentration of Desoximetasone can be increased when it is combined with Levonorgestrel.]
[H02AA03, desoxycorticosterone, The serum concentration of Desoxycortone can be increased when it is combined with Levonorgestrel.]
[N03AF02, oxcarbazepine, The serum concentration of Levonorgestrel can be decreased when it is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dexamethasone can be increased when it is combined with Levonorgestrel.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Levonorgestrel.]
[L04AB04, adalimumab, The metabolism of Levonorgestrel can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Levonorgestrel can be decreased when combined with Gefitinib.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Levonorgestrel.]
[N03AC01, paramethadione, The metabolism of Levonorgestrel can be increased when combined with Paramethadione.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Levonorgestrel.]
[N05BA01, diazepam, The metabolism of Levonorgestrel can be increased when combined with Diazepam.]
[N03AX07, phenacemide, The metabolism of Levonorgestrel can be increased when combined with Phenacemide.]
[J01CE05, phenethicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Pheneticillin.]
[N03AD02, phensuximide, The metabolism of Levonorgestrel can be increased when combined with Phensuximide.]
[J01CF01, dicloxacillin, The metabolism of Levonorgestrel can be increased when combined with Dicloxacillin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Levonorgestrel.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Levonorgestrel.]
[C08CA03, isradipine, The metabolism of Levonorgestrel can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The serum concentration of Difluocortolone can be increased when it is combined with Levonorgestrel.]
[J05AE08, atazanavir, The serum concentration of Levonorgestrel can be increased when it is combined with Atazanavir.]
[C08DB01, diltiazem, The metabolism of Levonorgestrel can be decreased when combined with Diltiazem.]
[N03AG05, progabide, The metabolism of Levonorgestrel can be increased when combined with Progabide.]
[J01CE03, propicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Propicillin.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Levonorgestrel.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Levonorgestrel.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Levonorgestrel.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Levonorgestrel.]
[S02AA12, rifamycin SV, The metabolism of Levonorgestrel can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Levonorgestrel can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Levonorgestrel can be increased when combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Levonorgestrel.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Levonorgestrel.]
[A04AD12, aprepitant, The serum concentration of Levonorgestrel can be decreased when it is combined with Aprepitant.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Levonorgestrel.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Levonorgestrel.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Levonorgestrel.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Levonorgestrel.]
[J01AA02, doxycycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Doxycycline.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Levonorgestrel.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Levonorgestrel.]
[J01CA17, temocillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Temocillin.]
[D01BA02, terbinafine, The metabolism of Levonorgestrel can be increased when combined with Terbinafine.]
[N03AX11, topiramate, The metabolism of Levonorgestrel can be increased when combined with Topiramate.]
[J01AA12, tigecycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Tigecycline.]
[B01AC18, triflusal, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Triflusal.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Levonorgestrel.]
[C05CA04, troxerutin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Troxerutin.]
[C08CA12, mepirodipine, The metabolism of Levonorgestrel can be decreased when combined with Barnidipine.]
[N03AX15, zonisamide, The metabolism of Levonorgestrel can be increased when combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Levonorgestrel.]
[B01AD03, anistreplase, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Anistreplase.]
[N02CA02, ergotamine, The metabolism of Levonorgestrel can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Levonorgestrel can be increased when combined with Valproic acid.]
[S01AA17, erythromycin, The metabolism of Levonorgestrel can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The metabolism of Levonorgestrel can be increased when combined with Estazolam.]
[R03BA05, fluticasone, The serum concentration of Fluticasone can be increased when it is combined with Levonorgestrel.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Levonorgestrel.]
[N03AD01, ethosuximide, The metabolism of Levonorgestrel can be increased when combined with Ethosuximide.]
[N03AB01, ethotoin, The metabolism of Levonorgestrel can be increased when combined with Ethotoin.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Levonorgestrel.]
[D05BB01, etretinate, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Etretinate.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Levonorgestrel.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Levonorgestrel.]
[R06AX12, terfenadine, The metabolism of Levonorgestrel can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Levonorgestrel can be decreased when combined with Fluvoxamine.]
[A05AA01, chenodeoxycholic acid, The therapeutic efficacy of Chenodeoxycholic acid can be decreased when used in combination with Levonorgestrel.]
[D11AX24, deoxycholic acid, The therapeutic efficacy of Deoxycholic acid can be decreased when used in combination with Levonorgestrel.]
[B05AA05, dextran, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Dextran.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Levonorgestrel.]
[N03AX26, fenfluramine, The metabolism of Levonorgestrel can be increased when combined with Fenfluramine.]
[B01AD05, plasmin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Fibrinolysin.]
[J01CF05, floxacillin, The metabolism of Levonorgestrel can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The bioavailability of Levonorgestrel can be increased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Levonorgestrel.]
[D07XB01, flumethasone, The serum concentration of Flumethasone can be increased when it is combined with Levonorgestrel.]
[N07CA03, flunarizine, The metabolism of Levonorgestrel can be increased when combined with Flunarizine.]
[D07AC08, fluocinonide, The serum concentration of Fluocinonide can be increased when it is combined with Levonorgestrel.]
[H02AB03, fluocortolone, The serum concentration of Fluocortolone can be increased when it is combined with Levonorgestrel.]
[V03AZ01, ethanol, The metabolism of Levonorgestrel can be increased when combined with Ethanol.]
[S01CB05, fluorometholone, The serum concentration of Fluorometholone can be increased when it is combined with Levonorgestrel.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Levonorgestrel.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Levonorgestrel.]
[J05AE10, darunavir, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Darunavir.]
[N03AA04, barbexaclone, The metabolism of Levonorgestrel can be increased when combined with Barbexaclone.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Levonorgestrel.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Levonorgestrel.]
[J05AG04, etravirine, The metabolism of Levonorgestrel can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Levonorgestrel can be increased when combined with Methsuximide.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Levonorgestrel.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Levonorgestrel.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Levonorgestrel.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Levonorgestrel.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Levonorgestrel.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Levonorgestrel.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Fluindione.]
[D01BA01, griseofulvin, The metabolism of Levonorgestrel can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Levonorgestrel.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Levonorgestrel.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Levonorgestrel.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Levonorgestrel.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Levonorgestrel.]
[S01XA14, heparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Heparin.]
[N05CA16, hexobarbital, The metabolism of Levonorgestrel can be increased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Levonorgestrel can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Levonorgestrel can be decreased when combined with Nilvadipine.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Levonorgestrel.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Hydrocortisone butyrate can be increased when it is combined with Levonorgestrel.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be decreased when combined with Levonorgestrel.]
[J04AB04, rifabutin, The metabolism of Levonorgestrel can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Sodium citrate.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Levonorgestrel.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Levonorgestrel.]
[R01AD07, tixocortol, The serum concentration of Tixocortol can be increased when it is combined with Levonorgestrel.]
[M03BX02, tizanidine, The metabolism of Levonorgestrel can be increased when combined with Tizanidine.]
[N06AX17, milnacipran, The metabolism of Levonorgestrel can be decreased when combined with Milnacipran.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Levonorgestrel.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Levonorgestrel.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Levonorgestrel.]
[C10AA06, cerivastatin, The metabolism of Levonorgestrel can be increased when combined with Cerivastatin.]
[J04AC01, isoniazid, The metabolism of Levonorgestrel can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, Exenatide can cause a decrease in the absorption of Levonorgestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D10BA01, isotretinoin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Isotretinoin.]
[B01AE06, bivalirudin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Bivalirudin.]
[L04AC07, tocilizumab, The metabolism of Levonorgestrel can be increased when combined with Tocilizumab.]
[B01AC22, prasugrel, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Prasugrel.]
[H02CA04, levoketoconazole, The metabolism of Levonorgestrel can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Levonorgestrel can be decreased when combined with Ketoconazole.]
[V03AC03, deferasirox, The metabolism of Levonorgestrel can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Levonorgestrel can be increased when combined with Abatacept.]
[N03AX18, lacosamide, The metabolism of Levonorgestrel can be increased when combined with Lacosamide.]
[A05AA02, ursodiol, The therapeutic efficacy of Ursodeoxycholic acid can be decreased when used in combination with Levonorgestrel.]
[J01CA11, amdinocillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Pivmecillinam.]
[B06AC01, C1 esterase inhibitor (human), The risk or severity of thromboembolism can be increased when Levonorgestrel is combined with Human C1-esterase inhibitor.]
[R03BA09, fluticasone furoate, The serum concentration of Fluticasone furoate can be increased when it is combined with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Levonorgestrel can be decreased when combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Levonorgestrel can be increased when combined with Armodafinil.]
[N05BA06, lorazepam, The metabolism of Levonorgestrel can be increased when combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Levonorgestrel can be decreased when combined with Lovastatin.]
[J01AA04, lymecycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Lymecycline.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Levonorgestrel.]
[V04CC02, magnesium sulfate, The metabolism of Levonorgestrel can be increased when combined with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Levonorgestrel can be decreased when combined with Nilotinib.]
[N05BA03, medazepam, The metabolism of Levonorgestrel can be increased when combined with Medazepam.]
[B01AB06, nadroparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Dalteparin.]
[N03AB04, mephenytoin, The metabolism of Levonorgestrel can be increased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Levonorgestrel can be increased when combined with Methylphenobarbital.]
[L02BG01, aminoglutethimide, The metabolism of Levonorgestrel can be increased when combined with Aminoglutethimide.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Levonorgestrel.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Levonorgestrel.]
[J01AA05, methacycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Metacycline.]
[N03AA30, metharbital, The metabolism of Levonorgestrel can be increased when combined with Metharbital.]
[H03BB02, methimazole, The metabolism of Levonorgestrel can be decreased when combined with Methimazole.]
[N05CA15, methohexital, The metabolism of Levonorgestrel can be increased when combined with Methohexital.]
[V04CG05, methylene blue, The metabolism of Levonorgestrel can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Levonorgestrel.]
[N03AF03, rufinamide, The metabolism of Levonorgestrel can be increased when combined with Rufinamide.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Levonorgestrel.]
[V04CD01, metyrapone, The metabolism of Levonorgestrel can be increased when combined with Metyrapone.]
[J01CA10, mezlocillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Mezlocillin.]
[S02AA13, miconazole, The metabolism of Levonorgestrel can be decreased when combined with Miconazole.]
[B01AB07, parnaparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Parnaparin.]
[N05CD08, midazolam, The metabolism of Midazolam can be decreased when combined with Levonorgestrel.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Levonorgestrel.]
[B01AB10, tinzaparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Tinzaparin.]
[J01AA08, minocycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Minocycline.]
[L01XX23, mitotane, The metabolism of Levonorgestrel can be increased when combined with Mitotane.]
[C01BD01, amiodarone, The metabolism of Levonorgestrel can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Levonorgestrel can be decreased when combined with Amitriptyline.]
[L04AB05, certolizumab pegol, The metabolism of Levonorgestrel can be increased when combined with Certolizumab pegol.]
[L04AA06, mycophenolic acid, The serum concentration of Levonorgestrel can be decreased when it is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Levonorgestrel can be increased when combined with Amobarbital.]
[N03AB05, fosphenytoin, The metabolism of Levonorgestrel can be increased when combined with Fosphenytoin.]
[J01CA04, amoxicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Amoxicillin.]
[J01CF06, nafcillin, The metabolism of Levonorgestrel can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Levonorgestrel can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Levonorgestrel can be increased when combined with Anakinra.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Levonorgestrel.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Levonorgestrel.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Levonorgestrel.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Levonorgestrel.]
[S01AA19, ampicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Ampicillin.]
[N06AX23, desvenlafaxine, The metabolism of Levonorgestrel can be decreased when combined with Desvenlafaxine.]
[C08CA04, nicardipine, The metabolism of Levonorgestrel can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Levonorgestrel.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Levonorgestrel.]
[N05CD02, nitrazepam, The metabolism of Levonorgestrel can be increased when combined with Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Levonorgestrel.]
[N05CF03, zaleplon, The metabolism of Levonorgestrel can be increased when combined with Zaleplon.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Levonorgestrel.]
[C02KX01, bosentan, The serum concentration of Levonorgestrel can be decreased when it is combined with Bosentan.]
[B01AB08, reviparin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Reviparin.]
[H01CB02, octreotide, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Octreotide.]
[L04AC04, rilonacept, The metabolism of Levonorgestrel can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Levonorgestrel can be increased when combined with Omeprazole.]
[B01AD07, reteplase, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Reteplase.]
