[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ciprofloxacin.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the neuroexcitatory activities of Ciprofloxacin.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Ciprofloxacin.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Ciprofloxacin.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Ciprofloxacin.]
[N06DX01, memantine, Ciprofloxacin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Ciprofloxacin.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Ciprofloxacin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Mepivacaine.]
[G04BX16, tiopronin, Ciprofloxacin may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Ciprofloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Ciprofloxacin.]
[N06BA03, methamphetamine, Ciprofloxacin may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be decreased when combined with Ciprofloxacin.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Lamivudine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Ciprofloxacin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Ciprofloxacin.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L04AX03, methotrexate, The serum concentration of Methotrexate can be increased when it is combined with Ciprofloxacin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Ciprofloxacin.]
[D05BA02, methoxsalen, Ciprofloxacin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Methyldopa.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Ciprofloxacin.]
[G02AB01, methylergonovine, The metabolism of Methylergometrine can be decreased when combined with Ciprofloxacin.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Ciprofloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Ciprofloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Ciprofloxacin.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Ciprofloxacin.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Ciprofloxacin.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Ciprofloxacin.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Ciprofloxacin.]
[V04CD01, metyrapone, Ciprofloxacin may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Ciprofloxacin.]
[J01CA10, mezlocillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Ciprofloxacin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Ciprofloxacin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Ciprofloxacin.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Mifepristone.]
[J05AH01, zanamivir, Ciprofloxacin may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The risk or severity of hyperkalemia can be increased when Valsartan is combined with Ciprofloxacin.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Minocycline.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Ciprofloxacin.]
[N06AA09, amitriptyline, Ciprofloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Ciprofloxacin.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Ciprofloxacin.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Ciprofloxacin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Ciprofloxacin.]
[G04BA01, ammonium chloride, Ciprofloxacin may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Ciprofloxacin.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Ciprofloxacin.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Raltegravir.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Ciprofloxacin.]
[G04CA04, silodosin, The metabolism of Silodosin can be decreased when combined with Ciprofloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ciprofloxacin.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Fosphenytoin can be decreased when used in combination with Ciprofloxacin.]
[C07AA12, nadolol, The excretion of Nadolol can be decreased when combined with Ciprofloxacin.]
[J01CA04, amoxicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Amoxicillin.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ciprofloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Nafcillin.]
[V03AB15, naloxone, Ciprofloxacin may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Naltrexone.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Ciprofloxacin.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Ciprofloxacin.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Ciprofloxacin.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Ciprofloxacin.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Ciprofloxacin.]
[S03AA01, neomycin, Ciprofloxacin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Ciprofloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Levosimendan.]
[B01AC17, tirofiban, Ciprofloxacin may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Ciprofloxacin.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Amphotericin B.]
[S01AA19, ampicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Ampicillin.]
[L03AX16, plerixafor, Ciprofloxacin may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Ciprofloxacin may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Ciprofloxacin.]
[C09CA07, telmisartan, The risk or severity of hyperkalemia can be increased when Telmisartan is combined with Ciprofloxacin.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Ciprofloxacin.]
[C01CE01, inamrinone, Ciprofloxacin may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Ciprofloxacin.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Ciprofloxacin.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Ciprofloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Ciprofloxacin.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Ciprofloxacin.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Ciprofloxacin.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Ciprofloxacin.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Ciprofloxacin can be decreased when used in combination with Nitrofurantoin.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Ciprofloxacin.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Ciprofloxacin.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Ciprofloxacin.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Ciprofloxacin.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be decreased when combined with Ciprofloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Ciprofloxacin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Ofloxacin.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Ciprofloxacin.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Ciprofloxacin.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Ciprofloxacin.]
[J01CF04, oxacillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05BA04, oxazepam, Ciprofloxacin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Ciprofloxacin.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Ciprofloxacin.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Ciprofloxacin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Ciprofloxacin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Ciprofloxacin.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Asenapine.]
[J04AB30, capreomycin, Ciprofloxacin may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Ciprofloxacin.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Ciprofloxacin.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Ciprofloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Ciprofloxacin.]
[C07AA23, penbutolol, Ciprofloxacin may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Penicillamine.]
[S01AA14, penicillin G, The serum concentration of Ciprofloxacin can be increased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Ciprofloxacin can be increased when it is combined with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The serum concentration of Ciprofloxacin can be increased when it is combined with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01XX08, pentostatin, Ciprofloxacin may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be increased when it is combined with Ciprofloxacin.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Ciprofloxacin.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Ciprofloxacin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Ciprofloxacin.]
[G04BX06, phenazopyridine, The bioavailability of Ciprofloxacin can be increased when combined with Phenazopyridine.]
[N06AF03, phenelzine, Ciprofloxacin may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Ciprofloxacin.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Ciprofloxacin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Ciprofloxacin.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Ciprofloxacin.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Ciprofloxacin.]
[V03AB36, phentolamine, Ciprofloxacin may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the neuroexcitatory activities of Ciprofloxacin.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Ciprofloxacin.]
[N03AB02, phenytoin, The therapeutic efficacy of Phenytoin can be decreased when used in combination with Ciprofloxacin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Ciprofloxacin.]
[B02BA01, vitamin K1, Ciprofloxacin may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Ciprofloxacin.]
[C07AA03, pindolol, Ciprofloxacin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Ciprofloxacin.]
[J01CA12, piperacillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Saquinavir.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Ciprofloxacin.]
[N06BX03, piracetam, Ciprofloxacin may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of hyperkalemia can be increased when Eprosartan is combined with Ciprofloxacin.]
[S01BC06, piroxicam, Piroxicam may increase the neuroexcitatory activities of Ciprofloxacin.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Grepafloxacin.]
[J01CA02, pivampicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Pivampicillin.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Ciprofloxacin.]
[C09CA04, irbesartan, The risk or severity of hyperkalemia can be increased when Irbesartan is combined with Ciprofloxacin.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Ciprofloxacin.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Ciprofloxacin.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Ciprofloxacin.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Ciprofloxacin.]
[B05XA01, potassium chloride, Ciprofloxacin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Ciprofloxacin.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Pitavastatin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Ciprofloxacin.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Ciprofloxacin.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Ciprofloxacin.]
[S03BA02, prednisolone, The risk or severity of tendinopathy can be increased when Prednisolone is combined with Ciprofloxacin.]
[H02AB07, prednisone, The risk or severity of tendinopathy can be increased when Prednisone is combined with Ciprofloxacin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Ciprofloxacin.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Ciprofloxacin.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ciprofloxacin.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Ciprofloxacin.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Ciprofloxacin.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Ciprofloxacin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Ciprofloxacin.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Ciprofloxacin.]
[A03AB05, propantheline, Ciprofloxacin may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Ciprofloxacin.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Ciprofloxacin.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Ciprofloxacin.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Propylthiouracil.]
[N02CC04, rizatriptan, Ciprofloxacin may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Ciprofloxacin may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Ciprofloxacin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Ciprofloxacin.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Ciprofloxacin.]
[N07XX07, dalfampridine, Ciprofloxacin may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Ciprofloxacin may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Ciprofloxacin.]
[P01BD01, pyrimethamine, The excretion of Ciprofloxacin can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Ciprofloxacin.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Ciprofloxacin.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Ciprofloxacin.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Rescinnamine is combined with Ciprofloxacin.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J05AP01, ribavirin, Ciprofloxacin may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may increase the neuroexcitatory activities of Ciprofloxacin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the neuroexcitatory activities of Ciprofloxacin.]
[S01BC08, salicylic acid, Salicylic acid may increase the neuroexcitatory activities of Ciprofloxacin.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Ciprofloxacin.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Ciprofloxacin.]
[J01GB08, sisomicin, Ciprofloxacin may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ciprofloxacin may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Ciprofloxacin may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Ciprofloxacin.]
[C03DA01, spironolactone, Spironolactone may increase the arrhythmogenic activities of Ciprofloxacin.]
[V09AB03, ioflupane I-123, Ciprofloxacin may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Ciprofloxacin may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Ciprofloxacin may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[V04CH02, indigo carmine, Ciprofloxacin may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Ciprofloxacin may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Valproic acid.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Ciprofloxacin.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Alendronic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Ciprofloxacin.]
[D10AX03, azelaic acid, Ciprofloxacin may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[A12AA11, calcium pangamate, Calcium pangamate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
