[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Bisoprolol.]
[A02BA02, ranitidine, Bisoprolol may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Bisoprolol.]
[C02AA02, reserpine, The therapeutic efficacy of Reserpine can be increased when used in combination with Bisoprolol.]
[J05AP01, ribavirin, Bisoprolol may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Bisoprolol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Bisoprolol.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Bisoprolol.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Bisoprolol.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Bisoprolol.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Bisoprolol.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Bisoprolol.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Bisoprolol.]
[L01FA03, obinutuzumab, Bisoprolol may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Bisoprolol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Bisoprolol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Bisoprolol may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Sotalol.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Bisoprolol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Bisoprolol.]
[V09AB03, ioflupane I-123, Bisoprolol may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Bisoprolol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Bisoprolol.]
[V09AX06, florbetaben f-18, Bisoprolol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium pangamate.]
