[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Selegiline.]
[S01FA02, scopolamine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Selegiline can be increased when combined with Secobarbital.]
[N07XX04, sodium oxybate, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L01FA03, obinutuzumab, Selegiline may increase the orthostatic hypotensive activities of Obinutuzumab.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Selegiline.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Selegiline.]
[C03DA01, spironolactone, Selegiline may increase the orthostatic hypotensive activities of Spironolactone.]
[N02AX02, tramadol, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AA06, trimipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AB04, citalopram, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA04, clomipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AX06, nefazodone, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AB10, escitalopram, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA01, desipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06BA02, dextroamphetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[R05DA09, dextromethorphan, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AB05, paroxetine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[A08AA03, diethylpropion, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06BA11, dexmethylphenidate, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AA12, doxepin, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AB06, sertraline, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06BA09, atomoxetine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AX16, venlafaxine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AB08, fluvoxamine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N02AB03, fentanyl, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AB03, fluoxetine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA02, imipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AX17, milnacipran, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N02AB02, meperidine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N07BC02, methadone, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06BA03, methamphetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06BA04, methylphenidate, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06BA12, lisdexamfetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AA09, amitriptyline, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AA17, amoxapine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06BA01, amphetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AX21, duloxetine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AX23, desvenlafaxine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA10, nortriptyline, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N02AX06, tapentadol, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[A08AA01, phentermine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AA11, protriptyline, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[R01BA02, pseudoephedrine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
