[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Stiripentol.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Stiripentol.]
[N06DX01, memantine, The metabolism of Stiripentol can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Stiripentol.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Stiripentol.]
[N03AA01, mephobarbital, The serum concentration of Stiripentol can be decreased when it is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Stiripentol.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Meptazinol.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Stiripentol.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Stiripentol.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Stiripentol.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Stiripentol.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Stiripentol.]
[A03AB07, methantheline, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Stiripentol.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be decreased when combined with Stiripentol.]
[J05AF05, lamivudine, The excretion of Lamivudine can be decreased when combined with Stiripentol.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Stiripentol.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The serum concentration of Metergoline can be increased when it is combined with Stiripentol.]
[H03BB02, methimazole, The metabolism of Methimazole can be decreased when combined with Stiripentol.]
[L01BA04, pemetrexed, Stiripentol may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Stiripentol.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Stiripentol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Stiripentol is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Stiripentol.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Stiripentol.]
[D05BA02, methoxsalen, The metabolism of Stiripentol can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Stiripentol.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Stiripentol.]
[G02AB01, methylergonovine, The metabolism of Methylergometrine can be decreased when combined with Stiripentol.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Stiripentol.]
[N06BA04, methylphenidate, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Methylphenidate.]
[H02AB04, methylprednisolone, The metabolism of Methylprednisolone can be decreased when combined with Stiripentol.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Stiripentol.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Stiripentol.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Stiripentol.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Stiripentol.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Stiripentol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Stiripentol.]
[P01AB01, metronidazole, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Metronidazole.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Stiripentol.]
[N06AX03, mianserin, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Miconazole can be decreased when combined with Stiripentol.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Stiripentol.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Stiripentol.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be decreased when combined with Stiripentol.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Stiripentol.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[L01XX23, mitotane, The metabolism of Stiripentol can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The excretion of Mitoxantrone can be decreased when combined with Stiripentol.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Stiripentol.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Stiripentol.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Stiripentol.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Stiripentol.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Stiripentol.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Stiripentol.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Stiripentol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Stiripentol.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Stiripentol.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Stiripentol.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Stiripentol.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Stiripentol.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Stiripentol.]
[G03XC01, raloxifene, The excretion of Raloxifene can be decreased when combined with Stiripentol.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Stiripentol.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Stiripentol.]
[L03AB08, interferon beta-1b, The metabolism of Stiripentol can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Stiripentol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Stiripentol.]
[J01CF06, nafcillin, The metabolism of Stiripentol can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Stiripentol is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Stiripentol.]
[V03AB15, naloxone, The metabolism of Stiripentol can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Stiripentol can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Stiripentol.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Stiripentol.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Stiripentol.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Stiripentol.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Stiripentol.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Stiripentol.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Stiripentol.]
[S03AA01, neomycin, Stiripentol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Stiripentol.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Stiripentol.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Stiripentol.]
[J02AA01, amphotericin B, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01AA23, netilmicin, Stiripentol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Stiripentol.]
[C09CA07, telmisartan, The metabolism of Stiripentol can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Stiripentol.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Niacin can be decreased when combined with Stiripentol.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Stiripentol.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Stiripentol.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Stiripentol.]
[P02DA01, niclosamide, The metabolism of Stiripentol can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Stiripentol.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Stiripentol.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be decreased when combined with Stiripentol.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Stiripentol.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Stiripentol.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Stiripentol.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The excretion of Nitrofurantoin can be decreased when combined with Stiripentol.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Stiripentol.]
[N04BC05, pramipexole, Stiripentol may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Stiripentol.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Stiripentol.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Stiripentol.]
[S01AE02, norfloxacin, The metabolism of Stiripentol can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Stiripentol.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Stiripentol.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Stiripentol.]
[L03AB07, interferon beta-1a, The metabolism of Stiripentol can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be decreased when combined with Stiripentol.]
[L04AC04, rilonacept, The metabolism of Stiripentol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Stiripentol.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Stiripentol.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Stiripentol.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Oxamniquine can be decreased when combined with Stiripentol.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Stiripentol.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Stiripentol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Stiripentol.]
[A14AA05, oxymetholone, The metabolism of Oxymetholone can be decreased when combined with Stiripentol.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Stiripentol.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A03AB03, oxyphenonium, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Stiripentol.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[M03AC01, pancuronium, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Stiripentol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Stiripentol.]
[N05CC05, paraldehyde, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be decreased when combined with Stiripentol.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Stiripentol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Stiripentol can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Stiripentol.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Stiripentol.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be decreased when combined with Stiripentol.]
[J01CE09, penicillin G procaine, Stiripentol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Stiripentol.]
[N05CA01, pentobarbital, The metabolism of Stiripentol can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Stiripentol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Stiripentol may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Perazine.]
[N04BC02, pergolide, The serum concentration of Pergolide can be increased when it is combined with Stiripentol.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Stiripentol.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Stiripentol.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Stiripentol.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N06AF03, phenelzine, The metabolism of Phenelzine can be decreased when combined with Stiripentol.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Stiripentol.]
[N03AA02, phenobarbital, The serum concentration of Stiripentol can be decreased when it is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Stiripentol.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Stiripentol.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Stiripentol.]
[S01GA05, phenylephrine, The metabolism of Stiripentol can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Stiripentol.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Stiripentol.]
[L04AB06, golimumab, The metabolism of Stiripentol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Stiripentol.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Mibefradil can be decreased when combined with Stiripentol.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Stiripentol.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Stiripentol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Stiripentol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be decreased when combined with Stiripentol.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Stiripentol.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Stiripentol.]
[N06BX03, piracetam, Stiripentol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Stiripentol is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Stiripentol.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Stiripentol.]
[N02CX01, pizotyline, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Stiripentol.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Stiripentol.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Stiripentol is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Stiripentol.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Stiripentol.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Stiripentol.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Stiripentol.]
[L04AC08, canakinumab, The metabolism of Stiripentol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Stiripentol can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Stiripentol.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Stiripentol.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Stiripentol.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Stiripentol.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Stiripentol.]
[C02CA01, prazosin, The excretion of Prazosin can be decreased when combined with Stiripentol.]
[S03BA02, prednisolone, The metabolism of Prednisolone can be decreased when combined with Stiripentol.]
[H02AB07, prednisone, The metabolism of Prednisone can be decreased when combined with Stiripentol.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be decreased when combined with Stiripentol.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Stiripentol.]
[N03AA03, primidone, The serum concentration of Stiripentol can be decreased when it is combined with Primidone.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Stiripentol.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Stiripentol.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Stiripentol.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Stiripentol.]
[N04AA04, procyclidine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Stiripentol.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Stiripentol.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Stiripentol.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Stiripentol.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Stiripentol.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Stiripentol is combined with Propanidid.]
[A03AB05, propantheline, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Stiripentol.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Stiripentol.]
[N05CM06, propiomazine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Stiripentol.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Stiripentol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Stiripentol.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Stiripentol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Stiripentol.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Stiripentol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Stiripentol.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Stiripentol.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A03AB15, diphemanil, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Stiripentol.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Stiripentol is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Captodiame is combined with Stiripentol.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Stiripentol is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Stiripentol is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R06AC01, pyrilamine, The metabolism of Mepyramine can be decreased when combined with Stiripentol.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Stiripentol.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Stiripentol.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Stiripentol.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Stiripentol.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Stiripentol.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Stiripentol can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Stiripentol.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be decreased when combined with Stiripentol.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A07EC01, sulfasalazine, The excretion of Sulfasalazine can be decreased when combined with Stiripentol.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Stiripentol.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Stiripentol.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Stiripentol.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Stiripentol.]
[J01GB08, sisomicin, Stiripentol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Stiripentol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Stiripentol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Stiripentol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Stiripentol.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Stiripentol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The excretion of Technetium Tc-99m sestamibi can be decreased when combined with Stiripentol.]
[V09AX06, florbetaben f-18, Stiripentol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Stiripentol.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Stiripentol.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
