[S02DA03, antipyrine, The protein binding of Valproic acid can be decreased when combined with Antipyrine.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Valproic acid.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Valproic acid can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of carbamazepine-10,11­ epoxide (CBZ-E), an active metabolite of Carbamazepine, can be increased when used in combination with Valproic acid.]
[A03AA03, camylofine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Valproic acid.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Valproic acid.]
[B02BX09, fostamatinib, The metabolism of Valproic acid can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Valproic acid.]
[B02BX08, avatrombopag, The excretion of Valproic acid can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Valproic acid.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Valproic acid.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Valproic acid.]
[J01DD14, ceftibuten, The excretion of Valproic acid can be decreased when combined with Ceftibuten.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Valproic acid.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Valproic acid.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Ivosidenib.]
[A16AX14, migalastat, The metabolism of Migalastat can be decreased when combined with Valproic acid.]
[N03AX17, stiripentol, The metabolism of Valproic acid can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Valproic acid can be decreased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Valproic acid.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Valproic acid.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Valproic acid.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Valproic acid is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Valproic acid.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The protein binding of Valproic acid can be decreased when combined with Lornoxicam.]
[R03DA02, oxtriphylline, Valproic acid may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Valproic acid.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Valproic acid.]
[R03BB08, revefenacin, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Valproic acid can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Valproic acid.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Valproic acid.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amifampridine is combined with Valproic acid.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Valproic acid.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Valproic acid.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Valproic acid.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Valproic acid can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Valproic acid is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Clarithromycin is combined with Valproic acid.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Valproic acid.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Valproic acid.]
[L04AB01, etanercept, The metabolism of Valproic acid can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Valproic acid can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, The excretion of Valproic acid can be decreased when combined with Cefaclor.]
[J01DB05, cefadroxil, The excretion of Valproic acid can be decreased when combined with Cefadroxil.]
[J01DC03, cefamandole, The excretion of Valproic acid can be decreased when combined with Cefamandole.]
[J01DB04, cefazolin, The excretion of Valproic acid can be decreased when combined with Cefazolin.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Valproic acid.]
[L01EX15, pexidartinib, Valproic acid may increase the hepatotoxic activities of Pexidartinib.]
[J01DD12, cefoperazone, The excretion of Valproic acid can be decreased when combined with Cefoperazone.]
[J01DD01, cefotaxime, The excretion of Valproic acid can be decreased when combined with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cyamemazine.]
[J01DC07, cefotiam, The excretion of Valproic acid can be decreased when combined with Cefotiam.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Valproic acid.]
[J01DD07, ceftizoxime, The excretion of Valproic acid can be decreased when combined with Ceftizoxime.]
[J01DD04, ceftriaxone, The excretion of Valproic acid can be decreased when combined with Ceftriaxone.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Valproic acid.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Valproic acid.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Entrectinib.]
[N07XX11, pitolisant, Valproic acid may increase the QTc-prolonging activities of Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Valproic acid.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Valproic acid.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Valproic acid.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Yohimbine.]
[J01DB01, cephalexin, The excretion of Valproic acid can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, The excretion of Valproic acid can be decreased when combined with Cefaloridine.]
[J01DB03, cephalothin, The excretion of Valproic acid can be decreased when combined with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Valproic acid.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Valproic acid.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Valproic acid.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Valproic acid.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Valproic acid.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Valproic acid.]
[N03AX25, cenobamate, The serum concentration of Valproic acid can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Valproic acid.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dexchlorpheniramine is combined with Valproic acid.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dezocine.]
