[S02DA03, antipyrine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Antipyrine.]
[C02KX01, bosentan, The therapeutic efficacy of Indapamide can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Indapamide.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Indapamide.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Indapamide.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ofloxacin.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Indapamide.]
[N02AA02, opium, Indapamide may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Indapamide.]
[G04CA02, tamsulosin, Indapamide may increase the excretion rate of Tamsulosin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AC01, ouabain, The risk or severity of adverse effects can be increased when Indapamide is combined with Ouabain.]
[J01CF04, oxacillin, Indapamide may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA04, oxazepam, Indapamide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Oxprenolol.]
[N02AA05, oxycodone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Oxycodone.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Indapamide.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Indapamide can be decreased when used in combination with Oxymetazoline.]
[N02AA11, oxymorphone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Oxymorphone.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The serum concentration of Indapamide can be increased when it is combined with Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Indapamide.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Asenapine.]
[N02AX06, tapentadol, The therapeutic efficacy of Indapamide can be decreased when used in combination with Tapentadol.]
[M03AC01, pancuronium, The serum concentration of Indapamide can be increased when it is combined with Pancuronium.]
[J04AB30, capreomycin, Indapamide may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Papaverine.]
[H02AB05, paramethasone, Paramethasone may increase the hypokalemic activities of Indapamide.]
[C02KC01, pargyline, The therapeutic efficacy of Indapamide can be increased when used in combination with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Indapamide.]
[G04BD11, fesoterodine, Indapamide may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Indapamide may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA14, penicillin G, Indapamide may decrease the excretion rate of Benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Indapamide can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Indapamide may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Indapamide.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Indapamide.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Perhexiline.]
[N02AD02, phenazocine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, Indapamide may increase the excretion rate of Phenazopyridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Indapamide.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Indapamide.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Indapamide can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Indapamide is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Phenoperidine.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Indapamide can be increased when used in combination with Phenoxybenzamine.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Indapamide.]
[V03AB36, phentolamine, The therapeutic efficacy of Indapamide can be increased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, Phenylephrine may decrease the antihypertensive activities of Indapamide.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Indapamide.]
[N03AB02, phenytoin, The metabolism of Indapamide can be increased when combined with Phenytoin.]
[S01AE05, levofloxacin, Indapamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B02BA01, vitamin K1, Indapamide may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, Indapamide may increase the excretion rate of Cidofovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CX01, mibefradil, The therapeutic efficacy of Indapamide can be increased when used in combination with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pimozide.]
[C07AA03, pindolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Pindolol.]
[J01CA12, piperacillin, Indapamide may increase the excretion rate of Piperacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE01, saquinavir, The metabolism of Indapamide can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Indapamide may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, The therapeutic efficacy of Indapamide can be increased when used in combination with Eprosartan.]
[A02BX03, pirenzepine, The serum concentration of Indapamide can be increased when it is combined with Pirenzepine.]
[N02AC03, pirinitramide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, The therapeutic efficacy of Indapamide can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Grepafloxacin.]
[N02CX01, pizotyline, Pizotifen may decrease the antihypertensive activities of Indapamide.]
[J05AG02, delavirdine, The metabolism of Indapamide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The therapeutic efficacy of Indapamide can be increased when used in combination with Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Indapamide.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Indapamide is combined with Polyethylene glycol.]
[C03AA05, polythiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Indapamide can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Indapamide.]
[B05XA01, potassium chloride, Indapamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin lispro.]
[C07AB01, practolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Prajmaline.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Indapamide.]
[S03BA02, prednisolone, Prednisolone may increase the hypokalemic activities of Indapamide.]
[H02AB07, prednisone, Prednisone may increase the hypokalemic activities of Indapamide.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Prenylamine.]
[P01BA03, primaquine, The metabolism of Indapamide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Indapamide can be increased when combined with Primidone.]
[M04AB01, probenecid, Indapamide may increase the excretion rate of Probenecid which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Probucol.]
[C01BA02, procainamide, Indapamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Indapamide.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Indapamide.]
[C10AB05, fenofibrate, Indapamide may increase the excretion rate of Fenofibrate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Prochlorperazine.]
[N04AA04, procyclidine, The serum concentration of Indapamide can be increased when it is combined with Procyclidine.]
[N05AA03, promazine, Promazine may decrease the antihypertensive activities of Indapamide.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Promethazine.]
[C01BC03, propafenone, Propafenone may decrease the antihypertensive activities of Indapamide.]
[A03AB05, propantheline, Indapamide may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC01, periciazine, Periciazine may decrease the antihypertensive activities of Indapamide.]
[N05CM06, propiomazine, Propiomazine may decrease the antihypertensive activities of Indapamide.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Propofol.]
[N02AC04, propoxyphene, The therapeutic efficacy of Indapamide can be decreased when used in combination with Dextropropoxyphene.]
[C07AA05, propranolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Propranolol.]
[C01AB01, proscillaridin, The risk or severity of adverse effects can be increased when Indapamide is combined with Proscillaridin.]
[N02CC04, rizatriptan, Indapamide may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, The therapeutic efficacy of Indapamide can be increased when used in combination with Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Indapamide.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Indapamide.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Indapamide.]
[N07XX07, dalfampridine, Indapamide may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB15, diphemanil, The serum concentration of Indapamide can be increased when it is combined with Diphemanil.]
[A03AB09, isopropamide, The serum concentration of Indapamide can be increased when it is combined with Isopropamide.]
[S01FA03, methscopolamine, The serum concentration of Indapamide can be increased when it is combined with Methscopolamine.]
[N05CA07, talbutal, The serum concentration of Indapamide can be increased when it is combined with Talbutal.]
[P02CC01, pyrantel, Indapamide may increase the excretion rate of Pyrantel which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK01, pyrazinamide, Indapamide may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Mepyramine.]
[C01BA01, quinidine, Indapamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Indapamide.]
[A02BA02, ranitidine, Indapamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA01, rescinnamine, The therapeutic efficacy of Indapamide can be increased when used in combination with Rescinnamine.]
[C02AA02, reserpine, The therapeutic efficacy of Indapamide can be increased when used in combination with Reserpine.]
[J05AP01, ribavirin, Indapamide may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB02, rifampin, The metabolism of Indapamide can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Indapamide.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Indapamide.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Roxithromycin.]
[N02BA05, salicylamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Indapamide can be decreased when used in combination with Salicylic acid.]
[S01FA02, scopolamine, The serum concentration of Indapamide can be increased when it is combined with Scopolamine.]
[N05CA06, secobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Secobarbital is combined with Indapamide.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Indapamide.]
[L01FA03, obinutuzumab, Indapamide may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Indapamide may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Indapamide may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CC01, sorbitol, The risk or severity of adverse effects can be increased when Indapamide is combined with Sorbitol.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Sotalol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Indapamide may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[H02CA04, levoketoconazole, The metabolism of Indapamide can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Indapamide may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Indapamide can be decreased when used in combination with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A12AA11, calcium pangamate, Indapamide may decrease the excretion rate of Calcium pangamate which could result in a higher serum level.]
[R03BB01, ipratropium bromide, The serum concentration of Indapamide can be increased when it is combined with Ipratropium.]
