[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Almotriptan.]
[A10BA01, phenformin, The metabolism of Almotriptan can be decreased when combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Almotriptan is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Almotriptan can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Almotriptan may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Almotriptan.]
[A08AA01, phentermine, The metabolism of Almotriptan can be decreased when combined with Phentermine.]
[V03AB36, phentolamine, Almotriptan may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Almotriptan.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Almotriptan.]
[R01BA01, phenylpropanolamine, The metabolism of Almotriptan can be decreased when combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Almotriptan.]
[L04AB06, golimumab, The metabolism of Almotriptan can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Almotriptan may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Almotriptan may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Almotriptan can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Almotriptan.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Almotriptan.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Almotriptan can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Almotriptan can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pipotiazine.]
[N06BX03, piracetam, Almotriptan may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Almotriptan may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Almotriptan can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N02CX01, pizotyline, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Almotriptan can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Almotriptan can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Almotriptan is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Almotriptan can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Almotriptan can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Almotriptan.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Almotriptan is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Almotriptan can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Almotriptan can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Almotriptan may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Almotriptan.]
[C07AB01, practolol, Almotriptan may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Prazepam.]
[C02CA01, prazosin, Almotriptan may decrease the antihypertensive activities of Prazosin.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Almotriptan.]
[P01BA03, primaquine, The metabolism of Almotriptan can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Almotriptan can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Almotriptan can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Almotriptan.]
[S01HA05, procaine, The metabolism of Almotriptan can be decreased when combined with Procaine.]
[L01XB01, procarbazine, The metabolism of Almotriptan can be decreased when combined with Procarbazine.]
[C10AB05, fenofibrate, Almotriptan may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Prochlorperazine.]
[N04AA04, procyclidine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Almotriptan can be decreased when combined with Progesterone.]
[N05AA03, promazine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Almotriptan can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Almotriptan is combined with Propanidid.]
[A03AB05, propantheline, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Periciazine.]
[N05CM06, propiomazine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Almotriptan.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Almotriptan.]
[C07AA05, propranolol, The metabolism of Almotriptan can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Rizatriptan.]
[B01AC09, epoprostenol, Almotriptan may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Almotriptan can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Almotriptan.]
[R01BA02, pseudoephedrine, The metabolism of Almotriptan can be decreased when combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, Almotriptan may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Almotriptan.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Almotriptan can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Almotriptan can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Almotriptan can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Almotriptan can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Almotriptan may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Almotriptan can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Almotriptan.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Almotriptan is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Almotriptan.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Almotriptan is combined with Salicylic acid.]
[S01FA02, scopolamine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Almotriptan can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Almotriptan can be decreased when combined with Selegiline.]
[J01GB08, sisomicin, Almotriptan may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Almotriptan may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Almotriptan may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Almotriptan.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Almotriptan.]
[C03DA01, spironolactone, The metabolism of Almotriptan can be decreased when combined with Spironolactone.]
[V04CH02, indigo carmine, Almotriptan may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Chloral hydrate.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Almotriptan.]
[H02CA04, levoketoconazole, The metabolism of Almotriptan can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[R03BB01, ipratropium bromide, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
