[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dasatinib.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The serum concentration of Dasatinib can be increased when it is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Dasatinib can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Dasatinib.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Dasatinib.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Dasatinib.]
[R03BA02, budesonide, The metabolism of Dasatinib can be increased when combined with Budesonide.]
[C04AX20, buflomedil, Dasatinib may increase the anticoagulant activities of Buflomedil.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Dasatinib.]
[J05AX18, letermovir, The metabolism of Dasatinib can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Capsaicin.]
[A10BK04, ertugliflozin, Dasatinib may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Dasatinib can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Dasatinib can be increased when combined with Carbamazepine.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Dasatinib.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Dasatinib.]
[C07AG02, carvedilol, The serum concentration of Dasatinib can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Dasatinib can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Dasatinib can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Baricitinib.]
[V03AE10, sodium zirconium cyclosilicate, Sodium zirconium cyclosilicate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Dasatinib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Celiprolol.]
[H01CC03, elagolix, The serum concentration of Dasatinib can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Dasatinib can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Dasatinib can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Dasatinib may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Dasatinib can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Dasatinib can be decreased when combined with Doravirine.]
[L01EM04, duvelisib, The metabolism of Dasatinib can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Dasatinib can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Dasatinib can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Dasatinib can be increased when it is combined with Omadacycline.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Dasatinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Chloroprocaine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Dasatinib.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Inotersen.]
[L01XK04, talazoparib, Dasatinib may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[R03BB08, revefenacin, Dasatinib may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The serum concentration of Dasatinib can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Dasatinib can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Dasatinib.]
[L01EX12, larotrectinib, The serum concentration of Dasatinib can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The metabolism of Dasatinib can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Dasatinib can be increased when it is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Amifampridine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Ravulizumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Dasatinib.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Cibenzoline.]
[B01AX07, caplacizumab, Dasatinib may increase the anticoagulant activities of Caplacizumab.]
[B01AC23, cilostazol, Dasatinib may increase the anticoagulant activities of Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Dasatinib can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Dasatinib can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Dasatinib.]
[J01FA09, clarithromycin, The metabolism of Dasatinib can be decreased when combined with Clarithromycin.]
[L01EN01, erdafitinib, The serum concentration of Dasatinib can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Dasatinib can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Dasatinib can be increased when combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Dasatinib can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Dasatinib can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Dasatinib.]
[L02BB06, darolutamide, The serum concentration of Dasatinib can be increased when it is combined with Darolutamide.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Dasatinib.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Dasatinib can be decreased when combined with Cyclobenzaprine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Upadacitinib.]
[L01EJ02, fedratinib, The serum concentration of Dasatinib can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Dasatinib can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Dasatinib can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Dasatinib.]
[N04CX01, istradefylline, The serum concentration of Dasatinib can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Dasatinib.]
[A10AE03, insulin, regular, pork, The metabolism of Dasatinib can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The serum concentration of Dasatinib can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, The metabolism of Dasatinib can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Dasatinib can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Dasatinib can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Dasatinib.]
[N02CC08, lasmiditan, The serum concentration of Dasatinib can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Dasatinib is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Dasatinib.]
[B06AX03, voxelotor, The serum concentration of Dasatinib can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Dasatinib can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Dasatinib can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Dasatinib.]
[L01FX13, enfortumab vedotin, The serum concentration of Dasatinib can be increased when it is combined with Enfortumab vedotin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Dasatinib.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Dexchlorpheniramine.]
[N05CM21, lemborexant, The metabolism of Dasatinib can be decreased when combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Dasatinib can be decreased when combined with Tazemetostat.]
