[S02DA03, antipyrine, The metabolism of Flunarizine can be decreased when combined with Antipyrine.]
[N05CA06, secobarbital, The metabolism of Flunarizine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Flunarizine.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Flunarizine.]
[C07AA07, sotalol, Sotalol may increase the arrhythmogenic activities of Flunarizine.]
[C03DA01, spironolactone, The risk or severity of hyperkalemia can be increased when Spironolactone is combined with Flunarizine.]
[C01DA14, isosorbide mononitrate, Flunarizine may increase the vasodilatory activities of Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Flunarizine can be decreased when combined with Levoketoconazole.]
[M01AE11, tiaprofenic acid, The risk or severity of hyperkalemia can be increased when Tiaprofenic acid is combined with Flunarizine.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Gamolenic acid.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Calcium pangamate.]
[R03BB01, ipratropium bromide, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
