[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Medroxyprogesterone acetate.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Abciximab.]
[D05AX05, tazarotene, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Tazarotene.]
[S01XA13, alteplase, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Alteplase.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Medroxyprogesterone acetate.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Medroxyprogesterone acetate.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Medroxyprogesterone acetate.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Medroxyprogesterone acetate.]
[B05XA01, potassium chloride, Medroxyprogesterone acetate may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Medroxyprogesterone acetate.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Medroxyprogesterone acetate.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Medroxyprogesterone acetate.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Medroxyprogesterone acetate.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Medroxyprogesterone acetate can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Medroxyprogesterone acetate can be increased when combined with Probenecid.]
[C01BA02, procainamide, Medroxyprogesterone acetate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Procaine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Medroxyprogesterone acetate.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Medroxyprogesterone acetate.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Medroxyprogesterone acetate.]
[R06AD02, promethazine, Medroxyprogesterone acetate may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Medroxyprogesterone acetate may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Medroxyprogesterone acetate.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Medroxyprogesterone acetate.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N02CC04, rizatriptan, Medroxyprogesterone acetate may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Medroxyprogesterone acetate.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Medroxyprogesterone acetate.]
[N07XX07, dalfampridine, Medroxyprogesterone acetate may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Medroxyprogesterone acetate may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Medroxyprogesterone acetate.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Medroxyprogesterone acetate.]
[A02BA02, ranitidine, Medroxyprogesterone acetate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J05AP01, ribavirin, Medroxyprogesterone acetate may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Rifampicin.]
[J01AA09, rolitetracycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Rolitetracycline.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Medroxyprogesterone acetate.]
[N05CA06, secobarbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The bioavailability of Selegiline can be increased when combined with Medroxyprogesterone acetate.]
[J01GB08, sisomicin, Medroxyprogesterone acetate may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Medroxyprogesterone acetate may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Medroxyprogesterone acetate may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Medroxyprogesterone acetate.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
