[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Chloroquine.]
[C09CA04, irbesartan, The metabolism of Chloroquine can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Chloroquine.]
[A10BG02, rosiglitazone, The metabolism of Chloroquine can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Chloroquine.]
[L04AC08, canakinumab, The metabolism of Chloroquine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Chloroquine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Chloroquine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Chloroquine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Pitavastatin.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Chloroquine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Chloroquine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Chloroquine.]
[H02AB07, prednisone, Chloroquine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Chloroquine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Chloroquine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Chloroquine can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Chloroquine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Procarbazine.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Chloroquine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Chloroquine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Chloroquine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Chloroquine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Chloroquine.]
[A03AB05, propantheline, Chloroquine may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N05AC01, periciazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Periciazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Chloroquine.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Chloroquine.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Chloroquine.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Chloroquine.]
[N02CC04, rizatriptan, Chloroquine may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Chloroquine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Chloroquine.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Chloroquine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Chloroquine.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Chloroquine is combined with Dalfampridine.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Chloroquine.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R06AC01, pyrilamine, The metabolism of Chloroquine can be decreased when combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Chloroquine can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Chloroquine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Quinidine.]
[P01BC01, quinine, The metabolism of Chloroquine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Ranitidine.]
[C02AA02, reserpine, The metabolism of Chloroquine can be increased when combined with Reserpine.]
[J05AP01, ribavirin, Chloroquine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Chloroquine can be increased when combined with Rifampicin.]
[J01AA09, rolitetracycline, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Rolitetracycline.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05CA06, secobarbital, The metabolism of Chloroquine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Chloroquine.]
[J01GB08, sisomicin, Chloroquine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Chloroquine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Chloroquine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Chloroquine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Chloroquine.]
[C03DA01, spironolactone, The metabolism of Chloroquine can be decreased when combined with Spironolactone.]
[N02BA03, choline salicylate, Chloroquine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[V09AB03, ioflupane I-123, Chloroquine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Chloroquine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Chloroquine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[V04CH02, indigo carmine, Chloroquine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Chloroquine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Valproic acid.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Alendronic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Chloroquine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
