[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Eszopiclone.]
[N04AA04, procyclidine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The serum concentration of Eszopiclone can be decreased when it is combined with Progesterone.]
[N05AA03, promazine, The risk or severity of CNS depression can be increased when Promazine is combined with Eszopiclone.]
[R06AD02, promethazine, The risk or severity of CNS depression can be increased when Promethazine is combined with Eszopiclone.]
[N01AX04, propanidid, The risk or severity of CNS depression can be increased when Propanidid is combined with Eszopiclone.]
[A03AB05, propantheline, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of CNS depression can be increased when Periciazine is combined with Eszopiclone.]
[N05CM06, propiomazine, The risk or severity of CNS depression can be increased when Propiomazine is combined with Eszopiclone.]
[N01AX10, propofol, The risk or severity of CNS depression can be increased when Propofol is combined with Eszopiclone.]
[N02AC04, propoxyphene, The risk or severity of CNS depression can be increased when Dextropropoxyphene is combined with Eszopiclone.]
[C07AA05, propranolol, Eszopiclone may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N02CC04, rizatriptan, The risk or severity of CNS depression can be increased when Rizatriptan is combined with Eszopiclone.]
[B01AC09, epoprostenol, Eszopiclone may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Eszopiclone.]
[N06AA11, protriptyline, The risk or severity of CNS depression can be increased when Protriptyline is combined with Eszopiclone.]
[N05AX12, aripiprazole, The risk or severity of CNS depression can be increased when Aripiprazole is combined with Eszopiclone.]
[N07XX07, dalfampridine, Eszopiclone may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of CNS depression can be increased when Talbutal is combined with Eszopiclone.]
[N05CA09, vinbarbital, The risk or severity of CNS depression can be increased when Vinbarbital is combined with Eszopiclone.]
[N05BB02, captodiamine, The risk or severity of CNS depression can be increased when Captodiame is combined with Eszopiclone.]
[M03BA04, styramate, The risk or severity of CNS depression can be increased when Styramate is combined with Eszopiclone.]
[P02CC01, pyrantel, The risk or severity of CNS depression can be increased when Pyrantel is combined with Eszopiclone.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of CNS depression can be increased when Mepyramine is combined with Eszopiclone.]
[P01BD01, pyrimethamine, The metabolism of Eszopiclone can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Eszopiclone can be decreased when combined with Quinidine.]
[P01BC01, quinine, The risk or severity of CNS depression can be increased when Quinine is combined with Eszopiclone.]
[A02BA02, ranitidine, Eszopiclone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, The risk or severity of CNS depression can be increased when Reserpine is combined with Eszopiclone.]
[J05AP01, ribavirin, Eszopiclone may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Eszopiclone can be decreased when it is combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of CNS depression can be increased when Oxitriptan is combined with Eszopiclone.]
[J01FA06, roxithromycin, The metabolism of Eszopiclone can be decreased when combined with Roxithromycin.]
[C05CA01, rutin, The metabolism of Eszopiclone can be decreased when combined with Rutin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01FA02, scopolamine, The risk or severity of CNS depression can be increased when Scopolamine is combined with Eszopiclone.]
[N05CA06, secobarbital, The risk or severity of CNS depression can be increased when Secobarbital is combined with Eszopiclone.]
[N04BD01, selegiline, The risk or severity of CNS depression can be increased when Selegiline is combined with Eszopiclone.]
[J01GB08, sisomicin, Eszopiclone may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Eszopiclone may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[H01CB01, somatostatin, The metabolism of Eszopiclone can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, Eszopiclone may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Eszopiclone.]
[C03DA01, spironolactone, The metabolism of Eszopiclone can be decreased when combined with Spironolactone.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Eszopiclone can be decreased when it is combined with Hydrocortisone butyrate.]
[C01DA14, isosorbide mononitrate, Eszopiclone may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The serum concentration of Eszopiclone can be increased when it is combined with Levoketoconazole.]
[D10AX03, azelaic acid, Eszopiclone may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
