[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Empagliflozin.]
[C02DB02, hydralazine, Metformin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Metformin can be decreased when used in combination with Hydrocortisone.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Metformin.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Metformin.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Metformin.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Metformin may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[G04BD06, propiverine, Metformin may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Metformin can be increased when used in combination with Hydroxychloroquine.]
[B05AA07, hetastarch, Metformin may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Metformin.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[B05XA08, sodium acetate, Metformin may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Metformin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Metformin.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Metformin.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Metformin.]
[L01CE01, topotecan, The excretion of Topotecan can be decreased when combined with Metformin.]
[C03BA11, indapamide, The therapeutic efficacy of Metformin can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Metformin.]
[A11HA07, inositol, Metformin may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Metformin.]
[S01XA28, varenicline, The serum concentration of Metformin can be increased when it is combined with Varenicline.]
[N01BB08, articaine, The therapeutic efficacy of Metformin can be decreased when used in combination with Articaine.]
[V08AC04, iodipamide, The risk or severity of adverse effects can be increased when Iodipamide is combined with Metformin.]
[V08AB02, iohexol, The risk or severity of adverse effects can be increased when Iohexol is combined with Metformin.]
[N05BA12, alprazolam, Metformin may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, Metformin may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[V08AB04, iopamidol, The risk or severity of adverse effects can be increased when Iopamidol is combined with Metformin.]
[C10AA06, cerivastatin, Metformin may increase the hypolipidaemic activities of Cerivastatin.]
[C07AA01, alprenolol, The therapeutic efficacy of Metformin can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Metformin can be decreased when used in combination with Quinethazone.]
[V03AB01, ipecac, Metformin may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Metformin.]
[N06AF05, iproniazid, Iproniazid may increase the hypoglycemic activities of Metformin.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Metformin.]
[C09AA16, imidapril, The risk or severity of lactic acidosis can be increased when Imidapril is combined with Metformin.]
[J04AC01, isoniazid, The therapeutic efficacy of Metformin can be decreased when used in combination with Isoniazid.]
[J05AX05, inosine pranobex, Metformin may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Exenatide is combined with Metformin.]
[C01DA14, isosorbide mononitrate, Metformin may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Metformin may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Metformin may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Metformin.]
[N01AX03, ketamine, Metformin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Metformin may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The serum concentration of Metformin can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Metformin can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Metformin is combined with Ketotifen.]
[D10AX03, azelaic acid, Metformin may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C07AG01, labetalol, The therapeutic efficacy of Metformin can be increased when used in combination with Labetalol.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Metformin.]
[A06AX03, lubiprostone, Metformin may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Metformin can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Metformin can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Metformin.]
[S01AA21, amikacin, Metformin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The serum concentration of Metformin can be increased when it is combined with Amiloride.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Metformin.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Metformin.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C10AA02, lovastatin, Metformin may increase the hypolipidaemic activities of Lovastatin.]
[L01EG01, temsirolimus, The therapeutic efficacy of Metformin can be decreased when used in combination with Temsirolimus.]
[B05XA11, magnesium chloride, Metformin may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Metformin may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Metformin.]
[L01BA05, pralatrexate, Metformin may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The therapeutic efficacy of Metformin can be decreased when used in combination with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Metformin may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Metformin may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Metformin.]
[C03BA05, mefruside, The therapeutic efficacy of Metformin can be increased when used in combination with Mefruside.]
[N06DX01, memantine, Metformin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Metformin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01BB03, mepivacaine, Metformin may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Metformin may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Metformin.]
[N05AX13, paliperidone, The therapeutic efficacy of Metformin can be decreased when used in combination with Paliperidone.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Metformin can be increased when used in combination with Pipemidic acid.]
[C01DA05, pentaerythritol tetranitrate, Metformin may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Metformin can be decreased when used in combination with Fluticasone furoate.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Metformin can be increased when used in combination with Nalidixic acid.]
[H01CB03, lanreotide, The therapeutic efficacy of Metformin can be decreased when used in combination with Lanreotide.]
[N07BC02, methadone, Metformin may decrease the excretion rate of Methadone which could result in a higher serum level.]
[N06BA03, methamphetamine, Metformin may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Metformin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, The risk or severity of lactic acidosis can be increased when Methazolamide is combined with Metformin.]
[H03BB02, methimazole, Metformin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Metformin may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Metformin.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Metformin can be decreased when used in combination with Methotrimeprazine.]
[D05BA02, methoxsalen, Metformin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Metformin may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Metformin can be increased when it is combined with Methylene blue.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Metformin can be decreased when used in combination with Methylprednisolone.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Metformin.]
[A03FA01, metoclopramide, Metformin may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, The therapeutic efficacy of Metformin can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Metformin can be increased when used in combination with Metoprolol.]
[V04CD01, metyrapone, Metformin may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N05CD08, midazolam, Metformin may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Mifepristone is combined with Metformin.]
[J05AH01, zanamivir, Metformin may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Metformin can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Metformin.]
[A04AA05, palonosetron, Metformin may decrease the excretion rate of Palonosetron which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Metformin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Metformin may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Metformin may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Metformin.]
[C07AA12, nadolol, The therapeutic efficacy of Metformin can be increased when used in combination with Nadolol.]
[J01CA04, amoxicillin, Metformin may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Metformin may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Metformin.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Troglitazone is combined with Metformin.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Metformin.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S03AA01, neomycin, Metformin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Metformin may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The therapeutic efficacy of Metformin can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01AA19, ampicillin, Metformin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Metformin may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Metformin may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Metformin.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C01CE01, inamrinone, Metformin may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The therapeutic efficacy of Metformin can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Metformin.]
[C08CA04, nicardipine, The risk or severity of hypoglycemia can be increased when Nicardipine is combined with Metformin.]
[N07BA01, nicotine, The serum concentration of Metformin can be increased when it is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Metformin.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Metformin.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Metformin.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Metformin.]
[R07AX01, nitric oxide, Metformin may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Metformin may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Metformin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Metformin may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Metformin.]
[G03DC02, norethindrone, The therapeutic efficacy of Metformin can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Norfloxacin.]
[C02KX01, bosentan, The therapeutic efficacy of Metformin can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Metformin.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Metformin.]
[H01CB02, octreotide, The therapeutic efficacy of Metformin can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Ofloxacin.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Metformin.]
[N02AA02, opium, Metformin may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, The therapeutic efficacy of Metformin can be increased when used in combination with Tamsulosin.]
[J01CF04, oxacillin, Metformin may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[A14AA08, oxandrolone, Oxandrolone may increase the hypoglycemic activities of Metformin.]
[N05BA04, oxazepam, Metformin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Metformin can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Metformin can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Metformin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Metformin can be increased when it is combined with Aminohippuric acid.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Metformin.]
[N05AH05, asenapine, The therapeutic efficacy of Metformin can be decreased when used in combination with Asenapine.]
[J04AB30, capreomycin, Metformin may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The therapeutic efficacy of Metformin can be decreased when used in combination with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Metformin.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01MA03, pefloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Pefloxacin.]
[G04BD11, fesoterodine, Metformin may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, The therapeutic efficacy of Metformin can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Metformin.]
[J01CE09, penicillin G procaine, Metformin may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01XX08, pentostatin, Metformin may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Metformin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Metformin.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Metformin.]
[A10BA01, phenformin, The serum concentration of Metformin can be increased when it is combined with Phenformin.]
[C04AX02, phenoxybenzamine, The serum concentration of Metformin can be increased when it is combined with Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Metformin can be increased when used in combination with Phentermine.]
[V03AB36, phentolamine, Metformin may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N03AB02, phenytoin, The therapeutic efficacy of Metformin can be decreased when used in combination with Phenytoin.]
[S01AE05, levofloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Levofloxacin.]
[B02BA01, vitamin K1, Metformin may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Metformin.]
[C07AA03, pindolol, The therapeutic efficacy of Metformin can be increased when used in combination with Pindolol.]
[C10AA05, atorvastatin, Metformin may increase the hypolipidaemic activities of Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J05AE01, saquinavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Metformin can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Metformin can be decreased when used in combination with Pipotiazine.]
[N06BX03, piracetam, Metformin may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Grepafloxacin.]
[C03AA05, polythiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Ritonavir.]
[B05XA01, potassium chloride, Metformin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A10AD04, insulin lispro, The risk or severity of adverse effects can be increased when Insulin lispro is combined with Metformin.]
[C10AA08, pitavastatin, Metformin may increase the hypolipidaemic activities of Pitavastatin.]
[C07AB01, practolol, The therapeutic efficacy of Metformin can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The therapeutic efficacy of Metformin can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Metformin can be decreased when used in combination with Prednisone.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Metformin.]
[M04AB01, probenecid, The therapeutic efficacy of Metformin can be increased when used in combination with Probenecid.]
[C01BA02, procainamide, The excretion of Procainamide can be decreased when combined with Metformin.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Metformin.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Metformin.]
[C10AB05, fenofibrate, Metformin may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, The therapeutic efficacy of Metformin can be decreased when used in combination with Progesterone.]
[R06AD02, promethazine, Metformin may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The therapeutic efficacy of Metformin can be increased when used in combination with Propafenone.]
[A03AB05, propantheline, Metformin may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[C07AA05, propranolol, The therapeutic efficacy of Metformin can be increased when used in combination with Propranolol.]
[N02CC04, rizatriptan, Metformin may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Metformin may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Metformin.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Metformin can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Metformin can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Metformin.]
[P02CC01, pyrantel, Metformin may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Metformin may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[P01BD01, pyrimethamine, The excretion of Metformin can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The serum concentration of Metformin can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, Metformin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Metformin.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Metformin.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Metformin.]
[C02AA01, rescinnamine, The risk or severity of lactic acidosis can be increased when Rescinnamine is combined with Metformin.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J05AP01, ribavirin, Metformin may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Metformin.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Metformin.]
[N05CA06, secobarbital, Metformin may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[N04BD01, selegiline, Selegiline may increase the hypoglycemic activities of Metformin.]
[J01GB08, sisomicin, Metformin may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Metformin may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Metformin may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Metformin.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Metformin.]
