[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[L03AB06, interferon alfa-n1, The metabolism of Efavirenz can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be decreased when it is combined with Efavirenz.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Efavirenz.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Efavirenz.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Efavirenz.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Efavirenz.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Efavirenz.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Efavirenz.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Efavirenz.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Efavirenz.]
[A16AX14, migalastat, The metabolism of Migalastat can be increased when combined with Efavirenz.]
[N03AX17, stiripentol, The metabolism of Efavirenz can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Efavirenz.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Efavirenz.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Efavirenz.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Efavirenz.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Efavirenz.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Efavirenz is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Efavirenz.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Efavirenz.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Efavirenz.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Efavirenz.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Efavirenz.]
[R03BB08, revefenacin, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Efavirenz.]
[L04AA39, emapalumab, The metabolism of Efavirenz can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Efavirenz.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Efavirenz.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Efavirenz.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Efavirenz.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Efavirenz.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Efavirenz.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Efavirenz.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Efavirenz.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Efavirenz is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be decreased when combined with Efavirenz.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Efavirenz.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Efavirenz.]
[H02AB14, cloprednol, The metabolism of Cloprednol can be decreased when combined with Efavirenz.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Efavirenz.]
[L04AB01, etanercept, The metabolism of Efavirenz can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Cortivazol can be decreased when combined with Efavirenz.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Efavirenz.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Polatuzumab vedotin.]
[J01DC04, cefaclor, Efavirenz may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Efavirenz.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be decreased when it is combined with Efavirenz.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Efavirenz.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Efavirenz.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Efavirenz.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Efavirenz.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Efavirenz.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Efavirenz.]
[N07XX11, pitolisant, The serum concentration of Efavirenz can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Efavirenz.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Efavirenz.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Efavirenz.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Efavirenz.]
[A10AE03, insulin, regular, pork, The metabolism of Efavirenz can be increased when combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Efavirenz.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be decreased when it is combined with Efavirenz.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Efavirenz.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Efavirenz.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Efavirenz.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Efavirenz.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Efavirenz.]
[N03AX25, cenobamate, The serum concentration of Efavirenz can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Efavirenz can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Efavirenz.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Efavirenz.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Efavirenz.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Efavirenz.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Efavirenz.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Efavirenz.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Efavirenz.]
[M01AX21, diacetylrhein, The metabolism of Efavirenz can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Efavirenz.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Efavirenz.]
[S01AE06, gatifloxacin, The metabolism of Efavirenz can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Osilodrostat can be increased when it is combined with Efavirenz.]
[J05AE05, amprenavir, The serum concentration of the active metabolites of Amprenavir can be reduced when Amprenavir is used in combination with Efavirenz resulting in a loss in efficacy.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Efavirenz is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Efavirenz.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Efavirenz.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Efavirenz.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Efavirenz.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Efavirenz.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Efavirenz.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Efavirenz.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Efavirenz.]
[C08CA16, clevidipine, The serum concentration of Clevidipine can be decreased when it is combined with Efavirenz.]
