[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Amlodipine.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Amlodipine.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Amlodipine.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Amlodipine.]
[N02CC05, almotriptan, Almotriptan may decrease the antihypertensive activities of Amlodipine.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Amlodipine.]
[J02AC02, itraconazole, The metabolism of Amlodipine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Bemiparin.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Amlodipine.]
[L01EA01, imatinib, The serum concentration of Amlodipine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Amlodipine can be decreased when combined with Posaconazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Amlodipine.]
[S01EE03, bimatoprost, Amlodipine may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Amlodipine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Amlodipine.]
[N03AX09, lamotrigine, Amlodipine may increase the arrhythmogenic activities of Lamotrigine.]
[S01BA03, cortisone, The metabolism of Amlodipine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, Lofexidine may decrease the antihypertensive activities of Amlodipine.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Amlodipine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Amlodipine.]
[A02AD02, magaldrate, The risk or severity of hypotension can be increased when Magaldrate is combined with Amlodipine.]
[A06AD01, magnesium carbonate, The risk or severity of hypotension can be increased when Magnesium carbonate is combined with Amlodipine.]
[C08CA11, manidipine, Amlodipine may increase the arrhythmogenic activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Amlodipine.]
[C07AA14, mepindolol, The risk or severity of bradycardia can be increased when Amlodipine is combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Amlodipine can be increased when combined with Meprednisone.]
[C01EB10, adenosine, Amlodipine may increase the arrhythmogenic activities of Adenosine.]
[C04AX01, cyclandelate, Amlodipine may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Amlodipine.]
[C03DA04, eplerenone, Amlodipine may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, Amlodipine may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Amlodipine can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Amlodipine.]
[S01XA18, cyclosporine, The metabolism of Amlodipine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Amlodipine.]
[C09AA13, moexipril, Amlodipine may increase the hypotensive activities of Moexipril.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Amlodipine.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Amlodipine.]
[C03XA02, conivaptan, The metabolism of Amlodipine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Amlodipine.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Amlodipine.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Amlodipine.]
[G03XA01, danazol, The metabolism of Amlodipine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Amlodipine.]
[C02CC04, debrisoquin, Amlodipine may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Amlodipine is combined with Nabilone.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Amlodipine.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Amlodipine.]
[N06AX06, nefazodone, The metabolism of Amlodipine can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Amlodipine.]
[C01CA23, theodrenaline, Theodrenaline may decrease the antihypertensive activities of Amlodipine.]
[M03AC11, cisatracurium, Amlodipine may increase the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Amlodipine.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Amlodipine.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Amlodipine.]
[N06AA01, desipramine, Desipramine may decrease the antihypertensive activities of Amlodipine.]
[C01AA07, deslanoside, Amlodipine may increase the arrhythmogenic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Amlodipine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Amlodipine.]
[N03AF02, oxcarbazepine, The metabolism of Amlodipine can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Amlodipine can be increased when combined with Dexamethasone.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the antihypertensive activities of Amlodipine.]
[B01AC04, clopidogrel, The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Amlodipine.]
[C01DA05, pentaerythritol tetranitrate, Amlodipine may increase the vasodilatory activities of Pentaerythritol tetranitrate.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Amlodipine.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Amlodipine.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Amlodipine is combined with Diclofenamide.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Amlodipine.]
[J01CF01, dicloxacillin, The metabolism of Amlodipine can be increased when combined with Dicloxacillin.]
[C02DG01, pinacidil, Amlodipine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, Amlodipine may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Amlodipine is combined with Pipamperone.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Amlodipine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Amlodipine.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Amlodipine.]
[D07XC04, diflucortolone, The metabolism of Amlodipine can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Amlodipine.]
[C01AA04, digitoxin, Amlodipine may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Amlodipine may increase the arrhythmogenic activities of Digoxin.]
[C02DB01, dihydralazine, Amlodipine may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Amlodipine.]
[N02CA01, dihydroergotamine, The risk or severity of hypotension can be increased when Dihydroergotamine is combined with Amlodipine.]
[J05AE08, atazanavir, The metabolism of Amlodipine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Amlodipine.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Amlodipine.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Amlodipine.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Amlodipine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Amlodipine.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Amlodipine.]
[C09AA06, quinapril, Amlodipine may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Amlodipine.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Amlodipine.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Amlodipine.]
[S01XA23, sirolimus, Amlodipine may increase the immunosuppressive activities of Sirolimus.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Amlodipine.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Amlodipine.]
[S02AA12, rifamycin SV, The metabolism of Amlodipine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Amlodipine can be increased when combined with Rifapentine.]
[N05AX08, risperidone, Amlodipine may increase the hypotensive activities of Risperidone.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Amlodipine.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Amlodipine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Tolvaptan.]
[G04BE08, tadalafil, Amlodipine may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Amlodipine.]
[C02KX02, ambrisentan, Amlodipine may increase the hypotensive activities of Ambrisentan.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Amlodipine.]
[R03AC12, salmeterol, Salmeterol may decrease the antihypertensive activities of Amlodipine.]
[C01CA07, dobutamine, Dobutamine may decrease the antihypertensive activities of Amlodipine.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Amlodipine.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Amlodipine.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Amlodipine.]
[N06AA12, doxepin, The risk or severity of hypotension can be increased when Doxepin is combined with Amlodipine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Amlodipine.]
[N01AB08, sevoflurane, The risk or severity of hypotension can be increased when Sevoflurane is combined with Amlodipine.]
[N05AD08, droperidol, The risk or severity of hypotension can be increased when Droperidol is combined with Amlodipine.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be increased when it is combined with Amlodipine.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Amlodipine.]
