[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Clobazam.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Clobazam.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Clobazam.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Clobazam is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Clobazam.]
[N03AA02, phenobarbital, The metabolism of Clobazam can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Clobazam.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Clobazam.]
[V03AB36, phentolamine, Clobazam may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Clobazam is combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Clobazam can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Clobazam.]
[L04AB06, golimumab, The metabolism of Clobazam can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Clobazam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Clobazam.]
[B02BA01, vitamin K1, Clobazam may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C08CX01, mibefradil, The serum concentration of Clobazam can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Clobazam.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Clobazam.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Clobazam can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Clobazam.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Clobazam.]
[N06BX03, piracetam, Clobazam may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Clobazam.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N02CX01, pizotyline, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Clobazam can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Clobazam is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Clobazam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Clobazam is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Clobazam can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Clobazam can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Clobazam may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Clobazam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Clobazam.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Clobazam.]
[H02AB07, prednisone, Clobazam may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Clobazam can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Clobazam can be increased when combined with Primidone.]
[M04AB01, probenecid, Clobazam may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Clobazam.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Clobazam.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Clobazam.]
[N04AA04, procyclidine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The serum concentration of Progesterone can be decreased when it is combined with Clobazam.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Clobazam.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Clobazam.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Clobazam.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Clobazam is combined with Propanidid.]
[A03AB05, propantheline, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Clobazam.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Periciazine.]
[N05CM06, propiomazine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Clobazam.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Clobazam is combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Clobazam.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Clobazam.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Clobazam is combined with Rizatriptan.]
[B01AC09, epoprostenol, Clobazam may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Clobazam.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Clobazam.]
[N07XX07, dalfampridine, Clobazam may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Clobazam.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Clobazam is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Clobazam is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Clobazam is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Clobazam is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Clobazam.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Clobazam.]
[A02BA02, ranitidine, Clobazam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Clobazam.]
[J05AP01, ribavirin, Clobazam may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Clobazam can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Clobazam is combined with Oxitriptan.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[S01FA02, scopolamine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Clobazam.]
[J01GB08, sisomicin, Clobazam may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Clobazam may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Clobazam may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Clobazam.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Clobazam.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Clobazam.]
[N02BA03, choline salicylate, Clobazam may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[V09AB03, ioflupane I-123, Clobazam may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Clobazam may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Clobazam.]
[V09AX06, florbetaben f-18, Clobazam may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Clobazam.]
[D10AX03, azelaic acid, Clobazam may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[R03BB01, ipratropium bromide, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
