[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10AE06, insulin degludec, Doxepin may decrease the hypoglycemic activities of Insulin degludec.]
[N05AB07, acetophenazine, The serum concentration of Doxepin can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Doxepin can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Doxepin may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Doxepin.]
[J02AC05, isavuconazole, The metabolism of Doxepin can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Doxepin can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Doxepin.]
[L01XG03, ixazomib, Doxepin may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Doxepin may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, Doxepin may decrease the hypoglycemic activities of Acetohexamide.]
[G04CA01, alfuzosin, Doxepin may increase the hypotensive activities of Alfuzosin.]
[M04AB05, lesinurad, Doxepin may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01XX52, venetoclax, The metabolism of Doxepin can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N04BC01, bromocriptine, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Doxepin may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C08CA01, amlodipine, The risk or severity of hypotension can be increased when Doxepin is combined with Amlodipine.]
[N05AX17, pimavanserin, Doxepin may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M02AA09, bufexamac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Bufexamac.]
[A05AA04, obeticholic acid, The metabolism of Doxepin can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C07AA19, bupranolol, Bupranolol may increase the orthostatic hypotensive activities of Doxepin.]
[N07BC01, buprenorphine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Buserelin.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Doxepin can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Doxepin is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Doxepin.]
[S01GX07, azelastine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Doxepin can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Doxepin.]
[L01EF02, ribociclib, The metabolism of Doxepin can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Doxepin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Doxepin.]
[A06AH05, naldemedine, Doxepin may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Doxepin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Doxepin can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06BC01, caffeine, The metabolism of Doxepin can be decreased when combined with Caffeine.]
[C09AA07, benazepril, Doxepin may decrease the antihypertensive activities of Benazepril.]
[A10BX06, benfluorex, Doxepin may decrease the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[P01CA02, benznidazole, Doxepin may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Doxepin.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Doxepin can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The risk or severity of Cardiac Arrhythmia can be increased when Benzylthiouracil is combined with Doxepin.]
[N07XX13, valbenazine, Doxepin may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Doxepin can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Doxepin can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the serotonergic activities of Doxepin.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Delafloxacin.]
[D01AC10, bifonazole, Doxepin can cause a decrease in the absorption of Bifonazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BC06, capecitabine, The metabolism of Doxepin can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Doxepin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Vorinostat.]
[A02BX12, bismuth subnitrate, Doxepin may increase the neurotoxic activities of Bismuth subnitrate.]
[C07AB07, bisoprolol, Bisoprolol may increase the orthostatic hypotensive activities of Doxepin.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Doxepin.]
[J05AG03, efavirenz, The metabolism of Doxepin can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C07AA17, bopindolol, Bopindolol may increase the orthostatic hypotensive activities of Doxepin.]
[N04AA11, bornaprine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[S01BC11, bromfenac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Bromfenac.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Doxepin can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Doxepin is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Bumadizone.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J05AX18, letermovir, The metabolism of Doxepin can be increased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, Doxepin may decrease the hypoglycemic activities of Semaglutide.]
[N01BX04, capsaicin, The metabolism of Doxepin can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Doxepin may decrease the hypoglycemic activities of Ertugliflozin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Acrivastine.]
[C09AA01, captopril, Doxepin may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Doxepin.]
