[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propranolol.]
[J01MA03, pefloxacin, The metabolism of Propranolol can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Propranolol may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Propranolol may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, Propranolol may increase the arrhythmogenic activities of Penfluridol.]
[J01CE09, penicillin G procaine, Propranolol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Propranolol can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Propranolol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Propranolol.]
[N05AB10, perazine, The serum concentration of Propranolol can be increased when it is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Propranolol.]
[C08EX02, perhexiline, Propranolol may increase the arrhythmogenic activities of Perhexiline.]
[N05AB03, perphenazine, The serum concentration of Propranolol can be increased when it is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Propranolol.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N06AF03, phenelzine, The serum concentration of Propranolol can be increased when it is combined with Phenelzine.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Propranolol.]
[N03AA02, phenobarbital, The serum concentration of Propranolol can be decreased when it is combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, Propranolol may increase the orthostatic hypotensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Propranolol may increase the orthostatic hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Propranolol.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Propranolol.]
[A02BC06, dexlansoprazole, The metabolism of Propranolol can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, Propranolol may decrease the bronchodilatory activities of Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Propranolol can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Propranolol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Propranolol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AB19, physostigmine, Physostigmine may increase the bradycardic activities of Propranolol.]
[L02BB03, bicalutamide, The serum concentration of Propranolol can be increased when it is combined with Bicalutamide.]
[B02BA01, vitamin K1, Propranolol may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C08CX01, mibefradil, Propranolol may increase the arrhythmogenic activities of Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Propranolol is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Propranolol.]
[C07AA03, pindolol, Propranolol may increase the hypotensive activities of Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Propranolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Propranolol can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Propranolol.]
[N05AC04, pipothiazine, The serum concentration of Propranolol can be increased when it is combined with Pipotiazine.]
[N06BX03, piracetam, Propranolol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Propranolol may increase the hypotensive activities of Eprosartan.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Propranolol.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Propranolol can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Propranolol may increase the orthostatic hypotensive activities of Pizotifen.]
[J05AG02, delavirdine, The serum concentration of Propranolol can be increased when it is combined with Delavirdine.]
[C09CA04, irbesartan, Propranolol may increase the hypotensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Propranolol.]
[A03AE01, alosetron, The metabolism of Propranolol can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Propranolol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Propranolol can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Propranolol.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Propranolol.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Propranolol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Propranolol.]
[C07AB01, practolol, Propranolol may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Propranolol may increase the arrhythmogenic activities of Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Propranolol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Propranolol.]
[H02AB07, prednisone, Propranolol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01DX02, prenylamine, Propranolol may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Propranolol can be decreased when combined with Primaquine.]
[N03AA03, primidone, The serum concentration of Propranolol can be decreased when it is combined with Primidone.]
[M04AB01, probenecid, The serum concentration of Propranolol can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, Propranolol may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, Procaine may increase the bradycardic activities of Propranolol.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Propranolol.]
[C10AB05, fenofibrate, The serum concentration of Propranolol can be increased when it is combined with Fenofibrate.]
[N05AB04, prochlorperazine, The serum concentration of Propranolol can be increased when it is combined with Prochlorperazine.]
[G03DA04, progesterone, The serum concentration of Propranolol can be increased when it is combined with Progesterone.]
[N05AA03, promazine, The serum concentration of Propranolol can be increased when it is combined with Promazine.]
[R06AD02, promethazine, The serum concentration of Propranolol can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The serum concentration of Propafenone can be increased when it is combined with Propranolol.]
[A03AB05, propantheline, Propranolol may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N05AC01, periciazine, The serum concentration of Propranolol can be increased when it is combined with Periciazine.]
[N05CM06, propiomazine, Propranolol may increase the orthostatic hypotensive activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Propranolol.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Propranolol.]
[N02AC04, propoxyphene, The metabolism of Propranolol can be decreased when combined with Dextropropoxyphene.]
[C01AB01, proscillaridin, Propranolol may increase the bradycardic activities of Proscillaridin.]
[N02CC04, rizatriptan, The metabolism of Rizatriptan can be decreased when combined with Propranolol.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Propranolol.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Propranolol.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Propranolol.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Propranolol.]
[P02CC01, pyrantel, Propranolol may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Propranolol.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the bradycardic activities of Propranolol.]
[R06AC01, pyrilamine, The metabolism of Propranolol can be decreased when combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Propranolol.]
[C01BA01, quinidine, The serum concentration of Propranolol can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Propranolol can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Propranolol.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Propranolol.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Propranolol.]
[J05AP01, ribavirin, Propranolol may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Propranolol can be decreased when it is combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Propranolol.]
[G02CA01, ritodrine, Propranolol may decrease the bronchodilatory activities of Ritodrine.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Propranolol.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Propranolol.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Propranolol.]
[N05CA06, secobarbital, The serum concentration of Propranolol can be decreased when it is combined with Secobarbital.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Propranolol.]
[L01FA03, obinutuzumab, Propranolol may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Propranolol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Propranolol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Propranolol may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Sotalol may increase the arrhythmogenic activities of Propranolol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Propranolol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
