[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dapagliflozin.]
[G04CA02, tamsulosin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Tamsulosin.]
[J01CF04, oxacillin, Dapagliflozin may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[P02BA02, oxamniquine, The metabolism of Dapagliflozin can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Dapagliflozin can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Dapagliflozin may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Oxprenolol.]
[N02AA05, oxycodone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Oxycodone.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Dapagliflozin.]
[N02AA11, oxymorphone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Oxymorphone.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Dapagliflozin.]
[N05AH05, asenapine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Tapentadol.]
[J04AB30, capreomycin, Dapagliflozin may increase the excretion rate of Capreomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Papaverine is combined with Dapagliflozin.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Dapagliflozin.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Dapagliflozin.]
[J01MA03, pefloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Pefloxacin.]
[G04BD11, fesoterodine, Dapagliflozin may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Dapagliflozin.]
[J01CE09, penicillin G procaine, Dapagliflozin may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AD01, pentazocine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Dapagliflozin can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Dapagliflozin may increase the excretion rate of Pentostatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AD03, pentoxifylline, Dapagliflozin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C08EX02, perhexiline, The metabolism of Dapagliflozin can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Dapagliflozin can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Dapagliflozin.]
[N02AD02, phenazocine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, Dapagliflozin may increase the excretion rate of Phenazopyridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Dapagliflozin.]
[A10BA01, phenformin, Dapagliflozin may increase the hypoglycemic activities of Phenformin.]
[N03AA02, phenobarbital, The metabolism of Dapagliflozin can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Phenoxybenzamine is combined with Dapagliflozin.]
[B01AA04, phenprocoumon, The metabolism of Dapagliflozin can be decreased when combined with Phenprocoumon.]
[A08AA01, phentermine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Phentermine.]
[V03AB36, phentolamine, Dapagliflozin may increase the excretion rate of Phentolamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA01, phenylbutazone, The metabolism of Dapagliflozin can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Dapagliflozin can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The metabolism of Dapagliflozin can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Dapagliflozin can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Levofloxacin.]
[B02BA01, vitamin K1, Dapagliflozin may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, Dapagliflozin may increase the excretion rate of Cidofovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CX01, mibefradil, The metabolism of Dapagliflozin can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Dapagliflozin can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Dapagliflozin.]
[C07AA03, pindolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Pindolol.]
[J01CA12, piperacillin, Dapagliflozin may increase the excretion rate of Piperacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE01, saquinavir, The metabolism of Dapagliflozin can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Pipotiazine.]
[N06BX03, piracetam, Dapagliflozin may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Eprosartan is combined with Dapagliflozin.]
[N02AC03, pirinitramide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, Dapagliflozin may increase the excretion rate of Piroxicam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Dapagliflozin can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The risk or severity of adverse effects can be increased when Irbesartan is combined with Dapagliflozin.]
[A10BG02, rosiglitazone, Dapagliflozin may increase the hypoglycemic activities of Rosiglitazone.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Polyethylene glycol.]
[A03AE01, alosetron, The metabolism of Dapagliflozin can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Dapagliflozin can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Dapagliflozin can be increased when it is combined with Ritonavir.]
[B05XA01, potassium chloride, Dapagliflozin may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Dapagliflozin.]
[C07AB01, practolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Practolol.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Dapagliflozin.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Dapagliflozin.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Dapagliflozin.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Dapagliflozin.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Dapagliflozin.]
[P01BA03, primaquine, The metabolism of Dapagliflozin can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Dapagliflozin can be increased when combined with Primidone.]
[M04AB01, probenecid, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Dapagliflozin.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Dapagliflozin.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Dapagliflozin.]
[C10AB05, fenofibrate, Dapagliflozin may increase the excretion rate of Fenofibrate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB04, prochlorperazine, The metabolism of Dapagliflozin can be decreased when combined with Prochlorperazine.]
[G03DA04, progesterone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Progesterone.]
[N05AA03, promazine, The metabolism of Dapagliflozin can be decreased when combined with Promazine.]
[R06AD02, promethazine, Dapagliflozin may increase the excretion rate of Promethazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC03, propafenone, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Propafenone.]
[A03AB05, propantheline, Dapagliflozin may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Dapagliflozin.]
[N02AC04, propoxyphene, The metabolism of Dapagliflozin can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Propranolol.]
[N02CC04, rizatriptan, Dapagliflozin may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, Dapagliflozin may increase the excretion rate of Epoprostenol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DC03, montelukast, The metabolism of Dapagliflozin can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Dapagliflozin.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, Dapagliflozin may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CC01, pyrantel, Dapagliflozin may increase the excretion rate of Pyrantel which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK01, pyrazinamide, Dapagliflozin may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AC01, pyrilamine, The metabolism of Dapagliflozin can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Dapagliflozin can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Dapagliflozin can be decreased when combined with Quinine.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Dapagliflozin.]
[A02BA02, ranitidine, Dapagliflozin may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA01, rescinnamine, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Rescinnamine.]
[C02AA02, reserpine, Dapagliflozin may increase the excretion rate of Reserpine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP01, ribavirin, Dapagliflozin may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB02, rifampin, The metabolism of Dapagliflozin can be increased when combined with Rifampicin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Dapagliflozin.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Dapagliflozin.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Dapagliflozin.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Dapagliflozin.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Obinutuzumab.]
[A12CD01, sodium fluoride, Dapagliflozin may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CC01, sorbitol, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Sorbitol.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Dapagliflozin.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Spironolactone is combined with Dapagliflozin.]
[V09AB03, ioflupane I-123, Dapagliflozin may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Dapagliflozin may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AG01, valproic acid, The metabolism of Dapagliflozin can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Dapagliflozin.]
