[S02DA03, antipyrine, The metabolism of Brivaracetam can be decreased when combined with Antipyrine.]
[P01BA03, primaquine, The metabolism of Brivaracetam can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Brivaracetam can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Brivaracetam can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Brivaracetam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Brivaracetam.]
[C10AB05, fenofibrate, The metabolism of Brivaracetam can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Brivaracetam.]
[N04AA04, procyclidine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Brivaracetam.]
[N05AA03, promazine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Propanidid.]
[A03AB05, propantheline, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Brivaracetam.]
[N05CM06, propiomazine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Brivaracetam.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Brivaracetam.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Brivaracetam.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Brivaracetam.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Brivaracetam can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Brivaracetam.]
[N05AX12, aripiprazole, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, Brivaracetam may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Brivaracetam.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Mepyramine.]
[C01BA01, quinidine, Brivaracetam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Brivaracetam.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Brivaracetam.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Brivaracetam can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Brivaracetam.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01FA02, scopolamine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Brivaracetam.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Brivaracetam.]
[J01GB08, sisomicin, Brivaracetam may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Brivaracetam may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Brivaracetam may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Brivaracetam may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Brivaracetam may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brivaracetam.]
