[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Meperidine.]
[C09CA04, irbesartan, The metabolism of Meperidine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Meperidine is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Meperidine.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Meperidine is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Meperidine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of normeperidine, an active metabolite of Meperidine, can be increased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, Meperidine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Meperidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Prazepam.]
[S03BA02, prednisolone, The metabolism of Meperidine can be increased when combined with Prednisolone.]
[H02AB07, prednisone, Meperidine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Meperidine can be decreased when combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[M04AB01, probenecid, The metabolism of Meperidine can be increased when combined with Probenecid.]
[C01BA02, procainamide, Meperidine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Procaine is combined with Meperidine.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Procarbazine is combined with Meperidine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Meperidine.]
[N05AB04, prochlorperazine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Meperidine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Meperidine.]
[N05AA03, promazine, The risk or severity of adverse effects can be increased when Promazine is combined with Meperidine.]
[R06AD02, promethazine, The risk or severity of adverse effects can be increased when Promethazine is combined with Meperidine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Meperidine is combined with Propanidid.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Meperidine.]
[N05AC01, periciazine, The risk or severity of hypotension and CNS depression can be increased when Periciazine is combined with Meperidine.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Meperidine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Meperidine.]
[N01AX10, propofol, Meperidine may increase the sedative activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Meperidine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Meperidine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Meperidine is combined with Rizatriptan.]
[B01AC09, epoprostenol, Meperidine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Meperidine.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Meperidine can be increased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of adverse effects can be increased when Aripiprazole is combined with Meperidine.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Meperidine is combined with Dalfampridine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Diphemanil is combined with Meperidine.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Isopropamide is combined with Meperidine.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Methscopolamine is combined with Meperidine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Meperidine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Meperidine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Meperidine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Meperidine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Meperidine is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Meperidine is combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Meperidine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Meperidine is combined with Quinine.]
[A02BA02, ranitidine, Meperidine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Meperidine is combined with Reserpine.]
[J05AP01, ribavirin, Meperidine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Meperidine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxitriptan.]
[J01FA06, roxithromycin, The metabolism of Meperidine can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Meperidine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Selegiline is combined with Meperidine.]
[J01GB08, sisomicin, Meperidine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Meperidine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[H01CB01, somatostatin, The metabolism of Meperidine can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Meperidine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Meperidine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Ipratropium is combined with Meperidine.]
[N06AF04, tranylcypromine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AF01, isocarboxazid, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N04BD01, selegiline, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
