[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ketamine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Ketamine.]
[L04AB06, golimumab, The metabolism of Ketamine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Ketamine is combined with Pilocarpine.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Pimozide is combined with Ketamine.]
[C07AA03, pindolol, Ketamine may increase the bradycardic activities of Pindolol.]
[C10AA05, atorvastatin, The metabolism of Ketamine can be decreased when combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Ketamine can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Pipotiazine.]
[N06BX03, piracetam, Ketamine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Ketamine is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Ketamine can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N02CX01, pizotyline, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Ketamine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Ketamine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Ketamine is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Ketamine can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Ketamine can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Ketamine can be decreased when combined with Anastrozole.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Ketamine.]
[L04AC08, canakinumab, The metabolism of Ketamine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Ketamine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Ketamine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Ketamine.]
[C07AB01, practolol, Ketamine may increase the bradycardic activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Prazepam.]
[S03BA02, prednisolone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Prednisone.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Ketamine.]
[P01BA03, primaquine, The metabolism of Ketamine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ketamine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Ketamine can be increased when combined with Probenecid.]
[C01BA02, procainamide, Ketamine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Ketamine may increase the neuromuscular blocking activities of Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Ketamine.]
[C10AB05, fenofibrate, The metabolism of Ketamine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ketamine.]
[N04AA04, procyclidine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Ketamine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, Ketamine may increase the bradycardic activities of Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Ketamine is combined with Propanidid.]
[A03AB05, propantheline, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Periciazine.]
[N05CM06, propiomazine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Ketamine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Ketamine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Ketamine.]
[C07AA05, propranolol, Ketamine may increase the bradycardic activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Ketamine.]
[B01AC09, epoprostenol, Ketamine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Ketamine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Ketamine.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Pseudoephedrine is combined with Ketamine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Ketamine.]
[N07XX07, dalfampridine, Ketamine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Ketamine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Ketamine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Ketamine is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Ketamine can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, Ketamine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Ketamine.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Ketamine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Ketamine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Ritodrine is combined with Ketamine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Ketamine is combined with Oxitriptan.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01FA02, scopolamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Ketamine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Ketamine.]
[J01GB08, sisomicin, Ketamine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ketamine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Ketamine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Ketamine may increase the bradycardic activities of Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Ketamine.]
[C03DA01, spironolactone, The metabolism of Ketamine can be decreased when combined with Spironolactone.]
[H02CA04, levoketoconazole, The metabolism of Ketamine can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
