[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Certolizumab pegol.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be increased when combined with Certolizumab pegol.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be increased when combined with Certolizumab pegol.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be increased when combined with Certolizumab pegol.]
[L04AB06, golimumab, The risk or severity of infection can be increased when Golimumab is combined with Certolizumab pegol.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Certolizumab pegol.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Certolizumab pegol.]
[C07AA03, pindolol, The metabolism of Pindolol can be increased when combined with Certolizumab pegol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be increased when combined with Certolizumab pegol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be increased when combined with Certolizumab pegol.]
[P02CB01, piperazine, The metabolism of Piperazine can be increased when combined with Certolizumab pegol.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be increased when combined with Certolizumab pegol.]
[N06BX03, piracetam, Certolizumab pegol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be increased when combined with Certolizumab pegol.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be increased when combined with Certolizumab pegol.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be increased when combined with Certolizumab pegol.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be increased when combined with Certolizumab pegol.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Abciximab is combined with Certolizumab pegol.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be increased when combined with Certolizumab pegol.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be increased when combined with Certolizumab pegol.]
[L04AC05, ustekinumab, The risk or severity of adverse effects can be increased when Ustekinumab is combined with Certolizumab pegol.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be increased when combined with Certolizumab pegol.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Certolizumab pegol.]
[A03AE01, alosetron, The metabolism of Alosetron can be increased when combined with Certolizumab pegol.]
[L04AC08, canakinumab, The risk or severity of infection and neutropenia can be increased when Certolizumab pegol is combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be increased when combined with Certolizumab pegol.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be increased when combined with Certolizumab pegol.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be increased when combined with Certolizumab pegol.]
[C07AB01, practolol, The metabolism of Practolol can be increased when combined with Certolizumab pegol.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Certolizumab pegol.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Certolizumab pegol.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Certolizumab pegol.]
[P01BA03, primaquine, The metabolism of Primaquine can be increased when combined with Certolizumab pegol.]
[N03AA03, primidone, The metabolism of Primidone can be increased when combined with Certolizumab pegol.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be increased when combined with Certolizumab pegol.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Certolizumab pegol.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Certolizumab pegol.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be increased when combined with Certolizumab pegol.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Certolizumab pegol.]
[N05AA03, promazine, The metabolism of Promazine can be increased when combined with Certolizumab pegol.]
[R06AD02, promethazine, The metabolism of Promethazine can be increased when combined with Certolizumab pegol.]
[C01BC03, propafenone, The metabolism of Propafenone can be increased when combined with Certolizumab pegol.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Certolizumab pegol.]
[N01AX10, propofol, The metabolism of Propofol can be increased when combined with Certolizumab pegol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be increased when combined with Certolizumab pegol.]
[C07AA05, propranolol, The metabolism of Propranolol can be increased when combined with Certolizumab pegol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Certolizumab pegol.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Certolizumab pegol.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Certolizumab pegol.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[P02CC01, pyrantel, Certolizumab pegol may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Certolizumab pegol.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be increased when combined with Certolizumab pegol.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Certolizumab pegol.]
[P01BC01, quinine, The metabolism of Quinine can be increased when combined with Certolizumab pegol.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be increased when combined with Certolizumab pegol.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Certolizumab pegol.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be increased when combined with Certolizumab pegol.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be increased when combined with Certolizumab pegol.]
[C05BB02, polidocanol, The therapeutic efficacy of Certolizumab pegol can be decreased when used in combination with Polidocanol.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Obinutuzumab.]
[J01GB08, sisomicin, Certolizumab pegol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Certolizumab pegol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Certolizumab pegol.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be increased when combined with Certolizumab pegol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Certolizumab pegol.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Certolizumab pegol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
