[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Isoniazid.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Isoniazid.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Isoniazid.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Isoniazid.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome can be increased when Phenelzine is combined with Isoniazid.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Isoniazid.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Isoniazid is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Isoniazid.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Isoniazid.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Isoniazid.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Isoniazid.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Isoniazid.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Isoniazid.]
[S01AE05, levofloxacin, Isoniazid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Isoniazid.]
[B02BA01, vitamin K1, Isoniazid may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Mibefradil can be decreased when combined with Isoniazid.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Isoniazid.]
[C07AA03, pindolol, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Isoniazid.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be decreased when combined with Isoniazid.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Isoniazid.]
[N06BX03, piracetam, Isoniazid may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Isoniazid.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Isoniazid.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Isoniazid.]
[N02CX01, pizotyline, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Isoniazid.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Isoniazid.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Isoniazid.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Isoniazid.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Isoniazid.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Isoniazid.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Isoniazid.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Pitavastatin.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Isoniazid.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Isoniazid.]
[S03BA02, prednisolone, The serum concentration of Isoniazid can be decreased when it is combined with Prednisolone.]
[H02AB07, prednisone, The serum concentration of Isoniazid can be decreased when it is combined with Prednisone.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be decreased when combined with Isoniazid.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Isoniazid.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Isoniazid.]
[M04AB01, probenecid, Isoniazid may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Isoniazid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Isoniazid.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Isoniazid.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Isoniazid.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Isoniazid.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Isoniazid.]
[R06AD02, promethazine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Isoniazid.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Isoniazid.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Isoniazid.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Isoniazid.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Isoniazid.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Isoniazid.]
[N02CC04, rizatriptan, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Rizatriptan.]
[B01AC09, epoprostenol, Isoniazid may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Isoniazid.]
[N06AA11, protriptyline, The risk or severity of serotonin syndrome can be increased when Protriptyline is combined with Isoniazid.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Isoniazid.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Isoniazid.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Isoniazid is combined with Dalfampridine.]
[P02CC01, pyrantel, Isoniazid may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Isoniazid.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Isoniazid.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Isoniazid.]
[D07AC10, diflorasone, The serum concentration of Isoniazid can be decreased when it is combined with Diflorasone.]
[A02BA02, ranitidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Isoniazid.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be decreased when combined with Isoniazid.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Isoniazid.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Isoniazid.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Isoniazid.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Isoniazid.]
[J01GB08, sisomicin, Isoniazid may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Isoniazid may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Isoniazid may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Isoniazid.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Isoniazid may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Levoketoconazole can be decreased when combined with Isoniazid.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
