[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Antipyrine.]
[J04AB30, capreomycin, Fentanyl may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Fentanyl can be decreased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome can be increased when Pargyline is combined with Fentanyl.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Fesoterodine is combined with Fentanyl.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Fentanyl may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Fentanyl.]
[L01XX08, pentostatin, Fentanyl may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of hypotension and CNS depression can be increased when Perazine is combined with Fentanyl.]
[N04BC02, pergolide, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Pergolide.]
[C08EX02, perhexiline, Fentanyl may increase the bradycardic activities of Perhexiline.]
[N05AB03, perphenazine, The risk or severity of hypotension and CNS depression can be increased when Perphenazine is combined with Fentanyl.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N06AF03, phenelzine, The metabolism of Fentanyl can be decreased when combined with Phenelzine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Fentanyl is combined with Phenindione.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Fentanyl.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Fentanyl.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Fentanyl may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Fentanyl is combined with Phenprocoumon.]
[A08AA01, phentermine, Phentermine may increase the analgesic activities of Fentanyl.]
[V03AB36, phentolamine, Fentanyl may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Fentanyl.]
[S01GA05, phenylephrine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Fentanyl.]
[N03AB02, phenytoin, The metabolism of Fentanyl can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Fentanyl can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Fentanyl may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Fentanyl can be decreased when combined with Bicalutamide.]
[B02BA01, vitamin K1, Fentanyl may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Fentanyl can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Fentanyl can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Fentanyl can be decreased when combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Fentanyl.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Fentanyl can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of hypotension and CNS depression can be increased when Pipotiazine is combined with Fentanyl.]
[N06BX03, piracetam, Fentanyl may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Fentanyl may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Fentanyl.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Fentanyl.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Fentanyl.]
[J05AG02, delavirdine, The metabolism of Fentanyl can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Fentanyl can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Fentanyl is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Fentanyl.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Fentanyl is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Fentanyl can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Fentanyl can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Fentanyl may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C07AB01, practolol, Fentanyl may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Fentanyl.]
[C02CA01, prazosin, Fentanyl may decrease the antihypertensive activities of Prazosin.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C01DX02, prenylamine, Fentanyl may increase the bradycardic activities of Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Fentanyl.]
[P01BA03, primaquine, The metabolism of Fentanyl can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Fentanyl.]
[M04AB01, probenecid, Fentanyl may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Fentanyl may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Fentanyl.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome can be increased when Procarbazine is combined with Fentanyl.]
[C10AB05, fenofibrate, Fentanyl may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Fentanyl.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Fentanyl.]
[G03DA04, progesterone, The metabolism of Fentanyl can be decreased when combined with Progesterone.]
[N05AA03, promazine, The risk or severity of adverse effects can be increased when Promazine is combined with Fentanyl.]
[R06AD02, promethazine, The risk or severity of adverse effects can be increased when Promethazine is combined with Fentanyl.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Fentanyl is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Fentanyl is combined with Propanidid.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Fentanyl.]
[N05AC01, periciazine, The risk or severity of hypotension and CNS depression can be increased when Periciazine is combined with Fentanyl.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Fentanyl.]
[N01AX10, propofol, The metabolism of Fentanyl can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Fentanyl can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, Fentanyl may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Fentanyl is combined with Rizatriptan.]
[B01AC09, epoprostenol, Fentanyl may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Fentanyl.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of adverse effects can be increased when Aripiprazole is combined with Fentanyl.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Fentanyl is combined with Dalfampridine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Diphemanil is combined with Fentanyl.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Isopropamide is combined with Fentanyl.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Methscopolamine is combined with Fentanyl.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Fentanyl.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Fentanyl can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Fentanyl can be decreased when combined with Quinine.]
[A02BA02, ranitidine, Fentanyl may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, Fentanyl may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Fentanyl can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxitriptan.]
[J01FA06, roxithromycin, The metabolism of Fentanyl can be decreased when combined with Roxithromycin.]
[C05CA01, rutin, The metabolism of Fentanyl can be decreased when combined with Rutin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Fentanyl is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Fentanyl.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Fentanyl is combined with Salicylic acid.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Fentanyl.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Fentanyl.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Fentanyl.]
[J01GB08, sisomicin, Fentanyl may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Fentanyl may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[H01CB01, somatostatin, The metabolism of Fentanyl can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Fentanyl.]
[C07AA07, sotalol, Sotalol may increase the bradycardic activities of Fentanyl.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Fentanyl.]
[C01DA14, isosorbide mononitrate, Fentanyl may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Fentanyl can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Fentanyl is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Ipratropium is combined with Fentanyl.]
[N06AF04, tranylcypromine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AF01, isocarboxazid, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N04BD01, selegiline, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
