[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Pipotiazine.]
[N06BX03, piracetam, Diazepam may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Diazepam.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02CX01, pizotyline, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Diazepam can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Diazepam.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Diazepam is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Diazepam is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Diazepam can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Diazepam can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Diazepam may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AB21, potassium iodide, The therapeutic efficacy of Potassium Iodide can be decreased when used in combination with Diazepam.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Diazepam.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Diazepam.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Diazepam can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Diazepam can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Diazepam can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Diazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Diazepam can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Diazepam.]
[N04AA04, procyclidine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Diazepam.]
[N05AA03, promazine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Diazepam is combined with Propanidid.]
[A03AB05, propantheline, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Periciazine.]
[N05CM06, propiomazine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Diazepam.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Diazepam.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Diazepam.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Diazepam.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Diazepam.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Diazepam is combined with Rizatriptan.]
[B01AC09, epoprostenol, Diazepam may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Diazepam can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Diazepam.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Diazepam.]
[N07XX07, dalfampridine, Diazepam may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[S01FA03, methscopolamine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Diazepam.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Diazepam is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Diazepam is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Diazepam is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Diazepam is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Diazepam.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Diazepam.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Diazepam.]
[A02BA02, ranitidine, Diazepam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Diazepam.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Diazepam can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Diazepam is combined with Oxitriptan.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01FA02, scopolamine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Diazepam.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Diazepam is combined with Selegiline.]
[J01GB08, sisomicin, Diazepam may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Diazepam may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Diazepam may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Diazepam.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Diazepam is combined with Chloral hydrate.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Diazepam.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Diazepam.]
[C01DA14, isosorbide mononitrate, Diazepam may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Diazepam can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Diazepam can be decreased when used in combination with Gamolenic acid.]
[R03BB01, ipratropium bromide, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
