[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluvoxamine.]
[A03AA30, piperidolate, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Fluvoxamine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Articaine is combined with Fluvoxamine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Sitagliptin.]
[N05BA12, alprazolam, The serum concentration of Alprazolam can be increased when it is combined with Fluvoxamine.]
[N05CH02, ramelteon, The serum concentration of Ramelteon can be increased when it is combined with Fluvoxamine.]
[R06AE01, buclizine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Fluvoxamine.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Fluvoxamine.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Fluvoxamine.]
[C03BA02, quinethazone, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Quinethazone.]
[L03AB09, interferon alfacon-1, The metabolism of Fluvoxamine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Fluvoxamine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Iprindole is combined with Fluvoxamine.]
[N06AF05, iproniazid, Iproniazid may increase the serotonergic activities of Fluvoxamine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Fluvoxamine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Chlorproethazine is combined with Fluvoxamine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the serotonergic activities of Fluvoxamine.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Fluvoxamine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Fluvoxamine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Fluvoxamine.]
[J04AC01, isoniazid, The metabolism of Fluvoxamine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Fluvoxamine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Exenatide.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Fluvoxamine.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Fluvoxamine.]
[B01AE06, bivalirudin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Bivalirudin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Fluvoxamine.]
[S01AA24, kanamycin, Fluvoxamine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Fluvoxamine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Fluvoxamine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Fluvoxamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Ketanserin is combined with Fluvoxamine.]
[B01AC22, prasugrel, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Fluvoxamine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Fluvoxamine.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Fluvoxamine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Fluvoxamine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Fluvoxamine may increase the sedative activities of Rotigotine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Fluvoxamine.]
[J01MB02, nalidixic acid, The metabolism of Fluvoxamine can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Fluvoxamine.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Amantadine.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Fluvoxamine.]
[A06AX03, lubiprostone, Fluvoxamine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Fluvoxamine.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Fluvoxamine.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Fluvoxamine.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Fluvoxamine.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Fluvoxamine.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be decreased when combined with Fluvoxamine.]
[S01AA21, amikacin, Fluvoxamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Fluvoxamine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Fluvoxamine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Fluvoxamine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Lofepramine is combined with Fluvoxamine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Fluvoxamine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Fluvoxamine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Fluvoxamine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Fluvoxamine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Fluvoxamine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Fluvoxamine.]
[B05XA11, magnesium chloride, Fluvoxamine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Fluvoxamine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Fluvoxamine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Fluvoxamine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Fluvoxamine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Fluvoxamine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Fluvoxamine.]
[C02BB01, mecamylamine, Fluvoxamine may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Fluvoxamine.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Medazepam is combined with Fluvoxamine.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Fluvoxamine.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Fluvoxamine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Dalteparin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Fluvoxamine.]
[N06DX01, memantine, Fluvoxamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Fluvoxamine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Fluvoxamine.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Fluvoxamine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Fluvoxamine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Fluvoxamine.]
[N02AX05, meptazinol, The risk or severity of serotonin syndrome can be increased when Meptazinol is combined with Fluvoxamine.]
[G04BX16, tiopronin, Fluvoxamine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Fluvoxamine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Fluvoxamine.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Fluvoxamine.]
[H01CB03, lanreotide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Fluvoxamine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Fluvoxamine.]
[A03AB07, methantheline, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Fluvoxamine.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Fluvoxamine.]
[J05AF05, lamivudine, Fluvoxamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Fluvoxamine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Metergoline is combined with Fluvoxamine.]
[H03BB02, methimazole, The metabolism of Fluvoxamine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Fluvoxamine.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Fluvoxamine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Fluvoxamine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ziconotide is combined with Fluvoxamine.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Fluvoxamine.]
[N05AA02, methotrimeprazine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Fluvoxamine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Fluvoxamine.]
[C03AA08, methyclothiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Methyclothiazide.]
[C02AB01, methyldopa, Fluvoxamine may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Fluvoxamine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Methylergometrine can be decreased when combined with Fluvoxamine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Fluvoxamine.]
[H02AB04, methylprednisolone, The metabolism of Methylprednisolone can be decreased when combined with Fluvoxamine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Fluvoxamine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Fluvoxamine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Fluvoxamine.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Fluvoxamine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Fluvoxamine.]
[C03BA08, metolazone, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Metolazone.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Fluvoxamine.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Fluvoxamine.]
[V04CD01, metyrapone, Fluvoxamine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Fluvoxamine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Fluvoxamine.]
[S02AA13, miconazole, The metabolism of Fluvoxamine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Fluvoxamine.]
[B01AB07, parnaparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Fluvoxamine.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Tinzaparin.]
[J05AH01, zanamivir, Fluvoxamine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Fluvoxamine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[L01XX23, mitotane, The metabolism of Fluvoxamine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Fluvoxamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Fluvoxamine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Fluvoxamine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Fluvoxamine.]
[N02AA01, morphine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Fluvoxamine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Fluvoxamine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Fluvoxamine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Fluvoxamine.]
[G04BA01, ammonium chloride, Fluvoxamine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Fluvoxamine.]
[L04AA06, mycophenolic acid, Fluvoxamine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Fluvoxamine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Fluvoxamine.]
[G04CA04, silodosin, The metabolism of Silodosin can be decreased when combined with Fluvoxamine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Fluvoxamine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Fluvoxamine.]
[L03AB08, interferon beta-1b, The metabolism of Fluvoxamine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Fluvoxamine.]
[J01CA04, amoxicillin, Fluvoxamine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Fluvoxamine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Naftidrofuryl is combined with Fluvoxamine.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Nalbuphine is combined with Fluvoxamine.]
[V03AB15, naloxone, The metabolism of Fluvoxamine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Fluvoxamine.]
[L04AC03, anakinra, The metabolism of Fluvoxamine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Fluvoxamine.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Fluvoxamine.]
[M02AA12, naproxen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Naproxen.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Fluvoxamine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Fluvoxamine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Fluvoxamine.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Fluvoxamine.]
[S03AA01, neomycin, Fluvoxamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of serotonin syndrome can be increased when Remifentanil is combined with Fluvoxamine.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Repaglinide.]
[B01AC17, tirofiban, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Tirofiban.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Fluvoxamine.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[S01AA19, ampicillin, Fluvoxamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Fluvoxamine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Fluvoxamine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Fluvoxamine may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Fluvoxamine.]
[C01CE01, inamrinone, Fluvoxamine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Fluvoxamine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the serotonergic activities of Fluvoxamine.]
[C08CA04, nicardipine, The metabolism of Fluvoxamine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Fluvoxamine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Fluvoxamine.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Fluvoxamine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Fluvoxamine.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Niflumic acid.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be decreased when combined with Fluvoxamine.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Fluvoxamine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Fluvoxamine.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Fluvoxamine.]
[R07AX01, nitric oxide, Fluvoxamine may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Fluvoxamine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Fluvoxamine.]
[N04BC05, pramipexole, Fluvoxamine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Fluvoxamine may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Fluvoxamine.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Fluvoxamine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Fluvoxamine.]
[S01AE02, norfloxacin, The metabolism of Fluvoxamine can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Fluvoxamine.]
[B01AC16, eptifibatide, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Eptifibatide.]
[L03AB07, interferon beta-1a, The metabolism of Fluvoxamine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be decreased when combined with Fluvoxamine.]
[B01AB08, reviparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Reviparin.]
[H01CB02, octreotide, The risk or severity of hypoglycemia can be increased when Octreotide is combined with Fluvoxamine.]
[S02AA16, ofloxacin, Fluvoxamine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L04AC04, rilonacept, The metabolism of Fluvoxamine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Fluvoxamine.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Opipramol is combined with Fluvoxamine.]
[N02AA02, opium, The risk or severity of serotonin syndrome can be increased when Opium is combined with Fluvoxamine.]
[B01AD07, reteplase, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Ancrod.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Fluvoxamine.]
[J01CF04, oxacillin, Fluvoxamine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Fluvoxamine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Fluvoxamine.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Fluvoxamine.]
[N02AA05, oxycodone, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Fluvoxamine.]
[N02AA11, oxymorphone, The risk or severity of serotonin syndrome can be increased when Oxymorphone is combined with Fluvoxamine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxypertine is combined with Fluvoxamine.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The serum concentration of Asenapine can be increased when it is combined with Fluvoxamine.]
[B01AB09, danaparoid, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Fluvoxamine.]
[J04AB30, capreomycin, Fluvoxamine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Fluvoxamine.]
[N05CC05, paraldehyde, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be decreased when combined with Fluvoxamine.]
[C02KC01, pargyline, Pargyline may increase the serotonergic activities of Fluvoxamine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Fluvoxamine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Fluvoxamine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Fluvoxamine.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Penfluridol is combined with Fluvoxamine.]
[J01CE09, penicillin G procaine, Fluvoxamine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Pentazocine is combined with Fluvoxamine.]
[N05CA01, pentobarbital, The metabolism of Fluvoxamine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Fluvoxamine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Fluvoxamine.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Perazine is combined with Fluvoxamine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Fluvoxamine.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Fluvoxamine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Fluvoxamine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Fluvoxamine.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Phenazocine is combined with Fluvoxamine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the serotonergic activities of Fluvoxamine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Fluvoxamine.]
[B01AA02, phenindione, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Fluvoxamine.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Phenoperidine is combined with Fluvoxamine.]
[B01AA04, phenprocoumon, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Phenprocoumon.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Fluvoxamine.]
[V03AB36, phentolamine, Fluvoxamine may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Fluvoxamine can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Fluvoxamine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Fluvoxamine.]
[L04AB06, golimumab, The metabolism of Fluvoxamine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Fluvoxamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Fluvoxamine.]
[B02BA01, vitamin K1, Fluvoxamine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
