[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nifedipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Nifedipine.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Pramipexole is combined with Nifedipine.]
[C02DD01, nitroprusside, Nifedipine may increase the hypotensive activities of Nitroprusside.]
[G03DC02, norethindrone, The metabolism of Nifedipine can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Nifedipine can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Nifedipine.]
[L03AB07, interferon beta-1a, The metabolism of Nifedipine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, Nifedipine may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Nifedipine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Nifedipine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Nifedipine can be increased when combined with Omeprazole.]
[N02AA02, opium, Nifedipine may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, The risk or severity of hypotension can be increased when Tamsulosin is combined with Nifedipine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Nifedipine.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Nifedipine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Nifedipine.]
[C07AA02, oxprenolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Nifedipine can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Nifedipine.]
[S01BC02, oxyphenbutazone, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Oxyphenbutazone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Nifedipine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Danaparoid.]
[M03AC01, pancuronium, Nifedipine may increase the neuromuscular blocking activities of Pancuronium.]
[J04AB30, capreomycin, Nifedipine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Nifedipine.]
[H02AB05, paramethasone, The metabolism of Nifedipine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Nifedipine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Nifedipine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Nifedipine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Penbutolol.]
[N05AG03, penfluridol, Nifedipine may increase the arrhythmogenic activities of Penfluridol.]
[J01CE09, penicillin G procaine, Nifedipine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Nifedipine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Nifedipine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Nifedipine can be decreased when combined with Pentoxifylline.]
[C08EX02, perhexiline, Perhexiline may increase the arrhythmogenic activities of Nifedipine.]
[N05AB03, perphenazine, The metabolism of Nifedipine can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Nifedipine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Nifedipine.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Nifedipine.]
[N03AA02, phenobarbital, The metabolism of Nifedipine can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Nifedipine.]
[C04AX02, phenoxybenzamine, The risk or severity of hypotension can be increased when Phenoxybenzamine is combined with Nifedipine.]
[V03AB36, phentolamine, The risk or severity of hypotension can be increased when Phentolamine is combined with Nifedipine.]
[M02AA01, phenylbutazone, The risk or severity of hyperkalemia can be increased when Phenylbutazone is combined with Nifedipine.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Nifedipine is combined with Phenylephrine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Nifedipine.]
[L04AB06, golimumab, The metabolism of Nifedipine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Levofloxacin.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C08CX01, mibefradil, Nifedipine may increase the arrhythmogenic activities of Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Nifedipine can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Nifedipine.]
[C07AA03, pindolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Pindolol.]
[C10AA05, atorvastatin, Atorvastatin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Nifedipine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Nifedipine can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Nifedipine.]
[N06BX03, piracetam, Nifedipine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Eprosartan is combined with Nifedipine.]
[S01BC06, piroxicam, The risk or severity of hyperkalemia can be increased when Piroxicam is combined with Nifedipine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of hypotension can be increased when Pizotifen is combined with Nifedipine.]
[J05AG02, delavirdine, The metabolism of Nifedipine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The serum concentration of the active metabolites of Irbesartan can be increased when Irbesartan is used in combination with Nifedipine.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Nifedipine.]
[A03AE01, alosetron, The metabolism of Nifedipine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Nifedipine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Nifedipine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Nifedipine.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Nifedipine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin lispro.]
[C10AA08, pitavastatin, Nifedipine may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Practolol.]
[C01BA08, prajmaline, Nifedipine may increase the arrhythmogenic activities of Prajmaline.]
[P02BA01, praziquantel, The metabolism of Nifedipine can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Nifedipine.]
[H02AB07, prednisone, The metabolism of Nifedipine can be increased when combined with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Antazoline.]
[C01DX02, prenylamine, Nifedipine may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Nifedipine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Nifedipine can be increased when combined with Primidone.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Probucol.]
[C01BA02, procainamide, Procainamide may increase the arrhythmogenic activities of Nifedipine.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Nifedipine.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Nifedipine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Nifedipine.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AA03, promazine, The risk or severity of hypotension can be increased when Promazine is combined with Nifedipine.]
[R06AD02, promethazine, The metabolism of Nifedipine can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Propafenone.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AC01, periciazine, The risk or severity of hypotension can be increased when Periciazine is combined with Nifedipine.]
[N05CM06, propiomazine, The risk or severity of hypotension can be increased when Propiomazine is combined with Nifedipine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Nifedipine.]
[N02AC04, propoxyphene, The metabolism of Nifedipine can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Propranolol.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Nifedipine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Nifedipine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Nifedipine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Nifedipine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Nifedipine.]
[N07XX07, dalfampridine, Nifedipine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Nifedipine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Nifedipine.]
[R06AC01, pyrilamine, The metabolism of Nifedipine can be decreased when combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Nifedipine can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, Quinidine may increase the arrhythmogenic activities of Nifedipine.]
[P01BC01, quinine, The metabolism of Nifedipine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Nifedipine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Rescinnamine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Nifedipine can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Nifedipine.]
[N02BA05, salicylamide, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hyperkalemia can be increased when Sulfasalazine is combined with Nifedipine.]
[S01BC08, salicylic acid, The risk or severity of hyperkalemia can be increased when Salicylic acid is combined with Nifedipine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Nifedipine.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Nifedipine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Nifedipine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Nifedipine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Nifedipine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Nifedipine.]
[C07AA07, sotalol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Nifedipine.]
[C03DA01, spironolactone, Spironolactone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
