[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[J01DD04, ceftriaxone, The excretion of Zidovudine can be decreased when combined with Ceftriaxone.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N07XX11, pitolisant, The serum concentration of Zidovudine can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[C03AA09, cyclothiazide, The excretion of Zidovudine can be decreased when combined with Cyclothiazide.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Zidovudine.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Zidovudine.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Zidovudine.]
[J01DB03, cephalothin, The excretion of Zidovudine can be decreased when combined with Cefalotin.]
[J01DB09, cephradine, The excretion of Zidovudine can be decreased when combined with Cefradine.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Zidovudine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Zidovudine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The serum concentration of Zidovudine can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Zidovudine is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The metabolism of Zidovudine can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Zidovudine.]
[N03AX25, cenobamate, The serum concentration of Zidovudine can be decreased when it is combined with Cenobamate.]
[L01EX18, avapritinib, The metabolism of Zidovudine can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Teprotumumab.]
[N05AD10, lumateperone, The metabolism of Lumateperone can be increased when combined with Zidovudine.]
[M01AX21, diacetylrhein, The metabolism of Zidovudine can be decreased when combined with Diacerein.]
[J05AE05, amprenavir, The metabolism of Zidovudine can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Zidovudine.]
[N02CC06, eletriptan, The metabolism of Zidovudine can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of bleeding can be increased when Zidovudine is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Zidovudine.]
[C08CA16, clevidipine, The metabolism of Zidovudine can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The excretion of Zidovudine can be decreased when combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Zidovudine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Zidovudine.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be decreased when it is combined with Zidovudine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Zidovudine.]
[L01EX17, capmatinib, The serum concentration of Zidovudine can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluprednidene.]
[M01AC04, droxicam, The risk or severity of bleeding can be increased when Zidovudine is combined with Droxicam.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Zidovudine can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Zidovudine.]
[M02AA27, dexketoprofen, The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Zidovudine.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Zidovudine.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Zidovudine is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Stepronin.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Zidovudine.]
[L04AC19, satralizumab, The serum concentration of Zidovudine can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The excretion of Zidovudine can be decreased when combined with Chlorothiazide.]
[A10BB02, chlorpropamide, The excretion of Zidovudine can be decreased when combined with Chlorpropamide.]
[M03BB03, chlorzoxazone, The metabolism of Zidovudine can be decreased when combined with Chlorzoxazone.]
[N02BA07, ethenzamide, The risk or severity of bleeding can be increased when Zidovudine is combined with Ethenzamide.]
[M01AB08, etodolac, The risk or severity of bleeding can be increased when Zidovudine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of bleeding can be increased when Zidovudine is combined with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Etofibrate.]
[B06AC06, berotralstat, The metabolism of Zidovudine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Zidovudine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fludarabine.]
[J05AJ04, cabotegravir, The excretion of Zidovudine can be decreased when combined with Cabotegravir.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Zidovudine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Zidovudine can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Zidovudine can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of bleeding can be increased when Zidovudine is combined with Fenbufen.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Zidovudine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Zidovudine.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluocinolone acetonide.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Zidovudine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Zidovudine.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ponesimod.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Zidovudine.]
[A02BA01, cimetidine, The excretion of Cimetidine can be decreased when combined with Zidovudine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Zidovudine.]
[J01MB06, cinoxacin, The excretion of Zidovudine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Zidovudine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Zidovudine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Cisplatin.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pegcetacoplan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Zidovudine.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Zidovudine is combined with Belumosudil.]
[P01CA03, fexinidazole, The excretion of Zidovudine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Anifrolumab.]
[M01AG01, mefenamic acid, The risk or severity of bleeding can be increased when Zidovudine is combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Zidovudine can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Zidovudine.]
[N06AX25, St. John's wort extract, The metabolism of Zidovudine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Zidovudine can be decreased when combined with Asciminib.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Zidovudine.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Zidovudine.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Zidovudine can be increased when combined with Mitapivat.]
