[P02BB01, trichlorfon, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Metrifonate.]
[C10AA02, lovastatin, The metabolism of Quetiapine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Quetiapine.]
[B05XA11, magnesium chloride, Quetiapine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Quetiapine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Quetiapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Quetiapine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Quetiapine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The serum concentration of Quetiapine can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C02BB01, mecamylamine, Quetiapine may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Quetiapine.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Quetiapine.]
[P01BC02, mefloquine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Quetiapine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Meperidine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Quetiapine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Quetiapine is combined with Meptazinol.]
[G04BX16, tiopronin, Quetiapine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AX13, paliperidone, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Quetiapine.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Quetiapine.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Quetiapine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Quetiapine.]
[A03AB07, methantheline, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[H03BB02, methimazole, The serum concentration of Quetiapine can be increased when it is combined with Methimazole.]
[L01BA04, pemetrexed, Quetiapine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Quetiapine is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Quetiapine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Quetiapine.]
[C02AB01, methyldopa, Quetiapine may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Quetiapine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Quetiapine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Quetiapine is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Quetiapine.]
[G03EK01, methyltestosterone, Quetiapine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Quetiapine.]
[C03BA08, metolazone, Quetiapine may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, Quetiapine may increase the hypotensive activities of Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Quetiapine.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Quetiapine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Quetiapine.]
[S02AA13, miconazole, The metabolism of Quetiapine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Quetiapine is combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Quetiapine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Quetiapine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C09CA03, valsartan, Quetiapine may increase the hypotensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[D11AX01, minoxidil, Quetiapine may increase the hypotensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Quetiapine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Quetiapine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Quetiapine.]
[C01BD01, amiodarone, The serum concentration of Quetiapine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Quetiapine can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Quetiapine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Pazopanib.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Quetiapine.]
[G04CA04, silodosin, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[N06AA17, amoxapine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N03AB05, fosphenytoin, The metabolism of Quetiapine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Quetiapine may increase the hypotensive activities of Nadolol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Quetiapine.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Nalbuphine.]
[V03AB15, naloxone, The serum concentration of Quetiapine can be increased when it is combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Quetiapine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Quetiapine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Quetiapine.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Quetiapine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Quetiapine.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Quetiapine.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Quetiapine is combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Quetiapine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Quetiapine.]
[S03AA01, neomycin, Quetiapine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Quetiapine is combined with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Quetiapine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Quetiapine.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Quetiapine.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L03AX16, plerixafor, Quetiapine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Quetiapine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Quetiapine may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C01CE01, inamrinone, Quetiapine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Quetiapine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Quetiapine.]
[C08CA04, nicardipine, Quetiapine may increase the hypotensive activities of Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Quetiapine.]
[C08CA05, nifedipine, The risk or severity of hypotension can be increased when Quetiapine is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Quetiapine is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Quetiapine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Quetiapine may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Quetiapine may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C08CA08, nitrendipine, Quetiapine may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Quetiapine.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Quetiapine.]
[C02DD01, nitroprusside, Quetiapine may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Quetiapine.]
[G03DC02, norethindrone, The metabolism of Quetiapine can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Quetiapine.]
[C02KX01, bosentan, Quetiapine may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Quetiapine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Quetiapine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Quetiapine.]
[L04AC04, rilonacept, The metabolism of Quetiapine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Quetiapine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Quetiapine is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Quetiapine.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Quetiapine.]
[G04CA02, tamsulosin, Tamsulosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Quetiapine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Quetiapine.]
[C07AA02, oxprenolol, Quetiapine may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Quetiapine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Quetiapine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Quetiapine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Quetiapine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Quetiapine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Quetiapine.]
[N05AH05, asenapine, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M03AC01, pancuronium, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Quetiapine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Quetiapine.]
[N05CC05, paraldehyde, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Quetiapine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Quetiapine may increase the hypotensive activities of Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Quetiapine.]
[G04BD11, fesoterodine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Quetiapine may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J01CE09, penicillin G procaine, Quetiapine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Quetiapine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Quetiapine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Quetiapine.]
[C08EX02, perhexiline, The metabolism of Quetiapine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Quetiapine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Quetiapine.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Quetiapine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Quetiapine is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Quetiapine.]
[N03AA02, phenobarbital, The metabolism of Quetiapine can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Quetiapine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Quetiapine may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Quetiapine is combined with Phenprocoumon.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Quetiapine.]
[V03AB36, phentolamine, Quetiapine may increase the hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Quetiapine.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Quetiapine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Quetiapine.]
[N03AB02, phenytoin, The metabolism of Quetiapine can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Quetiapine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Quetiapine.]
[V03AB19, physostigmine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Physostigmine.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C08CX01, mibefradil, Quetiapine may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Quetiapine.]
[C07AA03, pindolol, Quetiapine may increase the hypotensive activities of Pindolol.]
[C10AA05, atorvastatin, The metabolism of Quetiapine can be decreased when combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J05AE01, saquinavir, The serum concentration of Quetiapine can be increased when it is combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Quetiapine can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX03, piracetam, Quetiapine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Quetiapine may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Quetiapine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Quetiapine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Quetiapine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, The serum concentration of Quetiapine can be increased when it is combined with Delavirdine.]
[C09CA04, irbesartan, Quetiapine may increase the hypotensive activities of Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Quetiapine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Quetiapine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L04AC08, canakinumab, The metabolism of Quetiapine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Quetiapine may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Quetiapine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Quetiapine.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Quetiapine is combined with Potassium chloride.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Quetiapine.]
[C07AB01, practolol, Quetiapine may increase the hypotensive activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Quetiapine.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[P02BA01, praziquantel, The metabolism of Quetiapine can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, Quetiapine may increase the hypotensive activities of Prazosin.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Quetiapine is combined with Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[P01BA03, primaquine, The metabolism of Quetiapine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Quetiapine can be increased when combined with Primidone.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Quetiapine.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Quetiapine.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Quetiapine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Quetiapine.]
[G03DA04, progesterone, The metabolism of Quetiapine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Promazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01BC03, propafenone, The metabolism of Quetiapine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A03AB05, propantheline, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Propiomazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Romidepsin.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Quetiapine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Quetiapine may increase the hypotensive activities of Propranolol.]
