[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Duloxetine.]
[L04AC03, anakinra, The metabolism of Duloxetine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Duloxetine may increase the tachycardic activities of Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Duloxetine.]
[M02AA12, naproxen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Troglitazone.]
[N07XX04, sodium oxybate, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[C01DA05, pentaerythritol tetranitrate, Duloxetine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N04BX01, tolcapone, The risk or severity of orthostatic hypotension and syncope can be increased when Tolcapone is combined with Duloxetine.]
[S03AA01, neomycin, Duloxetine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of orthostatic hypotension and syncope can be increased when Remifentanil is combined with Duloxetine.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Repaglinide.]
[C01CX08, levosimendan, The risk or severity of orthostatic hypotension and syncope can be increased when Levosimendan is combined with Duloxetine.]
[B01AC17, tirofiban, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Tirofiban.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Duloxetine.]
[J02AA01, amphotericin B, The risk or severity of orthostatic hypotension and syncope can be increased when Amphotericin B is combined with Duloxetine.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[L03AX16, plerixafor, Duloxetine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Duloxetine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Duloxetine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of orthostatic hypotension and syncope can be increased when Telmisartan is combined with Duloxetine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C01CE01, inamrinone, Duloxetine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Duloxetine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome can be increased when Nialamide is combined with Duloxetine.]
[C08CA04, nicardipine, The risk or severity of orthostatic hypotension and syncope can be increased when Nicardipine is combined with Duloxetine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Duloxetine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Duloxetine.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Duloxetine.]
[C08CA05, nifedipine, The risk or severity of orthostatic hypotension and syncope can be increased when Nifedipine is combined with Duloxetine.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of orthostatic hypotension and syncope can be increased when Amyl Nitrite is combined with Duloxetine.]
[C08CA06, nimodipine, The risk or severity of orthostatic hypotension and syncope can be increased when Nimodipine is combined with Duloxetine.]
[C08CA07, nisoldipine, The risk or severity of orthostatic hypotension and syncope can be increased when Nisoldipine is combined with Duloxetine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Duloxetine.]
[C08CA08, nitrendipine, The risk or severity of orthostatic hypotension and syncope can be increased when Nitrendipine is combined with Duloxetine.]
[R07AX01, nitric oxide, The risk or severity of orthostatic hypotension and syncope can be increased when Nitric Oxide is combined with Duloxetine.]
[J01XE01, nitrofurantoin, Duloxetine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Duloxetine.]
[N04BC05, pramipexole, The risk or severity of orthostatic hypotension and syncope can be increased when Pramipexole is combined with Duloxetine.]
[C02DD01, nitroprusside, The risk or severity of orthostatic hypotension and syncope can be increased when Nitroprusside is combined with Duloxetine.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Duloxetine.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Duloxetine.]
[C01CA03, norepinephrine, Duloxetine may increase the tachycardic activities of Norepinephrine.]
[C02KX01, bosentan, The metabolism of Duloxetine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Duloxetine.]
[R05DA07, noscapine, The metabolism of Duloxetine can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Eptifibatide.]
[G02CA02, nylidrin, Duloxetine may increase the tachycardic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Reviparin.]
[H01CB02, octreotide, The risk or severity of hypoglycemia can be increased when Octreotide is combined with Duloxetine.]
[L04AC04, rilonacept, The metabolism of Duloxetine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Duloxetine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Opipramol is combined with Duloxetine.]
[N02AA02, opium, The risk or severity of serotonin syndrome can be increased when Opium is combined with Duloxetine.]
[R03CB03, metaproterenol, Duloxetine may increase the tachycardic activities of Orciprenaline.]
[B01AD07, reteplase, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Ancrod.]
[G04CA02, tamsulosin, The risk or severity of orthostatic hypotension and syncope can be increased when Tamsulosin is combined with Duloxetine.]
[J01CF04, oxacillin, Duloxetine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Duloxetine can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Duloxetine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Duloxetine.]
[C07AA02, oxprenolol, The risk or severity of orthostatic hypotension and syncope can be increased when Oxprenolol is combined with Duloxetine.]
[N02AA05, oxycodone, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Duloxetine.]
[C01DX03, oxyfedrine, Duloxetine may increase the tachycardic activities of Oxyfedrine.]
[S01GA04, oxymetazoline, Duloxetine may increase the tachycardic activities of Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of serotonin syndrome can be increased when Oxymorphone is combined with Duloxetine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxypertine is combined with Duloxetine.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Asenapine is combined with Duloxetine.]
[B01AB09, danaparoid, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Duloxetine.]
[J04AB30, capreomycin, Duloxetine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of orthostatic hypotension and syncope can be increased when Papaverine is combined with Duloxetine.]
[N05CC05, paraldehyde, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome can be increased when Pargyline is combined with Duloxetine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Duloxetine.]
[C07AA23, penbutolol, The risk or severity of orthostatic hypotension and syncope can be increased when Penbutolol is combined with Duloxetine.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Penfluridol is combined with Duloxetine.]
[J01CE09, penicillin G procaine, Duloxetine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Pentazocine is combined with Duloxetine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Duloxetine.]
[L01XX08, pentostatin, Duloxetine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Perazine is combined with Duloxetine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Duloxetine.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Duloxetine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Duloxetine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Duloxetine.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Phenazocine is combined with Duloxetine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome can be increased when Phenelzine is combined with Duloxetine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Duloxetine.]
[B01AA02, phenindione, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Phenindione.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Duloxetine.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Phenoperidine is combined with Duloxetine.]
[C04AX02, phenoxybenzamine, The risk or severity of orthostatic hypotension and syncope can be increased when Phenoxybenzamine is combined with Duloxetine.]
[B01AA04, phenprocoumon, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Duloxetine.]
[V03AB36, phentolamine, The risk or severity of orthostatic hypotension and syncope can be increased when Phentolamine is combined with Duloxetine.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, Duloxetine may increase the tachycardic activities of Phenylephrine.]
[R01BA01, phenylpropanolamine, Duloxetine may increase the tachycardic activities of Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Duloxetine.]
[L04AB06, golimumab, The metabolism of Duloxetine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Duloxetine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Duloxetine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Duloxetine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Duloxetine is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of orthostatic hypotension and syncope can be increased when Pindolol is combined with Duloxetine.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Duloxetine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Duloxetine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Duloxetine.]
[N06BX03, piracetam, Duloxetine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of orthostatic hypotension and syncope can be increased when Eprosartan is combined with Duloxetine.]
[A02BX03, pirenzepine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Piritramide is combined with Duloxetine.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Duloxetine.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Duloxetine.]
[C09CA04, irbesartan, The risk or severity of orthostatic hypotension and syncope can be increased when Irbesartan is combined with Duloxetine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Proxibarbal is combined with Duloxetine.]
[B01AC13, abciximab, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Alteplase.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Rosiglitazone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Duloxetine.]
[L04AC08, canakinumab, The metabolism of Duloxetine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hyponatremia can be increased when Duloxetine is combined with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Duloxetine.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Saxagliptin.]
[B05XA01, potassium chloride, Duloxetine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[V03AB21, potassium iodide, The therapeutic efficacy of Potassium Iodide can be decreased when used in combination with Duloxetine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Duloxetine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Duloxetine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Duloxetine.]
[C02CA01, prazosin, The risk or severity of orthostatic hypotension and syncope can be increased when Prazosin is combined with Duloxetine.]
[H02AB07, prednisone, Duloxetine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Duloxetine.]
[P01BA03, primaquine, The metabolism of Duloxetine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Duloxetine.]
[M04AB01, probenecid, The metabolism of Duloxetine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Duloxetine.]
[S01HA05, procaine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Duloxetine.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome can be increased when Procarbazine is combined with Duloxetine.]
[C10AB05, fenofibrate, The metabolism of Duloxetine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Duloxetine.]
[N04AA04, procyclidine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Duloxetine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Duloxetine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Duloxetine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Duloxetine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Propanidid is combined with Duloxetine.]
[A03AB05, propantheline, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Duloxetine.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Duloxetine.]
[N01AX10, propofol, The risk or severity of orthostatic hypotension and syncope can be increased when Propofol is combined with Duloxetine.]
[N02AC04, propoxyphene, The risk or severity of serotonin syndrome can be increased when Dextropropoxyphene is combined with Duloxetine.]
[C07AA05, propranolol, The risk or severity of orthostatic hypotension and syncope can be increased when Propranolol is combined with Duloxetine.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Duloxetine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Duloxetine.]
[B01AC09, epoprostenol, The risk or severity of orthostatic hypotension and syncope can be increased when Epoprostenol is combined with Duloxetine.]
[R03DC03, montelukast, The metabolism of Duloxetine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Duloxetine.]
[R01BA02, pseudoephedrine, Duloxetine may increase the tachycardic activities of Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Duloxetine.]
[N07XX07, dalfampridine, Duloxetine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Duloxetine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Vinbarbital is combined with Duloxetine.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Captodiame is combined with Duloxetine.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Styramate is combined with Duloxetine.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Pyrantel is combined with Duloxetine.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Mepyramine is combined with Duloxetine.]
[C01BA01, quinidine, The metabolism of Duloxetine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Duloxetine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Duloxetine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of orthostatic hypotension and syncope can be increased when Reserpine is combined with Duloxetine.]
[J05AP01, ribavirin, Duloxetine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[R03AC05, rimiterol, Duloxetine may increase the tachycardic activities of Rimiterol.]
[G02CA01, ritodrine, Duloxetine may increase the tachycardic activities of Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Duloxetine.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Salicylic acid.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Duloxetine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Duloxetine.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Duloxetine.]
[L01FA03, obinutuzumab, The risk or severity of orthostatic hypotension and syncope can be increased when Obinutuzumab is combined with Duloxetine.]
[J01GB08, sisomicin, Duloxetine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Duloxetine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Duloxetine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of orthostatic hypotension and syncope can be increased when Sotalol is combined with Duloxetine.]
[C03DA01, spironolactone, The risk or severity of orthostatic hypotension and syncope can be increased when Spironolactone is combined with Duloxetine.]
[N06AF04, tranylcypromine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AF01, isocarboxazid, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N04BD01, selegiline, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
