[S02DA03, antipyrine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Antipyrine.]
[A03AB15, diphemanil, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Guanfacine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Mepyramine.]
[C01BA01, quinidine, Guanfacine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Guanfacine.]
[A02BA02, ranitidine, The risk or severity of adverse effects can be increased when Ranitidine is combined with Guanfacine.]
[C02AA01, rescinnamine, Guanfacine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Guanfacine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Guanfacine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Guanfacine.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Guanfacine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Guanfacine is combined with Oxitriptan.]
[N02BA05, salicylamide, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Salicylic acid.]
[S01FA02, scopolamine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Guanfacine.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Guanfacine.]
[L01FA03, obinutuzumab, Guanfacine may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Guanfacine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Guanfacine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Guanfacine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Sotalol.]
[C03DA01, spironolactone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Spironolactone.]
[N03AG01, valproic acid, The serum concentration of Valproic acid can be increased when it is combined with Guanfacine.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Guanfacine can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Tiaprofenic acid.]
[R03BB01, ipratropium bromide, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
