[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Labetalol.]
[S01HA05, procaine, Procaine may increase the bradycardic activities of Labetalol.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Labetalol.]
[C10AB05, fenofibrate, The metabolism of Labetalol can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The serum concentration of Labetalol can be increased when it is combined with Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Labetalol.]
[G03DA04, progesterone, The metabolism of Labetalol can be decreased when combined with Progesterone.]
[N05AA03, promazine, Promazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[R06AD02, promethazine, The serum concentration of Labetalol can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of adverse effects can be increased when Propafenone is combined with Labetalol.]
[A03AB05, propantheline, Labetalol may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N05AC01, periciazine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiomazine.]
[N01AX10, propofol, The metabolism of Labetalol can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Labetalol.]
[C07AA05, propranolol, Propranolol may increase the orthostatic hypotensive activities of Labetalol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Labetalol is combined with Propylthiouracil.]
[C01AB01, proscillaridin, Labetalol may increase the bradycardic activities of Proscillaridin.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Labetalol.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Labetalol.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Labetalol.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[N07XX07, dalfampridine, Labetalol may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Labetalol is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Labetalol is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Methscopolamine.]
[P02CC01, pyrantel, Labetalol may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Labetalol.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the bradycardic activities of Labetalol.]
[R06AC01, pyrilamine, The metabolism of Labetalol can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[P01BC01, quinine, The metabolism of Labetalol can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Labetalol can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Labetalol.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Labetalol.]
[J05AP01, ribavirin, Labetalol may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Labetalol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Labetalol.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Labetalol.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Labetalol.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Labetalol.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Labetalol.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Labetalol.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Labetalol.]
[L01FA03, obinutuzumab, Labetalol may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Labetalol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Labetalol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Labetalol may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Labetalol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium pangamate.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Labetalol.]
