[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Imipramine.]
[J02AC05, isavuconazole, The serum concentration of Imipramine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Imipramine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Imipramine.]
[L01EE02, cobimetinib, The serum concentration of Imipramine can be increased when it is combined with Cobimetinib.]
[L01XG03, ixazomib, Imipramine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The serum concentration of Imipramine can be increased when it is combined with Selexipag.]
[A10BB31, acetohexamide, Imipramine may decrease the hypoglycemic activities of Acetohexamide.]
[G04CA01, alfuzosin, Imipramine may increase the hypotensive activities of Alfuzosin.]
[M04AB05, lesinurad, Imipramine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The serum concentration of Imipramine can be increased when it is combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Imipramine can be increased when it is combined with Grazoprevir.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01XX52, venetoclax, The serum concentration of Imipramine can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N04BC01, bromocriptine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Imipramine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C08CA01, amlodipine, The risk or severity of hypotension can be increased when Imipramine is combined with Amlodipine.]
[N05AX17, pimavanserin, Imipramine may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M02AA09, bufexamac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Bufexamac.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Imipramine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Imipramine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Imipramine.]
[N07BC01, buprenorphine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Imipramine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Imipramine.]
[L01XX27, arsenic trioxide, The serum concentration of Imipramine can be increased when it is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Imipramine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Imipramine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Imipramine.]
[S01GX07, azelastine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Imipramine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Imipramine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Imipramine.]
[L01EF02, ribociclib, The metabolism of Imipramine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Imipramine.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Imipramine.]
[A06AH05, naldemedine, Imipramine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Imipramine.]
[N02BF02, pregabalin, The therapeutic efficacy of Imipramine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06BC01, caffeine, The metabolism of Imipramine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, Imipramine may decrease the antihypertensive activities of Benazepril.]
[A10BX06, benfluorex, Imipramine may decrease the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[P01CA02, benznidazole, Imipramine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Imipramine.]
[J05AF06, abacavir, Imipramine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Imipramine can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The risk or severity of Cardiac Arrhythmia can be increased when Benzylthiouracil is combined with Imipramine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Imipramine.]
[L04AB02, infliximab, The metabolism of Imipramine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Imipramine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the serotonergic activities of Imipramine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Imipramine.]
[B01AF04, betrixaban, The serum concentration of Imipramine can be increased when it is combined with Betrixaban.]
[L01BC06, capecitabine, Imipramine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Imipramine.]
[L01EH02, neratinib, The serum concentration of Imipramine can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Imipramine can be increased when it is combined with Inotuzumab ozogamicin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Imipramine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Imipramine.]
[A02BX12, bismuth subnitrate, Imipramine may increase the neurotoxic activities of Bismuth subnitrate.]
[C07AB07, bisoprolol, Bisoprolol may increase the orthostatic hypotensive activities of Imipramine.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Imipramine.]
[J05AG03, efavirenz, The metabolism of Imipramine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Imipramine.]
[N04AA11, bornaprine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Imipramine is combined with Nesiritide.]
[S01BC11, bromfenac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Bromfenac.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Imipramine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Imipramine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Bumadizone.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
