[S02DA03, antipyrine, The metabolism of Pomalidomide can be decreased when combined with Antipyrine.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Pomalidomide can be decreased when combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pomalidomide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Pomalidomide.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Lidocaine.]
[S01AA21, amikacin, Pomalidomide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Pomalidomide can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Pomalidomide.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Lofepramine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Pomalidomide.]
[A07DA03, loperamide, The serum concentration of Pomalidomide can be increased when it is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Pomalidomide.]
[C10AA02, lovastatin, The metabolism of Pomalidomide can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Pomalidomide can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Pomalidomide can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Pomalidomide may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Pomalidomide may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Pomalidomide can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Pomalidomide.]
[L01EA03, nilotinib, The metabolism of Pomalidomide can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Pomalidomide.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Pomalidomide.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Pomalidomide.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Medazepam.]
[P01BC02, mefloquine, The serum concentration of Pomalidomide can be increased when it is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Pomalidomide.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Pomalidomide.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Pomalidomide.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Pomalidomide.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Pomalidomide.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Pomalidomide can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Pomalidomide.]
[N03AA01, mephobarbital, The metabolism of Pomalidomide can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Pomalidomide.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Meptazinol.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The metabolism of Pomalidomide can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Pomalidomide.]
[N05AX13, paliperidone, The serum concentration of Pomalidomide can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pomalidomide.]
[H01CB03, lanreotide, The metabolism of Pomalidomide can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Pomalidomide.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Pomalidomide.]
[A03AB07, methantheline, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Pomalidomide.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Pomalidomide.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Pomalidomide.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Pomalidomide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Pomalidomide.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Pomalidomide.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Pomalidomide.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ziconotide is combined with Pomalidomide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Pomalidomide.]
[N05AA02, methotrimeprazine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Pomalidomide can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Pomalidomide.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Pomalidomide can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Pomalidomide can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Pomalidomide can be decreased when combined with Aminophylline.]
[H02AB04, methylprednisolone, The metabolism of Pomalidomide can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Pomalidomide.]
[G03EK01, methyltestosterone, Methyltestosterone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Pomalidomide.]
[N02CA04, methysergide, The metabolism of Pomalidomide can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Pomalidomide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Pomalidomide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Pomalidomide can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Pomalidomide can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Pomalidomide.]
[S02AA13, miconazole, The metabolism of Pomalidomide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Pomalidomide can be decreased when combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Pomalidomide.]
[N05CD08, midazolam, The metabolism of Pomalidomide can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Pomalidomide can be decreased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Pomalidomide.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[J01FA11, miocamycin, The metabolism of Pomalidomide can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Pomalidomide can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Pomalidomide.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Pomalidomide.]
[L03AC01, aldesleukin, The metabolism of Pomalidomide can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of Pomalidomide can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Pomalidomide.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Pomalidomide.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Pomalidomide can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Pomalidomide can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Pomalidomide.]
[L01EX03, pazopanib, The metabolism of Pomalidomide can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Pomalidomide.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Pomalidomide.]
[N05CA02, amobarbital, The metabolism of Pomalidomide can be increased when combined with Amobarbital.]
[G04CA04, silodosin, The serum concentration of Pomalidomide can be increased when it is combined with Silodosin.]
[R03BB01, ipratropium bromide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Pomalidomide can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Pomalidomide can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Pomalidomide.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N04BC04, ropinirole, Pomalidomide may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Pomalidomide can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Pomalidomide.]
[V03AB15, naloxone, The metabolism of Pomalidomide can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Pomalidomide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Pomalidomide can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Pomalidomide can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Pomalidomide.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Pomalidomide.]
[L01CD02, docetaxel, The metabolism of Pomalidomide can be decreased when combined with Docetaxel.]
[S03AA01, neomycin, Pomalidomide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Pomalidomide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Pomalidomide.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Iloperidone is combined with Pomalidomide.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[S01AA23, netilmicin, Pomalidomide may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Pomalidomide can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Pomalidomide.]
[C10AD02, niacin, The metabolism of Pomalidomide can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Pomalidomide.]
[C08CA04, nicardipine, The metabolism of Pomalidomide can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Pomalidomide can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Pomalidomide can be decreased when combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Pomalidomide.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pomalidomide.]
[N04BC05, pramipexole, Pomalidomide may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Pomalidomide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Pomalidomide.]
[G03DC02, norethindrone, The metabolism of Pomalidomide can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Pomalidomide can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Pomalidomide can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Pomalidomide can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Pomalidomide can be increased when it is combined with Sapropterin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Pomalidomide.]
[L03AB07, interferon beta-1a, The metabolism of Pomalidomide can be decreased when combined with Interferon beta-1a.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Pomalidomide.]
[H01CB02, octreotide, The serum concentration of Pomalidomide can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Pomalidomide can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Pomalidomide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Pomalidomide can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Opium.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Pomalidomide.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Pomalidomide.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M05BA08, zoledronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Zoledronic acid.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pomalidomide.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pomalidomide.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pomalidomide.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Pomalidomide.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A03AB03, oxyphenonium, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Asenapine is combined with Pomalidomide.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Pomalidomide.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[M03AC01, pancuronium, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Pomalidomide may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Pomalidomide can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Pomalidomide.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Pomalidomide can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Pomalidomide.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Pomalidomide.]
[J01CE09, penicillin G procaine, Pomalidomide may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Pomalidomide.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Pomalidomide.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Pomalidomide.]
[N05CA01, pentobarbital, The metabolism of Pomalidomide can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Pomalidomide.]
[C04AD03, pentoxifylline, The metabolism of Pomalidomide can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Pomalidomide.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Pomalidomide.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Pomalidomide.]
[N02BE03, phenacetin, The metabolism of Pomalidomide can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Pomalidomide.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Pomalidomide.]
[N03AA02, phenobarbital, The metabolism of Pomalidomide can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Pomalidomide.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Pomalidomide can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Pomalidomide can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The metabolism of Pomalidomide can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Pomalidomide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Pomalidomide can be decreased when combined with Bicalutamide.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C08CX01, mibefradil, The serum concentration of Pomalidomide can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pomalidomide can be decreased when combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Pomalidomide.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Pomalidomide can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Pomalidomide.]
[N06BX03, piracetam, Pomalidomide may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Pomalidomide can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Pomalidomide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Pomalidomide can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Proxibarbal.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Pomalidomide.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Pomalidomide.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Pomalidomide can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Pomalidomide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Pomalidomide can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Saxagliptin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Pomalidomide.]
[P02BA01, praziquantel, The metabolism of Pomalidomide can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The metabolism of Pomalidomide can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Pomalidomide.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Pomalidomide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Pomalidomide can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Pomalidomide can be increased when combined with Probenecid.]
[C01BA02, procainamide, Pomalidomide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Pomalidomide.]
[C10AB05, fenofibrate, The metabolism of Pomalidomide can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Pomalidomide.]
[N04AA04, procyclidine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, The metabolism of Pomalidomide can be decreased when combined with Promazine.]
[R06AD02, promethazine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The serum concentration of Pomalidomide can be increased when it is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Propanidid.]
[A03AB05, propantheline, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[R06AX26, fexofenadine, The serum concentration of Pomalidomide can be increased when it is combined with Fexofenadine.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Pomalidomide.]
[N05CM06, propiomazine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The serum concentration of Pomalidomide can be increased when it is combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Pomalidomide can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Pomalidomide can be decreased when combined with Dextropropoxyphene.]
