[P02BB01, trichlorfon, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Metrifonate.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Vinbarbital is combined with Paroxetine.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Captodiame is combined with Paroxetine.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Styramate is combined with Paroxetine.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Pyrantel is combined with Paroxetine.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Mepyramine is combined with Paroxetine.]
[C01BA01, quinidine, The metabolism of Paroxetine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Paroxetine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Paroxetine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Paroxetine.]
[J04AB02, rifampin, The metabolism of Paroxetine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Paroxetine.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Salicylic acid.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Paroxetine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Paroxetine.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Paroxetine.]
[N04BD01, selegiline, Selegiline may increase the serotonergic activities of Paroxetine.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Paroxetine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Paroxetine.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Paroxetine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Paroxetine.]
[H02CA04, levoketoconazole, The metabolism of Paroxetine can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Paroxetine is combined with Ipratropium.]
[N06AF04, tranylcypromine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AF01, isocarboxazid, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N04BD01, selegiline, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
