[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Rilpivirine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Rilpivirine.]
[N03AX25, cenobamate, The serum concentration of Rilpivirine can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Rilpivirine.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Rilpivirine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Rilpivirine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Rilpivirine.]
[L01XX72, tazemetostat, Rilpivirine may decrease the excretion rate of Tazemetostat which could result in a higher serum level.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Rilpivirine.]
[C10AX15, bempedoic acid, The excretion of Bempedoic acid can be decreased when combined with Rilpivirine.]
[J05AB16, remdesivir, The serum concentration of Rilpivirine can be increased when it is combined with Remdesivir.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Rilpivirine.]
[H02CA02, osilodrostat, The serum concentration of Rilpivirine can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Rilpivirine can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, Rilpivirine may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, Rilpivirine may decrease the excretion rate of Selumetinib which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Rilpivirine.]
[N02CC06, eletriptan, The serum concentration of Rilpivirine can be decreased when it is combined with Eletriptan.]
[M01AH02, rofecoxib, The serum concentration of Rilpivirine can be decreased when it is combined with Rofecoxib.]
[L01XF03, bexarotene, The serum concentration of Rilpivirine can be decreased when it is combined with Bexarotene.]
[C08CA16, clevidipine, The serum concentration of Rilpivirine can be decreased when it is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Rilpivirine.]
[S03AA08, chloramphenicol, The metabolism of Rilpivirine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Chlorcyclizine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Rilpivirine.]
[D07XB03, fluprednidene, The serum concentration of Rilpivirine can be decreased when it is combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Rilpivirine.]
[L01EX19, ripretinib, Rilpivirine may decrease the excretion rate of Ripretinib which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Rilpivirine can be increased when it is combined with Selpercatinib.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Rilpivirine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Rilpivirine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Ebastine.]
[J05AX29, fostemsavir, Rilpivirine may decrease the excretion rate of Fostemsavir which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Rilpivirine.]
[L01FX15, belantamab mafodotin, The excretion of Belantamab mafodotin can be decreased when combined with Rilpivirine.]
[L04AC19, satralizumab, The serum concentration of Rilpivirine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Rilpivirine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Rilpivirine.]
[L01EX23, pralsetinib, The serum concentration of Rilpivirine can be increased when it is combined with Pralsetinib.]
[D01AE07, chlorphenesin, The serum concentration of Rilpivirine can be decreased when it is combined with Chlorphenesin.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Rilpivirine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Rilpivirine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Rilpivirine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Rilpivirine.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Rilpivirine.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Rilpivirine.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Rilpivirine.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Rilpivirine.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Rilpivirine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Relugolix.]
[P03AX07, abametapir, The serum concentration of Rilpivirine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, Rilpivirine may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N03AX10, felbamate, The serum concentration of Rilpivirine can be decreased when it is combined with Felbamate.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Flumequine.]
[R03BA03, flunisolide, The serum concentration of Rilpivirine can be decreased when it is combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The serum concentration of Rilpivirine can be decreased when it is combined with Fluocinolone acetonide.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Rilpivirine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Rilpivirine.]
[A02BA01, cimetidine, Cimetidine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Rilpivirine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Rilpivirine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Rilpivirine.]
[S03AA07, ciprofloxacin, The serum concentration of Rilpivirine can be increased when it is combined with Ciprofloxacin.]
[N06AB04, citalopram, Rilpivirine may increase the QTc-prolonging activities of Citalopram.]
[H01AC07, somapacitan, The metabolism of Rilpivirine can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Rilpivirine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Rilpivirine is combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Rilpivirine.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Mobocertinib.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Rilpivirine.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Rilpivirine.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Rilpivirine.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Rilpivirine.]
[N06AX25, St. John's wort extract, The serum concentration of Rilpivirine can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Rilpivirine can be decreased when combined with Asciminib.]
[D07AD01, clobetasol, The serum concentration of Rilpivirine can be decreased when it is combined with Clobetasol.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Rilpivirine.]
[J04BA01, clofazimine, The serum concentration of Rilpivirine can be increased when it is combined with Clofazimine.]
[C10AB01, clofibrate, The serum concentration of Rilpivirine can be decreased when it is combined with Clofibrate.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Rilpivirine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Rilpivirine.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Rilpivirine.]
[C01EB24, mavacamten, The serum concentration of Rilpivirine can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The absorption of Rilpivirine can be decreased when combined with Vonoprazan.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Rilpivirine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Rilpivirine.]
[G01AF02, clotrimazole, The serum concentration of Rilpivirine can be decreased when it is combined with Clotrimazole.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Granisetron.]
[L01XX77, adagrasib, The serum concentration of Rilpivirine can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The serum concentration of Rilpivirine can be decreased when it is combined with Clozapine.]
[D07AC12, halometasone, The serum concentration of Rilpivirine can be decreased when it is combined with Halometasone.]
[H01AC08, somatrogon, The metabolism of Rilpivirine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Rilpivirine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Rilpivirine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Rilpivirine.]
[L04AA13, leflunomide, Rilpivirine may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
