[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dexmedetomidine.]
[N05CC05, paraldehyde, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[G04BD11, fesoterodine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Dexmedetomidine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Dexmedetomidine.]
[L01XX08, pentostatin, Dexmedetomidine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Dexmedetomidine.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Perazine.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Dexmedetomidine.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Dexmedetomidine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Dexmedetomidine.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Dexmedetomidine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Phenoxybenzamine.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Dexmedetomidine.]
[V03AB36, phentolamine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dexmedetomidine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Dexmedetomidine.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Dexmedetomidine.]
[S01AE05, levofloxacin, Dexmedetomidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Dexmedetomidine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C08CX01, mibefradil, Dexmedetomidine may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Dexmedetomidine.]
[C07AA03, pindolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Dexmedetomidine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Pipotiazine.]
[N06BX03, piracetam, Dexmedetomidine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Dexmedetomidine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Dexmedetomidine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Dexmedetomidine.]
[N02CX01, pizotyline, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Dexmedetomidine.]
[C09CA04, irbesartan, Dexmedetomidine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Alosetron.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Dexmedetomidine.]
[A10BH03, saxagliptin, Dexmedetomidine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Dexmedetomidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C07AB01, practolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Dexmedetomidine.]
[C02CA01, prazosin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Prazosin.]
[H02AB07, prednisone, Dexmedetomidine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01DX02, prenylamine, Dexmedetomidine may increase the bradycardic activities of Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Dexmedetomidine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Dexmedetomidine.]
[M04AB01, probenecid, Dexmedetomidine may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Dexmedetomidine.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[C10AB05, fenofibrate, Dexmedetomidine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dexmedetomidine.]
[N04AA04, procyclidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Dexmedetomidine.]
[N05AA03, promazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Propanidid.]
[A03AB05, propantheline, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Rizatriptan.]
[B01AC09, epoprostenol, Dexmedetomidine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Dexmedetomidine.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, Dexmedetomidine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Dexmedetomidine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Mepyramine.]
[C01BA01, quinidine, Dexmedetomidine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Dexmedetomidine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Dexmedetomidine.]
[C02AA01, rescinnamine, Dexmedetomidine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Dexmedetomidine.]
[J05AP01, ribavirin, Dexmedetomidine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Salicylic acid.]
[S01FA02, scopolamine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Dexmedetomidine.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Dexmedetomidine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Dexmedetomidine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Dexmedetomidine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Dexmedetomidine.]
[C03DA01, spironolactone, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Spironolactone.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Isosorbide mononitrate.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
