[S02DA03, antipyrine, The metabolism of Vortioxetine can be decreased when combined with Antipyrine.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Vortioxetine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Vortioxetine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Vortioxetine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Vortioxetine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Vortioxetine can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Vortioxetine.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Vortioxetine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Vortioxetine.]
[P01BA06, amodiaquine, The metabolism of Vortioxetine can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Vortioxetine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Vortioxetine.]
[N03AB05, fosphenytoin, The metabolism of Vortioxetine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Vortioxetine may decrease the antihypertensive activities of Nadolol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N04BC04, ropinirole, Vortioxetine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Vortioxetine.]
[V03AB15, naloxone, The metabolism of Vortioxetine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Vortioxetine.]
[L04AC03, anakinra, The metabolism of Vortioxetine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Vortioxetine.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Vortioxetine.]
[M02AA12, naproxen, The metabolism of Vortioxetine can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Vortioxetine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Vortioxetine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Vortioxetine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Vortioxetine.]
[L02BG04, letrozole, The metabolism of Vortioxetine can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Vortioxetine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Vortioxetine.]
[A10BX02, repaglinide, The metabolism of Vortioxetine can be decreased when combined with Repaglinide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Vortioxetine is combined with Tirofiban.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S01AA23, netilmicin, Vortioxetine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Vortioxetine can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Vortioxetine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The metabolism of Vortioxetine can be decreased when combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Vortioxetine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the vasoconstricting activities of Vortioxetine.]
[P02DA01, niclosamide, The metabolism of Vortioxetine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Vortioxetine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Vortioxetine can be decreased when combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Niflumic acid is combined with Vortioxetine.]
[C08CA06, nimodipine, Vortioxetine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Vortioxetine may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Vortioxetine.]
[C08CA08, nitrendipine, Vortioxetine may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vortioxetine.]
[N04BC05, pramipexole, Vortioxetine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Vortioxetine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Vortioxetine.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Vortioxetine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Vortioxetine.]
[G03DC02, norethindrone, The metabolism of Vortioxetine can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Vortioxetine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Vortioxetine.]
[R05DA07, noscapine, The metabolism of Vortioxetine can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Vortioxetine is combined with Eptifibatide.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Nylidrin is combined with Vortioxetine.]
[L04AC04, rilonacept, The metabolism of Vortioxetine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Vortioxetine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Vortioxetine.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Vortioxetine can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Vortioxetine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vortioxetine.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Vortioxetine.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Vortioxetine.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Vortioxetine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Vortioxetine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Vortioxetine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Oxyphenbutazone is combined with Vortioxetine.]
[A03AB03, oxyphenonium, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[M03AC01, pancuronium, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Vortioxetine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Vortioxetine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The metabolism of Vortioxetine can be decreased when combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G04BD11, fesoterodine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Vortioxetine.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Vortioxetine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Vortioxetine.]
[N05CA01, pentobarbital, The metabolism of Vortioxetine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Vortioxetine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Vortioxetine is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Perazine.]
[N04BC02, pergolide, Pergolide may increase the vasoconstricting activities of Vortioxetine.]
[C08EX02, perhexiline, The metabolism of Vortioxetine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Vortioxetine can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N06AF03, phenelzine, The metabolism of Vortioxetine can be decreased when combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Vortioxetine can be decreased when combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Vortioxetine can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Vortioxetine may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Vortioxetine.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Vortioxetine.]
[V03AB36, phentolamine, Vortioxetine may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Vortioxetine can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Vortioxetine.]
[A02BC06, dexlansoprazole, The metabolism of Vortioxetine can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Vortioxetine.]
[N03AB02, phenytoin, The metabolism of Vortioxetine can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Vortioxetine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Vortioxetine can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Vortioxetine can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Vortioxetine.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Vortioxetine.]
[C10AA05, atorvastatin, The metabolism of Vortioxetine can be decreased when combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Vortioxetine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Vortioxetine can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Pipotiazine.]
[N06BX03, piracetam, Vortioxetine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Vortioxetine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Vortioxetine can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N02CX01, pizotyline, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Vortioxetine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Vortioxetine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Proxibarbal.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Vortioxetine is combined with Abciximab.]
[D05AX05, tazarotene, The metabolism of Vortioxetine can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Vortioxetine can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Vortioxetine can be decreased when combined with Anastrozole.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Vortioxetine.]
[L04AC08, canakinumab, The metabolism of Vortioxetine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Vortioxetine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Saxagliptin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Vortioxetine can be decreased when combined with Pitavastatin.]
[C07AB01, practolol, Vortioxetine may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Vortioxetine.]
[P02BA01, praziquantel, The metabolism of Vortioxetine can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, Vortioxetine may decrease the antihypertensive activities of Prazosin.]
[H02AB07, prednisone, The metabolism of Vortioxetine can be increased when combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Vortioxetine.]
[P01BA03, primaquine, The metabolism of Vortioxetine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Vortioxetine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Vortioxetine can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Vortioxetine.]
[S01HA05, procaine, The metabolism of Vortioxetine can be decreased when combined with Procaine.]
[L01XB01, procarbazine, The metabolism of Vortioxetine can be decreased when combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Vortioxetine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Prochlorperazine.]
[N04AA04, procyclidine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Vortioxetine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Vortioxetine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Propanidid.]
[A03AB05, propantheline, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Periciazine.]
[N05CM06, propiomazine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Vortioxetine can be decreased when combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Vortioxetine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Vortioxetine.]
[C07AA05, propranolol, The metabolism of Vortioxetine can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Vortioxetine.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Vortioxetine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Vortioxetine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Vortioxetine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Vortioxetine.]
[N05AX12, aripiprazole, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A03AB15, diphemanil, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Vortioxetine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Captodiame is combined with Vortioxetine.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Mepyramine is combined with Vortioxetine.]
[P01BD01, pyrimethamine, The metabolism of Vortioxetine can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Vortioxetine can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Vortioxetine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Vortioxetine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Vortioxetine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Vortioxetine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Vortioxetine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Vortioxetine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Vortioxetine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Vortioxetine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Salicylamide is combined with Vortioxetine.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Vortioxetine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Vortioxetine.]
[S01FA02, scopolamine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Vortioxetine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Vortioxetine can be decreased when combined with Selegiline.]
[J01GB08, sisomicin, Vortioxetine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Vortioxetine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Vortioxetine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Vortioxetine.]
[C03DA01, spironolactone, The metabolism of Vortioxetine can be decreased when combined with Spironolactone.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Vortioxetine.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Vortioxetine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vortioxetine.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Vortioxetine.]
