[S02DA03, antipyrine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Antipyrine.]
[A02BA02, ranitidine, Torasemide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Torasemide.]
[C02AA02, reserpine, Torasemide may increase the excretion rate of Reserpine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP01, ribavirin, Torasemide may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB02, rifampin, The metabolism of Torasemide can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Torasemide.]
[G02CA01, ritodrine, The risk or severity of hypokalemia can be increased when Ritodrine is combined with Torasemide.]
[J01FA06, roxithromycin, The excretion of Torasemide can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Torasemide can be decreased when used in combination with Salicylic acid.]
[N05CA06, secobarbital, The metabolism of Torasemide can be increased when combined with Secobarbital.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Torasemide.]
[L01FA03, obinutuzumab, Torasemide may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, The serum concentration of Sisomicin can be increased when it is combined with Torasemide.]
[A12CD01, sodium fluoride, Torasemide may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CC01, sorbitol, The risk or severity of adverse effects can be increased when Torasemide is combined with Sorbitol.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Torasemide is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Torasemide.]
[C03DA01, spironolactone, The metabolism of Torasemide can be decreased when combined with Spironolactone.]
[N05CC01, chloral hydrate, Torasemide may increase the excretion rate of Chloral hydrate which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AG01, valproic acid, The metabolism of Torasemide can be decreased when combined with Valproic acid.]
[M05BA01, etidronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Etidronic acid.]
[M05BA04, alendronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Alendronic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypokalemia can be increased when Hydrocortisone butyrate is combined with Torasemide.]
[C01DA14, isosorbide mononitrate, Torasemide may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[H02CA04, levoketoconazole, The metabolism of Torasemide can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Torasemide may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Torasemide can be decreased when used in combination with Tiaprofenic acid.]
