[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Clozapine.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[A03AA09, difemerine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Clozapine is combined with Tioclomarol.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Clozapine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Clozapine.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Clozapine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Clozapine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Clozapine.]
[A04AD14, rolapitant, The metabolism of Clozapine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Clozapine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Clozapine.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Clozapine.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Clozapine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Clozapine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Clozapine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Clozapine.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Clozapine.]
[V03AB37, idarucizumab, Clozapine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of neutropenia can be increased when Trabectedin is combined with Clozapine.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Clozapine.]
[L01EB04, osimertinib, The serum concentration of Clozapine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Clozapine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Clozapine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Clozapine.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Clozapine.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Clozapine.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Clozapine.]
[G04CA01, alfuzosin, Clozapine may increase the hypotensive activities of Alfuzosin.]
[M04AB05, lesinurad, Clozapine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Clozapine.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Clozapine.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Clozapine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Clozapine.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Clozapine.]
[N04BC01, bromocriptine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Clozapine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R06AB01, brompheniramine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Brompheniramine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Clozapine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Clozapine.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A05AA04, obeticholic acid, The metabolism of Clozapine can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Clozapine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Clozapine.]
[N07BC01, buprenorphine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Clozapine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Clozapine.]
[L01AB01, busulfan, The risk or severity of neutropenia can be increased when Busulfan is combined with Clozapine.]
[L01XX27, arsenic trioxide, The risk or severity of neutropenia can be increased when Arsenic trioxide is combined with Clozapine.]
[N06DA03, rivastigmine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Clozapine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Clozapine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Clozapine.]
[S01GX07, azelastine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Clozapine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Clozapine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Clozapine.]
[L01EF02, ribociclib, The metabolism of Clozapine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Clozapine is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Clozapine.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Clozapine.]
[A06AH05, naldemedine, Clozapine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Clozapine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Clozapine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N06BC01, caffeine, The metabolism of Clozapine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, Clozapine may decrease the antihypertensive activities of Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Clozapine.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Clozapine.]
[P01CA02, benznidazole, Clozapine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of neutropenia can be increased when Linezolid is combined with Clozapine.]
[J05AF06, abacavir, Clozapine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Clozapine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Clozapine.]
[L04AB02, infliximab, The metabolism of Clozapine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Clozapine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Clozapine.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Clozapine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Clozapine.]
[L01BC06, capecitabine, The risk or severity of neutropenia can be increased when Capecitabine is combined with Clozapine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Clozapine.]
