[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Buspirone is combined with Antipyrine.]
[C08EX02, perhexiline, The metabolism of Buspirone can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Buspirone.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Buspirone is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Buspirone.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Buspirone.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Buspirone is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Buspirone can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Buspirone is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Buspirone may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Buspirone is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Buspirone.]
[V03AB36, phentolamine, Buspirone may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Buspirone is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Buspirone.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Buspirone.]
[N03AB02, phenytoin, The metabolism of Buspirone can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Buspirone can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Buspirone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Buspirone may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Buspirone can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Buspirone.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Buspirone is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Buspirone.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Buspirone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Buspirone.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Pipotiazine.]
[N06BX03, piracetam, Buspirone may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Buspirone may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Buspirone.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Buspirone is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Buspirone is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N02CX01, pizotyline, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Buspirone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Buspirone may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Buspirone is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Buspirone is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Buspirone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Buspirone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Buspirone may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Buspirone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C07AB01, practolol, Buspirone may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Buspirone.]
[C02CA01, prazosin, Buspirone may decrease the antihypertensive activities of Prazosin.]
[H02AB07, prednisone, Buspirone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Buspirone is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Buspirone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Buspirone can be increased when combined with Primidone.]
[M04AB01, probenecid, Buspirone may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Buspirone.]
[S01HA05, procaine, The risk or severity of hypertension can be increased when Procaine is combined with Buspirone.]
[L01XB01, procarbazine, The risk or severity of hypertension can be increased when Procarbazine is combined with Buspirone.]
[C10AB05, fenofibrate, Buspirone may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Buspirone.]
[N04AA04, procyclidine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Buspirone can be decreased when combined with Progesterone.]
[N05AA03, promazine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Buspirone can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Buspirone is combined with Propanidid.]
[A03AB05, propantheline, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Periciazine.]
[N05CM06, propiomazine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Buspirone.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Buspirone is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Buspirone is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Buspirone may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Buspirone is combined with Rizatriptan.]
[B01AC09, epoprostenol, Buspirone may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Buspirone.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, Buspirone may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Buspirone.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Buspirone is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Buspirone is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Buspirone is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Buspirone is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Buspirone is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Buspirone.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Buspirone.]
[P01BC01, quinine, The metabolism of Buspirone can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Buspirone can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Buspirone may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Buspirone.]
[J05AP01, ribavirin, Buspirone may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Buspirone can be decreased when it is combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Buspirone is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Buspirone is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Buspirone is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Buspirone is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Buspirone is combined with Salicylic acid.]
[S01FA02, scopolamine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Buspirone.]
[N04BD01, selegiline, The risk or severity of hypertension can be increased when Selegiline is combined with Buspirone.]
[J01GB08, sisomicin, Buspirone may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Buspirone may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Buspirone may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Buspirone.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Buspirone.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Buspirone.]
[V09AB03, ioflupane I-123, Buspirone may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[V09AA01, technetium Tc 99m exametazime, Buspirone may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Buspirone may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Buspirone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Buspirone.]
