[S02DA03, antipyrine, The metabolism of Ifosfamide can be decreased when combined with Antipyrine.]
[C10AB05, fenofibrate, The metabolism of Ifosfamide can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, The metabolism of Ifosfamide can be increased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Ifosfamide can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Ifosfamide can be decreased when combined with Promethazine.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Ifosfamide.]
[N01AX10, propofol, The metabolism of Ifosfamide can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Ifosfamide can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Ifosfamide can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ifosfamide.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Ifosfamide.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Ifosfamide is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Ifosfamide.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Ifosfamide.]
[N07XX07, dalfampridine, Ifosfamide may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Ifosfamide may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Ifosfamide.]
[P01BD01, pyrimethamine, The metabolism of Ifosfamide can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Ifosfamide can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Ifosfamide.]
[P01BC01, quinine, The metabolism of Ifosfamide can be increased when combined with Quinine.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C02AA02, reserpine, The metabolism of Ifosfamide can be increased when combined with Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Ifosfamide can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Ifosfamide can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Ifosfamide.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N05CA06, secobarbital, The metabolism of Ifosfamide can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Ifosfamide can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Obinutuzumab.]
[J01GB08, sisomicin, Ifosfamide may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ifosfamide may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Ifosfamide.]
[H01CB01, somatostatin, The metabolism of Ifosfamide can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, Ifosfamide may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Ifosfamide.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Ifosfamide.]
[C03DA01, spironolactone, The metabolism of Ifosfamide can be decreased when combined with Spironolactone.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Ifosfamide is combined with Paclitaxel poliglumex.]
[C01DA14, isosorbide mononitrate, The risk or severity of methemoglobinemia can be increased when Isosorbide mononitrate is combined with Ifosfamide.]
[H02CA04, levoketoconazole, The metabolism of Ifosfamide can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
