[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[J01GB14, plazomicin, Levofloxacin may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Levofloxacin.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ivosidenib.]
[P01BA07, tafenoquine, The excretion of Levofloxacin can be decreased when combined with Tafenoquine.]
[A16AX14, migalastat, Levofloxacin may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Levofloxacin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Levofloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Levofloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Levofloxacin may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Levofloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Levofloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Levofloxacin.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Amifampridine.]
[A06AX05, prucalopride, Levofloxacin may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Levofloxacin.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Levofloxacin.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Levofloxacin.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Clarithromycin.]
[N06BA14, solriamfetol, Levofloxacin may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Levofloxacin.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Levofloxacin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01CF03, methicillin, The serum concentration of Levofloxacin can be increased when it is combined with Meticillin.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EX15, pexidartinib, The excretion of Levofloxacin can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EJ02, fedratinib, The excretion of Levofloxacin can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Levofloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Levofloxacin.]
[N04CX01, istradefylline, The excretion of Levofloxacin can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Levofloxacin.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Levofloxacin.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M09AX08, golodirsen, Levofloxacin may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Levofloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Levofloxacin may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01XX72, tazemetostat, The excretion of Levofloxacin can be decreased when combined with Tazemetostat.]
[J05AB16, remdesivir, The excretion of Levofloxacin can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levofloxacin.]
[R02AA03, dichlorobenzyl alcohol, Levofloxacin may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Levofloxacin may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[L01XD01, porfimer sodium, Levofloxacin may increase the photosensitizing activities of Porfimer sodium.]
[M01AH02, rofecoxib, Rofecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[C08CA16, clevidipine, Levofloxacin may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03AA08, chloramphenicol, The excretion of Levofloxacin can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Levofloxacin.]
[L01EH03, tucatinib, The excretion of Levofloxacin can be decreased when combined with Tucatinib.]
[L01EX17, capmatinib, The excretion of Levofloxacin can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Levofloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Levofloxacin.]
