[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Lamivudine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BD06, propiverine, Lamivudine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Lamivudine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Risedronic acid.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B05XA08, sodium acetate, Lamivudine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Lamivudine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, The serum concentration of Lamivudine can be increased when it is combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Paclitaxel.]
[R01AD07, tixocortol, Lamivudine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Lamivudine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A11HA07, inositol, Lamivudine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Lamivudine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, The serum concentration of Lamivudine can be increased when it is combined with Varenicline.]
[A10BH01, sitagliptin, Lamivudine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05CH02, ramelteon, Lamivudine may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Lamivudine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ipecac.]
[G04BE01, alprostadil, The excretion of Lamivudine can be decreased when combined with Alprostadil.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Isoniazid.]
[J05AX05, inosine pranobex, Lamivudine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Lamivudine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Isotretinoin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Lamivudine.]
[S01AA24, kanamycin, Lamivudine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Lamivudine.]
[N01AX03, ketamine, Lamivudine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Lamivudine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The serum concentration of Lamivudine can be increased when it is combined with Levoketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N04BB01, amantadine, The serum concentration of Lamivudine can be increased when it is combined with Amantadine.]
[A06AX03, lubiprostone, Lamivudine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA21, amikacin, Lamivudine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The serum concentration of Lamivudine can be increased when it is combined with Amiloride.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C10AA02, lovastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lovastatin is combined with Lamivudine.]
[B05XA11, magnesium chloride, Lamivudine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Lamivudine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Lamivudine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, Nilotinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Lamivudine may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Lamivudine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Lamivudine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N01BB03, mepivacaine, Lamivudine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Lamivudine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Lamivudine may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06BA03, methamphetamine, Lamivudine may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Lamivudine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[J01MB02, nalidixic acid, The excretion of Lamivudine can be decreased when combined with Nalidixic acid.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Lamivudine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Lamivudine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methotrexate is combined with Lamivudine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Methyldopa.]
[V04CG05, methylene blue, The serum concentration of Lamivudine can be increased when it is combined with Methylene blue.]
[G03EK01, methyltestosterone, Lamivudine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The serum concentration of Lamivudine can be increased when it is combined with Metoprolol.]
[V04CD01, metyrapone, Lamivudine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Minocycline.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Lamivudine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Lamivudine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, Eltrombopag may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BA01, ammonium chloride, Lamivudine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Lamivudine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[C07AA12, nadolol, Lamivudine may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Lamivudine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The excretion of Lamivudine can be decreased when combined with Nafcillin.]
[V03AB15, naloxone, Lamivudine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Lamivudine.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Letrozole.]
[S03AA01, neomycin, Lamivudine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Lamivudine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Lamivudine.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L03AX16, plerixafor, Lamivudine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Lamivudine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Lamivudine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Lamivudine can be decreased when combined with Febuxostat.]
[C01CE01, inamrinone, Lamivudine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Lamivudine.]
[N07BA01, nicotine, The serum concentration of Lamivudine can be increased when it is combined with Nicotine.]
[C08CA05, nifedipine, Lamivudine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05CF03, zaleplon, Lamivudine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Lamivudine can be increased when it is combined with Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Norfloxacin.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ofloxacin.]
[A02BC01, omeprazole, Omeprazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02AA02, opium, Lamivudine may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01CF04, oxacillin, Lamivudine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Lamivudine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, The serum concentration of Lamivudine can be increased when it is combined with Oxprenolol.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01AA04, oxytetracycline, The excretion of Lamivudine can be decreased when combined with Oxytetracycline.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Lamivudine can be increased when it is combined with Aminohippuric acid.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Lamivudine.]
[J04AB30, capreomycin, Lamivudine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BD11, fesoterodine, Lamivudine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Lamivudine may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Lamivudine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[S01AA14, penicillin G, The excretion of Lamivudine can be decreased when combined with Benzylpenicillin.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01XX08, pentostatin, Lamivudine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Lamivudine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02BE03, phenacetin, The excretion of Lamivudine can be decreased when combined with Phenacetin.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06AF03, phenelzine, Lamivudine may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The serum concentration of Lamivudine can be increased when it is combined with Phenformin.]
[C04AX02, phenoxybenzamine, The serum concentration of Lamivudine can be increased when it is combined with Phenoxybenzamine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AB02, phenytoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Lamivudine.]
[S01AE05, levofloxacin, Lamivudine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Lamivudine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C07AA03, pindolol, Lamivudine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C10AA05, atorvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AE01, saquinavir, Saquinavir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06BX03, piracetam, Lamivudine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Eprosartan.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The serum concentration of Lamivudine can be increased when it is combined with Grepafloxacin.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, Ritonavir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A10BH03, saxagliptin, Lamivudine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Lamivudine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Pitavastatin.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Lamivudine.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M04AB01, probenecid, The serum concentration of Lamivudine can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, Lamivudine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Procarbazine.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Fenofibrate.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R06AD02, promethazine, Lamivudine may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Lamivudine may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Propofol.]
[C07AA05, propranolol, The serum concentration of Lamivudine can be increased when it is combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Lamivudine.]
[N02CC04, rizatriptan, Lamivudine may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Lamivudine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Lamivudine.]
[N07XX07, dalfampridine, Lamivudine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Lamivudine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01AX05, quinacrine, The serum concentration of Lamivudine can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, Lamivudine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The serum concentration of Lamivudine can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Lamivudine can be increased when it is combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Lamivudine.]
[J05AP01, ribavirin, Ribavirin may increase the hepatotoxic activities of Lamivudine.]
[S01XA26, riboflavin, The excretion of Lamivudine can be decreased when combined with Riboflavin.]
[J04AB02, rifampin, The excretion of Lamivudine can be decreased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01GB08, sisomicin, Lamivudine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Lamivudine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Lamivudine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, Cabazitaxel may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
