[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Procaine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Procaine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of methemoglobinemia can be increased when Amobarbital is combined with Procaine.]
[P01BA06, amodiaquine, The risk or severity of methemoglobinemia can be increased when Amodiaquine is combined with Procaine.]
[R03BB01, ipratropium bromide, Procaine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Procaine may increase the serotonergic activities of Amoxapine.]
[N03AB05, fosphenytoin, The risk or severity of methemoglobinemia can be increased when Fosphenytoin is combined with Procaine.]
[C07AA12, nadolol, Procaine may increase the bradycardic activities of Nadolol.]
[J01CA04, amoxicillin, The risk or severity of methemoglobinemia can be increased when Amoxicillin is combined with Procaine.]
[N04BC04, ropinirole, Procaine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The risk or severity of methemoglobinemia can be increased when Nafcillin is combined with Procaine.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Procaine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Procaine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Procaine is combined with Naltrexone.]
[S01GA01, naphazoline, Procaine may increase the hypertensive activities of Naphazoline.]
[N06BA01, amphetamine, Procaine may increase the hypertensive activities of Amphetamine.]
[A10BG01, troglitazone, Procaine may increase the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Duloxetine.]
[S01AA10, natamycin, The risk or severity of methemoglobinemia can be increased when Natamycin is combined with Procaine.]
[N04BX01, tolcapone, Procaine may increase the orthostatic hypotensive activities of Tolcapone.]
[L01CD02, docetaxel, The risk or severity of methemoglobinemia can be increased when Docetaxel is combined with Procaine.]
[L02BG04, letrozole, The risk or severity of methemoglobinemia can be increased when Letrozole is combined with Procaine.]
[S03AA01, neomycin, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Procaine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Procaine.]
[A10BX02, repaglinide, Procaine may increase the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, Procaine may increase the orthostatic hypotensive activities of Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Tirofiban.]
[S01EB06, neostigmine, Neostigmine may increase the neuromuscular blocking activities of Procaine.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Procaine is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of methemoglobinemia can be increased when Amphotericin B is combined with Procaine.]
[S01AA19, ampicillin, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Procaine.]
[S01AA23, netilmicin, The risk or severity of methemoglobinemia can be increased when Netilmicin is combined with Procaine.]
[N06AX23, desvenlafaxine, Procaine may increase the serotonergic activities of Desvenlafaxine.]
[C09CA07, telmisartan, Procaine may increase the hypotensive activities of Telmisartan.]
[L01XX01, amsacrine, The risk or severity of methemoglobinemia can be increased when Amsacrine is combined with Procaine.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Procaine is combined with Nialamide.]
[C08CA04, nicardipine, Procaine may increase the hypotensive activities of Nicardipine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Procaine is combined with Nicotine.]
[C08CA05, nifedipine, Procaine may increase the orthostatic hypotensive activities of Nifedipine.]
[V03AB22, amyl nitrite, Procaine may increase the orthostatic hypotensive activities of Amyl Nitrite.]
[C08CA06, nimodipine, Procaine may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Procaine may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Procaine.]
[C08CA08, nitrendipine, Procaine may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Procaine may increase the orthostatic hypotensive activities of Nitric Oxide.]
[J01XE01, nitrofurantoin, The risk or severity of methemoglobinemia can be increased when Nitrofurantoin is combined with Procaine.]
[N05CF03, zaleplon, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Procaine.]
[N04BC05, pramipexole, Procaine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Procaine may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Procaine.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Procaine is combined with Nomifensine.]
[C01CA03, norepinephrine, Procaine may increase the hypertensive activities of Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Procaine.]
[C02KX01, bosentan, Procaine may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Procaine may increase the serotonergic activities of Nortriptyline.]
[B01AC16, eptifibatide, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Eptifibatide.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Reviparin.]
[H01CB02, octreotide, The risk or severity of methemoglobinemia can be increased when Octreotide is combined with Procaine.]
[S02AA16, ofloxacin, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Procaine.]
[J01FA05, oleandomycin, The risk or severity of methemoglobinemia can be increased when Oleandomycin is combined with Procaine.]
[N06AA05, opipramol, Procaine may increase the serotonergic activities of Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Procaine.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Procaine is combined with Orciprenaline.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Ancrod.]
[G04CA02, tamsulosin, Procaine may increase the orthostatic hypotensive activities of Tamsulosin.]
[J01CF04, oxacillin, The risk or severity of methemoglobinemia can be increased when Oxacillin is combined with Procaine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of methemoglobinemia can be increased when Oxolinic acid is combined with Procaine.]
[C07AA02, oxprenolol, Procaine may increase the bradycardic activities of Oxprenolol.]
[N02AA05, oxycodone, Procaine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[S01GA04, oxymetazoline, The serum concentration of Oxymetazoline can be increased when it is combined with Procaine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Procaine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Procaine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Procaine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[S01AA04, oxytetracycline, The risk or severity of methemoglobinemia can be increased when Oxytetracycline is combined with Procaine.]
[J04AA01, aminosalicylic acid, The risk or severity of methemoglobinemia can be increased when Aminosalicylic acid is combined with Procaine.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Procaine is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Danaparoid.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Tapentadol is combined with Procaine.]
[M03AC01, pancuronium, Pancuronium may increase the neuromuscular blocking activities of Procaine.]
[J04AB30, capreomycin, The risk or severity of methemoglobinemia can be increased when Capreomycin is combined with Procaine.]
[G04BE02, papaverine, Procaine may increase the orthostatic hypotensive activities of Papaverine.]
[N05CC05, paraldehyde, Procaine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The therapeutic efficacy of Procaine can be decreased when used in combination with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Procaine is combined with Pargyline.]
[A07AA06, paromomycin, The risk or severity of methemoglobinemia can be increased when Paromomycin is combined with Procaine.]
[J01MA03, pefloxacin, The risk or severity of methemoglobinemia can be increased when Pefloxacin is combined with Procaine.]
[G04BD11, fesoterodine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Procaine may increase the bradycardic activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Procaine is combined with Penfluridol.]
[S01AA14, penicillin G, The risk or severity of methemoglobinemia can be increased when Benzylpenicillin is combined with Procaine.]
[J01CE09, penicillin G procaine, The risk or severity of methemoglobinemia can be increased when Procaine benzylpenicillin is combined with Procaine.]
[J01CE02, penicillin V, The risk or severity of methemoglobinemia can be increased when Phenoxymethylpenicillin is combined with Procaine.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Procaine.]
[N05CA01, pentobarbital, The risk or severity of methemoglobinemia can be increased when Pentobarbital is combined with Procaine.]
[L01XX08, pentostatin, The risk or severity of methemoglobinemia can be increased when Pentostatin is combined with Procaine.]
[C04AD03, pentoxifylline, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Perazine.]
[N04BC02, pergolide, Procaine may increase the hypertensive activities of Pergolide.]
[L01FX01, edrecolomab, The risk or severity of methemoglobinemia can be increased when Edrecolomab is combined with Procaine.]
[N05AB03, perphenazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Perphenazine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Procaine.]
[G04BX06, phenazopyridine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Phenazopyridine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Procaine is combined with Phenelzine.]
[A10BA01, phenformin, Procaine may increase the hypoglycemic activities of Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Phenindione.]
[N03AA02, phenobarbital, The risk or severity of methemoglobinemia can be increased when Phenobarbital is combined with Procaine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Procaine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Procaine.]
[C04AX02, phenoxybenzamine, Procaine may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Phenprocoumon.]
[A08AA01, phentermine, Procaine may increase the hypertensive activities of Phentermine.]
[V03AB36, phentolamine, Procaine may increase the hypotensive activities of Phentolamine.]
[S01GA05, phenylephrine, Procaine may increase the hypertensive activities of Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Procaine is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Procaine.]
[L01XF02, alitretinoin, The risk or severity of methemoglobinemia can be increased when Alitretinoin is combined with Procaine.]
[S01AE08, besifloxacin, The risk or severity of methemoglobinemia can be increased when Besifloxacin is combined with Procaine.]
[S01AE05, levofloxacin, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Procaine.]
[V03AB19, physostigmine, Physostigmine may increase the neuromuscular blocking activities of Procaine.]
[L02BB03, bicalutamide, The risk or severity of methemoglobinemia can be increased when Bicalutamide is combined with Procaine.]
[C08CX01, mibefradil, Procaine may increase the hypotensive activities of Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Procaine is combined with Pilocarpine.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Procaine is combined with Pimozide.]
[C07AA03, pindolol, Procaine may increase the bradycardic activities of Pindolol.]
[J01CA12, piperacillin, The risk or severity of methemoglobinemia can be increased when Piperacillin is combined with Procaine.]
[L01AX02, pipobroman, The risk or severity of methemoglobinemia can be increased when Pipobroman is combined with Procaine.]
[N05AC04, pipothiazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Pipotiazine.]
[C09CA02, eprosartan, Procaine may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Procaine.]
[J01DD16, cefditoren, The risk or severity of methemoglobinemia can be increased when Cefditoren is combined with Procaine.]
[J01MA11, grepafloxacin, The risk or severity of methemoglobinemia can be increased when Grepafloxacin is combined with Procaine.]
[J01CA02, pivampicillin, The risk or severity of methemoglobinemia can be increased when Pivampicillin is combined with Procaine.]
[N02CX01, pizotyline, Procaine may increase the anticholinergic activities of Pizotifen.]
[C09CA04, irbesartan, Procaine may increase the hypotensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Procaine is combined with Proxibarbal.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Alteplase.]
[A10BG02, rosiglitazone, Procaine may increase the hypoglycemic activities of Rosiglitazone.]
[L02BG03, anastrozole, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Procaine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Procaine.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Procaine is combined with Alosetron.]
[S03AA03, polymyxin B, The risk or severity of methemoglobinemia can be increased when Polymyxin B is combined with Procaine.]
[C03AA05, polythiazide, Procaine may increase the hypotensive activities of Polythiazide.]
[A10BH03, saxagliptin, Procaine may increase the hypoglycemic activities of Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin lispro.]
[C07AB01, practolol, Procaine may increase the bradycardic activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Prazepam.]
[C02CA01, prazosin, Procaine may increase the hypotensive activities of Prazosin.]
[L01AA08, prednimustine, The risk or severity of methemoglobinemia can be increased when Prednimustine is combined with Procaine.]
[S03BA02, prednisolone, The risk or severity of methemoglobinemia can be increased when Prednisolone is combined with Procaine.]
[H02AB07, prednisone, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Procaine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of methemoglobinemia can be increased when Primaquine is combined with Procaine.]
[N03AA03, primidone, The risk or severity of methemoglobinemia can be increased when Primidone is combined with Procaine.]
[C01BA02, procainamide, Procainamide may increase the neuromuscular blocking activities of Procaine.]
[N07XX04, sodium oxybate, The risk or severity of adverse effects can be increased when Procaine is combined with Sodium oxybate.]
[L01XB01, procarbazine, The risk or severity of methemoglobinemia can be increased when Procarbazine is combined with Procaine.]
[N05AB04, prochlorperazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Prochlorperazine.]
[N04AA04, procyclidine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Promazine.]
[R06AD02, promethazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Promethazine.]
[C01BC03, propafenone, Procaine may increase the bradycardic activities of Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Procaine is combined with Propanidid.]
[A03AB05, propantheline, Procaine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Periciazine.]
[N05CM06, propiomazine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of methemoglobinemia can be increased when Romidepsin is combined with Procaine.]
[N01AX10, propofol, Procaine may increase the orthostatic hypotensive activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Procaine.]
[C07AA05, propranolol, Procaine may increase the bradycardic activities of Propranolol.]
[N02CC04, rizatriptan, The metabolism of Rizatriptan can be decreased when combined with Procaine.]
[B01AC09, epoprostenol, Procaine may increase the hypotensive activities of Epoprostenol.]
[J04AD01, prothionamide, The risk or severity of methemoglobinemia can be increased when Protionamide is combined with Procaine.]
[N06AA11, protriptyline, Procaine may increase the serotonergic activities of Protriptyline.]
[R01BA02, pseudoephedrine, Procaine may increase the hypertensive activities of Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Procaine.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Procaine is combined with Dalfampridine.]
[A03AB15, diphemanil, Procaine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Procaine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Procaine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Procaine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Procaine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Procaine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Procaine is combined with Pyrantel.]
[J04AK01, pyrazinamide, The risk or severity of methemoglobinemia can be increased when Pyrazinamide is combined with Procaine.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the neuromuscular blocking activities of Procaine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Procaine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The risk or severity of methemoglobinemia can be increased when Pyrimethamine is combined with Procaine.]
[P01AX05, quinacrine, The risk or severity of methemoglobinemia can be increased when Quinacrine is combined with Procaine.]
[C01BA01, quinidine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Procaine.]
[P01BC01, quinine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Procaine.]
[C02AA01, rescinnamine, Procaine may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Procaine is combined with Reserpine.]
[J04AB02, rifampin, The risk or severity of methemoglobinemia can be increased when Rifampicin is combined with Procaine.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Procaine is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Procaine is combined with Oxitriptan.]
[J01AA09, rolitetracycline, The risk or severity of methemoglobinemia can be increased when Rolitetracycline is combined with Procaine.]
[J01FA06, roxithromycin, The risk or severity of methemoglobinemia can be increased when Roxithromycin is combined with Procaine.]
[A07EC01, sulfasalazine, The risk or severity of methemoglobinemia can be increased when Sulfasalazine is combined with Procaine.]
[S01FA02, scopolamine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of methemoglobinemia can be increased when Secobarbital is combined with Procaine.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Procaine.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Procaine is combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of methemoglobinemia can be increased when Obinutuzumab is combined with Procaine.]
[D06BA01, silver sulfadiazine, The risk or severity of methemoglobinemia can be increased when Silver sulfadiazine is combined with Procaine.]
[J01GB08, sisomicin, The risk or severity of methemoglobinemia can be increased when Sisomicin is combined with Procaine.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Procaine.]
[C07AA07, sotalol, Procaine may increase the bradycardic activities of Sotalol.]
[L01CD04, cabazitaxel, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Procaine.]
[J01FA02, spiramycin, The risk or severity of methemoglobinemia can be increased when Spiramycin is combined with Procaine.]
[C03DA01, spironolactone, Procaine may increase the orthostatic hypotensive activities of Spironolactone.]
