[P02BB01, trichlorfon, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Metrifonate.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, The metabolism of Amoxapine can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[P01BC01, quinine, The metabolism of Amoxapine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Amoxapine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Amoxapine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Amoxapine.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Amoxapine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Salicylic acid.]
[S01FA02, scopolamine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Amoxapine can be increased when combined with Secobarbital.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Amoxapine.]
[N04BD01, selegiline, Selegiline may increase the serotonergic activities of Amoxapine.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Amoxapine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Amoxapine.]
[N06AF04, tranylcypromine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AF01, isocarboxazid, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N04BD01, selegiline, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
