[P02BB01, trichlorfon, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Metrifonate.]
[V03AB36, phentolamine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Olanzapine.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Olanzapine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Olanzapine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Olanzapine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Olanzapine.]
[L04AB06, golimumab, The metabolism of Olanzapine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Physostigmine.]
[C08CX01, mibefradil, The risk or severity of hypotension can be increased when Olanzapine is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Olanzapine.]
[C07AA03, pindolol, Pindolol may increase the orthostatic hypotensive activities of Olanzapine.]
[J05AE01, saquinavir, Olanzapine can cause an increase in the absorption of Saquinavir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Olanzapine.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Olanzapine is combined with Eprosartan.]
[A02BX03, pirenzepine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Olanzapine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Olanzapine.]
[J01DD16, cefditoren, Olanzapine can cause a decrease in the absorption of Cefditoren resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, Olanzapine can cause a decrease in the absorption of Delavirdine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C09CA04, irbesartan, The risk or severity of adverse effects can be increased when Olanzapine is combined with Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Olanzapine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Olanzapine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AC08, canakinumab, The metabolism of Olanzapine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The serum concentration of Polythiazide can be increased when it is combined with Olanzapine.]
[J05AE03, ritonavir, The metabolism of Olanzapine can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Olanzapine.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Olanzapine is combined with Potassium chloride.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Olanzapine.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Olanzapine.]
[C07AB01, practolol, Practolol may increase the orthostatic hypotensive activities of Olanzapine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Prajmaline.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Olanzapine.]
[C02CA01, prazosin, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Prazosin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Olanzapine is combined with Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[P01BA03, primaquine, The metabolism of Olanzapine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Olanzapine can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Olanzapine.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Olanzapine.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Olanzapine.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Olanzapine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Olanzapine.]
[N05AA03, promazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Promazine.]
[R06AD02, promethazine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Olanzapine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03AB05, propantheline, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Romidepsin.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Olanzapine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Olanzapine.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Olanzapine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Olanzapine.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Olanzapine.]
[N05AX12, aripiprazole, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[A03AB15, diphemanil, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01BA01, quinidine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[P01BC01, quinine, The metabolism of Olanzapine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Olanzapine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Olanzapine may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J04AB02, rifampin, The metabolism of Olanzapine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Olanzapine.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Olanzapine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Roxithromycin.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Olanzapine.]
[S01FA02, scopolamine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Olanzapine.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Olanzapine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Olanzapine is combined with Obinutuzumab.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Olanzapine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Olanzapine.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Olanzapine is combined with Spironolactone.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Olanzapine is combined with Etacrynic acid.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Ipratropium.]
