[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methimazole.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Methimazole.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be decreased when combined with Methimazole.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Methimazole.]
[C07AA23, penbutolol, The excretion of Penbutolol can be decreased when combined with Methimazole.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be decreased when combined with Methimazole.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Methimazole is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Methimazole may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Methimazole.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Methimazole.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be decreased when combined with Methimazole.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Methimazole.]
[C04AD03, pentoxifylline, Methimazole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N04BC02, pergolide, The serum concentration of Pergolide can be increased when it is combined with Methimazole.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Methimazole.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Methimazole.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Methimazole.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Methimazole.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N06AF03, phenelzine, Methimazole may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Methimazole.]
[B01AA02, phenindione, Methimazole may decrease the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Methimazole.]
[B01AA04, phenprocoumon, Methimazole may decrease the anticoagulant activities of Phenprocoumon.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Methimazole.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Methimazole.]
[S01GA05, phenylephrine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Methimazole.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Methimazole.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Phenylpropanolamine is combined with Methimazole.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Methimazole.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Golimumab.]
[S01AE05, levofloxacin, Methimazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Methimazole.]
[B02BA01, vitamin K1, Methimazole may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Mibefradil can be decreased when combined with Methimazole.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Methimazole.]
[C07AA03, pindolol, The excretion of Pindolol can be decreased when combined with Methimazole.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Methimazole.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be decreased when combined with Methimazole.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Methimazole.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Methimazole.]
[N06BX03, piracetam, Methimazole may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Methimazole.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Methimazole.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Methimazole.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Methimazole.]
[B01AC13, abciximab, Methimazole may increase the anticoagulant activities of Abciximab.]
[S01XA13, alteplase, Methimazole may increase the anticoagulant activities of Alteplase.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Methimazole.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Methimazole.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Methimazole.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Methimazole.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Methimazole.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Methimazole.]
[C07AB01, practolol, The excretion of Practolol can be decreased when combined with Methimazole.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Methimazole.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Methimazole.]
[S03BA02, prednisolone, Methimazole may increase the excretion rate of Prednisolone which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB07, prednisone, Methimazole may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be decreased when combined with Methimazole.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Methimazole.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Methimazole.]
[M04AB01, probenecid, Methimazole may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Methimazole.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Methimazole is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Methimazole.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Methimazole.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Methimazole.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Methimazole.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Methimazole.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Methimazole.]
[C01BC03, propafenone, The excretion of Propafenone can be decreased when combined with Methimazole.]
[A03AB05, propantheline, Methimazole may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Methimazole.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Methimazole.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Methimazole.]
[C07AA05, propranolol, The excretion of Propranolol can be decreased when combined with Methimazole.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Methimazole.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Methimazole.]
[N02CC04, rizatriptan, Methimazole may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Methimazole may increase the anticoagulant activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Methimazole.]
[N06AA11, protriptyline, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of adverse effects can be increased when Pseudoephedrine is combined with Methimazole.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Methimazole.]
[N07XX07, dalfampridine, Methimazole may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Methimazole may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Methimazole.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Methimazole.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Methimazole.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Methimazole.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Methimazole.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J05AP01, ribavirin, Methimazole may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Ritodrine is combined with Methimazole.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be decreased when combined with Methimazole.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Methimazole is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Methimazole.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Methimazole.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Methimazole.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Obinutuzumab.]
[J01GB08, sisomicin, Methimazole may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Methimazole may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V10XA01, sodium iodide I131, The therapeutic efficacy of Iodide I-131 can be decreased when used in combination with Methimazole.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Methimazole.]
[V04CC01, sorbitol, Methimazole may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The excretion of Sotalol can be decreased when combined with Methimazole.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Methimazole.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Methimazole.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
