[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Quinidine.]
[A04AD14, rolapitant, The serum concentration of Quinidine can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Quinidine can be increased when it is combined with Flibanserin.]
[A06AD03, magnesium peroxide, Magnesium peroxide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AB07, acetophenazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Quinidine.]
[V03AB37, idarucizumab, Idarucizumab may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Quinidine.]
[J02AC05, isavuconazole, The serum concentration of Quinidine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Quinidine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Quinidine.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Quinidine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Quinidine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Quinidine.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Quinidine.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Quinidine.]
[G04CA01, alfuzosin, Quinidine may increase the hypotensive activities of Alfuzosin.]
[M04AB05, lesinurad, The metabolism of Quinidine can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Quinidine can be decreased when combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Quinidine.]
[N05CA05, aprobarbital, The metabolism of Quinidine can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02AB06, aloglutamol, Aloglutamol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AX23, brivaracetam, Brivaracetam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be increased when it is combined with Quinidine.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Quinidine.]
[N04BC01, bromocriptine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Almasilate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02AB03, aluminum phosphate, Aluminium phosphate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Quinidine.]
[N05AX17, pimavanserin, The metabolism of Quinidine can be decreased when combined with Pimavanserin.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Quinidine is combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Bupivacaine.]
[C07AA19, bupranolol, Quinidine may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Quinidine is combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Quinidine.]
[N05BE01, buspirone, The metabolism of Quinidine can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Quinidine.]
[L01XX27, arsenic trioxide, The serum concentration of Quinidine can be increased when it is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Quinidine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Quinidine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Quinidine.]
[L01XK03, rucaparib, The metabolism of Quinidine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The serum concentration of Quinidine can be increased when it is combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Quinidine.]
[L01EF02, ribociclib, The metabolism of Quinidine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Quinidine.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be increased when it is combined with Quinidine.]
[A06AH05, naldemedine, Naldemedine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The serum concentration of the active metabolites of Deutetrabenazine can be increased when Deutetrabenazine is used in combination with Quinidine.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06BC01, caffeine, The serum concentration of Caffeine can be increased when it is combined with Quinidine.]
[C09AA07, benazepril, Quinidine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Quinidine can be increased when combined with Calcitriol.]
[A12AA04, calcium carbonate, Calcium carbonate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01CA02, benznidazole, Benznidazole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Quinidine.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J05AE09, tipranavir, The risk or severity of torsade de pointes and Cardiac Arrhythmia can be increased when Tipranavir is combined with Quinidine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Quinidine.]
[L04AB02, infliximab, The metabolism of Quinidine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Quinidine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Quinidine.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L04AC14, sarilumab, The metabolism of Quinidine can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Delafloxacin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Quinidine.]
[D01AC10, bifonazole, The metabolism of Quinidine can be decreased when combined with Bifonazole.]
[P03AC02, bioallethrin, Quinidine may increase the arrhythmogenic activities of Bioallethrin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Quinidine is combined with Acetylcholine.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Quinidine.]
[L01XX59, enasidenib, The serum concentration of Quinidine can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Quinidine can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Quinidine.]
