[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Quinine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Quinine.]
[L04AB05, certolizumab pegol, The metabolism of Quinine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Quinine.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Quinine.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Quinine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Quinine is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Quinine.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Quinine.]
[R03BB01, ipratropium bromide, Quinine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Quinine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Quinine.]
[N03AB05, fosphenytoin, The serum concentration of Quinine can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Quinine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Quinine.]
[N04BC04, ropinirole, Quinine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Quinine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Quinine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Quinine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Quinine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of respiratory depression can be increased when Naltrexone is combined with Quinine.]
[L04AC03, anakinra, The metabolism of Quinine can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Quinine.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Quinine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Quinine.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Quinine is combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Quinine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Quinine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Quinine.]
[L02BG04, letrozole, The metabolism of Quinine can be decreased when combined with Letrozole.]
[S03AA01, neomycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Neomycin.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Quinine is combined with Remifentanil.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Repaglinide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Quinine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Quinine.]
[S01AA23, netilmicin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Netilmicin.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Quinine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Quinine can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The therapeutic efficacy of Quinine can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Quinine is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Quinine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Quinine.]
[P02DA01, niclosamide, The metabolism of Quinine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Quinine is combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Quinine.]
[V03AB22, amyl nitrite, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Quinine.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Quinine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Quinine.]
[R07AX01, nitric oxide, The risk or severity of methemoglobinemia can be increased when Nitric Oxide is combined with Quinine.]
[J01XE01, nitrofurantoin, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Nitrofurantoin.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Quinine is combined with Zaleplon.]
[N04BC05, pramipexole, Quinine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, The risk or severity of methemoglobinemia can be increased when Nitroprusside is combined with Quinine.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Quinine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Quinine is combined with Nomifensine.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Quinine.]
[G03DC02, norethindrone, The therapeutic efficacy of Quinine can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Quinine can be increased when used in combination with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Quinine.]
[C02KX01, bosentan, The therapeutic efficacy of Quinine can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Quinine.]
[R05DA07, noscapine, The metabolism of Quinine can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Quinine can be increased when it is combined with Sapropterin.]
[L03AB07, interferon beta-1a, The metabolism of Quinine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Quinine.]
[B01AB08, reviparin, The therapeutic efficacy of Reviparin can be increased when used in combination with Quinine.]
[H01CB02, octreotide, The therapeutic efficacy of Quinine can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Quinine.]
[J01FA05, oleandomycin, The serum concentration of Quinine can be increased when it is combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Quinine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Quinine.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Quinine.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Quinine.]
[B01AD07, reteplase, The therapeutic efficacy of Reteplase can be increased when used in combination with Quinine.]
[B01AD09, ancrod, The therapeutic efficacy of Ancrod can be increased when used in combination with Quinine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Quinine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Quinine.]
[P02BA02, oxamniquine, The metabolism of Quinine can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Quinine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Oxazepam.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Quinine can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Quinine.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Quinine.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Quinine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Quinine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Quinine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Quinine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[S01AA04, oxytetracycline, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Oxytetracycline.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Quinine.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Quinine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Asenapine.]
[B01AB09, danaparoid, The therapeutic efficacy of Danaparoid can be increased when used in combination with Quinine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Quinine.]
[J04AB30, capreomycin, The risk or severity of neuromuscular blockade can be increased when Capreomycin is combined with Quinine.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Quinine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Quinine.]
[N05CC05, paraldehyde, Quinine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Quinine.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Quinine is combined with Pargyline.]
[A07AA06, paromomycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Paromomycin.]
[J01MA03, pefloxacin, The therapeutic efficacy of Quinine can be increased when used in combination with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Quinine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Quinine.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Penfluridol is combined with Quinine.]
[M01CC01, penicillamine, The excretion of Penicillamine can be decreased when combined with Quinine.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Quinine.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Quinine is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Quinine can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be increased when it is combined with Quinine.]
[N05AB10, perazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Quinine is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Quinine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Quinine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Quinine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Quinine is combined with Phenazocine.]
[G04BX06, phenazopyridine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Phenazopyridine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Quinine is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Quinine.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Quinine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Quinine.]
[N03AA02, phenobarbital, The serum concentration of Phenobarbital can be increased when it is combined with Quinine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Quinine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Phenoxybenzamine is combined with Quinine.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Quinine.]
[A08AA01, phentermine, The therapeutic efficacy of Quinine can be increased when used in combination with Phentermine.]
[V03AB36, phentolamine, Quinine may increase the hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Quinine can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Quinine can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Quinine can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, The serum concentration of Quinine can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Quinine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Quinine.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Quinine.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Mibefradil is combined with Quinine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Quinine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Quinine.]
[C10AA05, atorvastatin, The risk or severity of myopathy and rhabdomyolysis can be increased when Quinine is combined with Atorvastatin.]
[J01CA12, piperacillin, The risk or severity of neuromuscular blockade can be increased when Piperacillin is combined with Quinine.]
[J05AE01, saquinavir, The metabolism of Quinine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Quinine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Quinine.]
[C09CA02, eprosartan, Quinine may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Quinine is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Quinine.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Quinine.]
[N02CX01, pizotyline, Quinine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Quinine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Quinine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Quinine is combined with Proxibarbal.]
[B01AC13, abciximab, The therapeutic efficacy of Abciximab can be increased when used in combination with Quinine.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Quinine.]
[S01XA13, alteplase, The therapeutic efficacy of Alteplase can be increased when used in combination with Quinine.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Quinine.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Quinine.]
[A03AE01, alosetron, The metabolism of Quinine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Quinine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Quinine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Quinine is combined with Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Quinine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Quinine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Quinine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Quinine.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Quinine.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Quinine.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Quinine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Quinine.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Quinine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Quinine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The serum concentration of Primidone can be increased when it is combined with Quinine.]
[M04AB01, probenecid, The therapeutic efficacy of Quinine can be increased when used in combination with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Quinine.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Quinine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Quinine is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Quinine.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Quinine.]
[N04AA04, procyclidine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Quinine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Quinine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Quinine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Quinine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Quinine is combined with Propanidid.]
[A03AB05, propantheline, Quinine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Quinine.]
[N05AC01, periciazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Periciazine.]
[N05CM06, propiomazine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Quinine.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Quinine.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Quinine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Quinine.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Quinine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Quinine is combined with Rizatriptan.]
[B01AC09, epoprostenol, The therapeutic efficacy of Epoprostenol can be increased when used in combination with Quinine.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Quinine.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Quinine.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Quinine can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Quinine.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Quinine is combined with Dalfampridine.]
[A03AB15, diphemanil, Quinine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Quinine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Quinine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Quinine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Quinine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Quinine is combined with Styramate.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Quinine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Quinine.]
[P01BD01, pyrimethamine, The metabolism of Quinine can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Quinine.]
[C01BA01, quinidine, The serum concentration of Quinidine can be increased when it is combined with Quinine.]
[N07XX04, sodium oxybate, Quinine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Quinine.]
[C02AA01, rescinnamine, Quinine may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Quinine.]
[J04AB02, rifampin, The metabolism of Quinine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Quinine is combined with Oxitriptan.]
[J01AA09, rolitetracycline, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Rolitetracycline.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Quinine.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Quinine.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Quinine.]
[S01FA02, scopolamine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Quinine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Quinine.]
[J01GB08, sisomicin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Sisomicin.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Quinine.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Quinine.]
[C03DA01, spironolactone, The metabolism of Quinine can be decreased when combined with Spironolactone.]
