[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gatifloxacin.]
[H02CA01, trilostane, The risk or severity of tendinopathy can be increased when Trilostane is combined with Gatifloxacin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Triptorelin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Gatifloxacin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Gatifloxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Gatifloxacin.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Gatifloxacin.]
[M01AB04, zomepirac, Zomepirac may increase the neuroexcitatory activities of Gatifloxacin.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Gatifloxacin.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Gatifloxacin.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Gatifloxacin.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Gatifloxacin.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Gatifloxacin.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Gatifloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Gatifloxacin.]
[R03BA09, fluticasone furoate, The risk or severity of tendinopathy can be increased when Fluticasone furoate is combined with Gatifloxacin.]
[R03BA05, fluticasone, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Gatifloxacin.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Gatifloxacin.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Gatifloxacin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Gatifloxacin.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Gatifloxacin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Gatifloxacin.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Gatifloxacin.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Gatifloxacin.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Gatifloxacin.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Gatifloxacin.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Gatifloxacin.]
[M01AE04, fenoprofen, Fenoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Gatifloxacin.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Gatifloxacin.]
[N02BG04, floctafenine, Floctafenine may increase the neuroexcitatory activities of Gatifloxacin.]
[J01CF05, floxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Gatifloxacin.]
[H02AA02, fludrocortisone, The risk or severity of tendinopathy can be increased when Fludrocortisone is combined with Gatifloxacin.]
[D07XB01, flumethasone, The risk or severity of tendinopathy can be increased when Flumethasone is combined with Gatifloxacin.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Gatifloxacin.]
[D07AC08, fluocinonide, The risk or severity of tendinopathy can be increased when Fluocinonide is combined with Gatifloxacin.]
[H02AB03, fluocortolone, The risk or severity of tendinopathy can be increased when Fluocortolone is combined with Gatifloxacin.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Gatifloxacin.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Gatifloxacin.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Gatifloxacin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Flupentixol.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Gatifloxacin.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Gatifloxacin.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Gatifloxacin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Gallopamil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Gatifloxacin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Gatifloxacin.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Gatifloxacin.]
[A12AA13, calcium citrate, Calcium citrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA10, calcium gluceptate, Calcium glucoheptonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA05, calcium lactate, Calcium lactate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Methsuximide.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Gatifloxacin.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Gatifloxacin.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Gatifloxacin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dofetilide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Gatifloxacin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Gatifloxacin.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Gatifloxacin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Histrelin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Gatifloxacin.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Gatifloxacin.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A07EC02, mesalamine, Mesalazine may increase the neuroexcitatory activities of Gatifloxacin.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the neuroexcitatory activities of Gatifloxacin.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Gatifloxacin.]
[S02BA01, hydrocortisone, The risk or severity of tendinopathy can be increased when Hydrocortisone is combined with Gatifloxacin.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Hydroxyzine.]
[R02AX02, ibuprofen, Ibuprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Gatifloxacin.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Gatifloxacin.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Gatifloxacin.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Gatifloxacin.]
[S01BC01, indomethacin, Indomethacin may increase the neuroexcitatory activities of Gatifloxacin.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Milnacipran.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Gatifloxacin.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Gatifloxacin.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Gatifloxacin.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Gatifloxacin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Gatifloxacin.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Gatifloxacin.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Gatifloxacin.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Gatifloxacin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Gatifloxacin.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Gatifloxacin.]
[M02AA10, ketoprofen, Ketoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mizolastine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Gatifloxacin.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Gatifloxacin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Gatifloxacin.]
[J01CA11, amdinocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Gatifloxacin can be increased when it is combined with Pivmecillinam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lidoflazine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Loperamide.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Gatifloxacin.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Gatifloxacin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Gatifloxacin.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Gatifloxacin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Gatifloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dolasetron.]
[H01CB03, lanreotide, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Methadone.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Gatifloxacin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Methotrimeprazine.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Gatifloxacin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Gatifloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Gatifloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Gatifloxacin.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Gatifloxacin.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Gatifloxacin.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Gatifloxacin.]
[J01CA10, mezlocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Gatifloxacin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Gatifloxacin.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Gatifloxacin.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Amiodarone.]
[N06AA09, amitriptyline, Gatifloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Gatifloxacin.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Gatifloxacin.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Gatifloxacin.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Gatifloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Gatifloxacin.]
[J01CA04, amoxicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Amoxicillin.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Gatifloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Gatifloxacin can be increased when it is combined with Nafcillin.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Gatifloxacin.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Gatifloxacin.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Gatifloxacin.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Gatifloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Iloperidone.]
[S01AA19, ampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Ampicillin.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Desvenlafaxine.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Gatifloxacin.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Gatifloxacin.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nimodipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nitrendipine.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Gatifloxacin can be decreased when used in combination with Nitrofurantoin.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Norfloxacin.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Gatifloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Gatifloxacin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ofloxacin.]
[J01CF04, oxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Oxolinic acid.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Gatifloxacin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Gatifloxacin.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Gatifloxacin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Gatifloxacin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Penfluridol.]
[S01AA14, penicillin G, The serum concentration of Gatifloxacin can be increased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Gatifloxacin can be increased when it is combined with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The serum concentration of Gatifloxacin can be increased when it is combined with Phenoxymethylpenicillin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Gatifloxacin.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Gatifloxacin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Gatifloxacin.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Gatifloxacin.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Gatifloxacin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pheniramine.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Gatifloxacin.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the neuroexcitatory activities of Gatifloxacin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Gatifloxacin.]
[J01CA12, piperacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Saquinavir.]
[S01BC06, piroxicam, Piroxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Grepafloxacin.]
[J01CA02, pivampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Gatifloxacin.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Gatifloxacin.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Gatifloxacin.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Gatifloxacin.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Gatifloxacin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Gatifloxacin.]
[S03BA02, prednisolone, The risk or severity of tendinopathy can be increased when Prednisolone is combined with Gatifloxacin.]
[H02AB07, prednisone, The risk or severity of tendinopathy can be increased when Prednisone is combined with Gatifloxacin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Gatifloxacin.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Gatifloxacin which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Procaine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Prochlorperazine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Gatifloxacin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Gatifloxacin.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Gatifloxacin.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Gatifloxacin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Gatifloxacin.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Aripiprazole.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be increased when used in combination with Gatifloxacin.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Gatifloxacin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may increase the neuroexcitatory activities of Gatifloxacin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the neuroexcitatory activities of Gatifloxacin.]
[S01BC08, salicylic acid, Salicylic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Gatifloxacin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sotalol.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Gatifloxacin.]
[A12AA11, calcium pangamate, Calcium pangamate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
