[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Resveratrol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Belinostat.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Idelalisib.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Tafamidis.]
[G03CA57, estrogens, conjugated (USP), Diatrizoate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Lithium cation may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Dabigatran.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Moexiprilat.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Quinaprilat.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Ramiprilat.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Trandolaprilat.]
[G03CA57, estrogens, conjugated (USP), Bromotheophylline may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Fosinoprilat.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Perindoprilat.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Gadopentetic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Diatrizoate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Isosulfan blue which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Picosulfuric acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Pembrolizumab.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Zinc ascorbate can be decreased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Dihydrostreptomycin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Pentosan polysulfate.]
[G03CA57, estrogens, conjugated (USP), The excretion of Silibinin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Dulaglutide.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Netupitant.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Fosnetupitant.]
[G03CA57, estrogens, conjugated (USP), Ledipasvir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Pirfenidone can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Blinatumomab.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of liver enzyme elevations can be increased when Conjugated estrogens is combined with Ombitasvir.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of liver enzyme elevations can be increased when Conjugated estrogens is combined with Paritaprevir.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of liver enzyme elevations can be increased when Conjugated estrogens is combined with Dasabuvir.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ceftolozane which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Nivolumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Dicoumarol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Edoxaban.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Mirtazapine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Secukinumab.]
[G03CA57, estrogens, conjugated (USP), Palbociclib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Lenvatinib.]
[G03CA57, estrogens, conjugated (USP), The excretion of Avibactam can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Daclatasvir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Dinutuximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Isavuconazonium.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Acetaminophen can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Tioclomarol.]
[G03CA57, estrogens, conjugated (USP), Adefovir dipivoxil may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Adefovir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Asunaprevir can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Eluxadoline can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Lumacaftor.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Cangrelor.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Sacubitril.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Alirocumab.]
[G03CA57, estrogens, conjugated (USP), Rolapitant may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Evolocumab.]
[G03CA57, estrogens, conjugated (USP), Aceclofenac may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Acemetacin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Acetazolamide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Lansoprazole.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Idarucizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Asfotase alfa.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Mepolizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Isavuconazole.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Osimertinib.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Tenofovir alafenamide can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Daratumumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Anthrax immune globulin human.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cobimetinib.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Necitumumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Elotuzumab.]
[G03CA57, estrogens, conjugated (USP), Alectinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
