[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Lidocaine.]
[N04BC05, pramipexole, Lidocaine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Lidocaine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Lidocaine.]
[S01AE02, norfloxacin, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Lidocaine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Lidocaine.]
[L03AB07, interferon beta-1a, The metabolism of Lidocaine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, Lidocaine may increase the arrhythmogenic activities of Nylidrin.]
[H01CB02, octreotide, The risk or severity of methemoglobinemia can be increased when Octreotide is combined with Lidocaine.]
[S02AA16, ofloxacin, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Lidocaine.]
[J01FA05, oleandomycin, The risk or severity of methemoglobinemia can be increased when Oleandomycin is combined with Lidocaine.]
[L04AC04, rilonacept, The metabolism of Lidocaine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Lidocaine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Lidocaine is combined with Opium.]
[H01BA05, ornipressin, The risk or severity of hypertension can be increased when Ornipressin is combined with Lidocaine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Lidocaine.]
[J01CF04, oxacillin, The risk or severity of methemoglobinemia can be increased when Oxacillin is combined with Lidocaine.]
[P02BA02, oxamniquine, The metabolism of Lidocaine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of methemoglobinemia can be increased when Oxolinic acid is combined with Lidocaine.]
[C07AA02, oxprenolol, The serum concentration of Lidocaine can be increased when it is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxycodone.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Lidocaine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[S01AA04, oxytetracycline, The risk or severity of methemoglobinemia can be increased when Oxytetracycline is combined with Lidocaine.]
[J04AA01, aminosalicylic acid, The risk or severity of methemoglobinemia can be increased when Aminosalicylic acid is combined with Lidocaine.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Lidocaine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[M03AC01, pancuronium, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, The risk or severity of methemoglobinemia can be increased when Capreomycin is combined with Lidocaine.]
[N05CC05, paraldehyde, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Lidocaine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Lidocaine is combined with Pargyline.]
[A07AA06, paromomycin, The risk or severity of methemoglobinemia can be increased when Paromomycin is combined with Lidocaine.]
[J01MA03, pefloxacin, The risk or severity of methemoglobinemia can be increased when Pefloxacin is combined with Lidocaine.]
[G04BD11, fesoterodine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The serum concentration of Lidocaine can be increased when it is combined with Penbutolol.]
[N05AG03, penfluridol, Lidocaine may increase the arrhythmogenic activities of Penfluridol.]
[S01AA14, penicillin G, The risk or severity of methemoglobinemia can be increased when Benzylpenicillin is combined with Lidocaine.]
[J01CE09, penicillin G procaine, The risk or severity of methemoglobinemia can be increased when Procaine benzylpenicillin is combined with Lidocaine.]
[J01CE02, penicillin V, The risk or severity of methemoglobinemia can be increased when Phenoxymethylpenicillin is combined with Lidocaine.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of methemoglobinemia can be increased when Pentobarbital is combined with Lidocaine.]
[L01XX08, pentostatin, The risk or severity of methemoglobinemia can be increased when Pentostatin is combined with Lidocaine.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Lidocaine.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of hypertension can be increased when Pergolide is combined with Lidocaine.]
[C08EX02, perhexiline, Lidocaine may increase the arrhythmogenic activities of Perhexiline.]
[L01FX01, edrecolomab, The risk or severity of methemoglobinemia can be increased when Edrecolomab is combined with Lidocaine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Lidocaine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Lidocaine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Phenazocine.]
[G04BX06, phenazopyridine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Phenazopyridine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Lidocaine.]
[N03AA02, phenobarbital, The risk or severity of methemoglobinemia can be increased when Phenobarbital is combined with Lidocaine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Phenoperidine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Lidocaine.]
[N03AB02, phenytoin, The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Lidocaine.]
[L01XF02, alitretinoin, The risk or severity of methemoglobinemia can be increased when Alitretinoin is combined with Lidocaine.]
[L04AB06, golimumab, The metabolism of Lidocaine can be increased when combined with Golimumab.]
[S01AE08, besifloxacin, The risk or severity of methemoglobinemia can be increased when Besifloxacin is combined with Lidocaine.]
[S01AE05, levofloxacin, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Lidocaine.]
[L02BB03, bicalutamide, The risk or severity of methemoglobinemia can be increased when Bicalutamide is combined with Lidocaine.]
[C08CX01, mibefradil, Lidocaine may increase the arrhythmogenic activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Lidocaine.]
[C07AA03, pindolol, The serum concentration of Lidocaine can be increased when it is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Lidocaine.]
[J01CA12, piperacillin, The risk or severity of methemoglobinemia can be increased when Piperacillin is combined with Lidocaine.]
[J05AE01, saquinavir, The metabolism of Lidocaine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Lidocaine.]
[L01AX02, pipobroman, The risk or severity of methemoglobinemia can be increased when Pipobroman is combined with Lidocaine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Pipotiazine.]
[A02BX03, pirenzepine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Piritramide.]
[J01DD16, cefditoren, The risk or severity of methemoglobinemia can be increased when Cefditoren is combined with Lidocaine.]
[J01MA11, grepafloxacin, The risk or severity of methemoglobinemia can be increased when Grepafloxacin is combined with Lidocaine.]
[J01CA02, pivampicillin, The risk or severity of methemoglobinemia can be increased when Pivampicillin is combined with Lidocaine.]
[N02CX01, pizotyline, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Lidocaine can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Lidocaine is combined with Proxibarbal.]
[L02BG03, anastrozole, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Lidocaine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Lidocaine.]
[L04AC08, canakinumab, The metabolism of Lidocaine can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Lidocaine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Lidocaine.]
[C07AB01, practolol, The serum concentration of Lidocaine can be increased when it is combined with Practolol.]
[C01BA08, prajmaline, Lidocaine may increase the arrhythmogenic activities of Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Lidocaine.]
[L01AA08, prednimustine, The risk or severity of methemoglobinemia can be increased when Prednimustine is combined with Lidocaine.]
[S03BA02, prednisolone, The risk or severity of methemoglobinemia can be increased when Prednisolone is combined with Lidocaine.]
[H02AB07, prednisone, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Lidocaine.]
[C01DX02, prenylamine, Lidocaine may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Lidocaine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of methemoglobinemia can be increased when Primidone is combined with Lidocaine.]
[C01BA02, procainamide, Lidocaine may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of methemoglobinemia can be increased when Procarbazine is combined with Lidocaine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Prochlorperazine.]
[N04AA04, procyclidine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Lidocaine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The serum concentration of Lidocaine can be increased when it is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Lidocaine is combined with Propanidid.]
[A03AB05, propantheline, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Periciazine.]
[N05CM06, propiomazine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of methemoglobinemia can be increased when Romidepsin is combined with Lidocaine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Lidocaine can be increased when it is combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Lidocaine is combined with Rizatriptan.]
[J04AD01, prothionamide, The risk or severity of methemoglobinemia can be increased when Protionamide is combined with Lidocaine.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Lidocaine is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Pseudoephedrine is combined with Lidocaine.]
[N05AX12, aripiprazole, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Lidocaine is combined with Dalfampridine.]
[A03AB15, diphemanil, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Lidocaine is combined with Talbutal.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Lidocaine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Lidocaine is combined with Pyrantel.]
[J04AK01, pyrazinamide, The risk or severity of methemoglobinemia can be increased when Pyrazinamide is combined with Lidocaine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The risk or severity of methemoglobinemia can be increased when Pyrimethamine is combined with Lidocaine.]
[P01AX05, quinacrine, The risk or severity of methemoglobinemia can be increased when Quinacrine is combined with Lidocaine.]
[C01BA01, quinidine, Lidocaine may increase the arrhythmogenic activities of Quinidine.]
[P01BC01, quinine, The metabolism of Lidocaine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Lidocaine can be increased when it is combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Lidocaine.]
[J04AB02, rifampin, The risk or severity of methemoglobinemia can be increased when Rifampicin is combined with Lidocaine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxitriptan.]
[J01AA09, rolitetracycline, The risk or severity of methemoglobinemia can be increased when Rolitetracycline is combined with Lidocaine.]
[J01FA06, roxithromycin, The risk or severity of methemoglobinemia can be increased when Roxithromycin is combined with Lidocaine.]
[A07EC01, sulfasalazine, The risk or severity of methemoglobinemia can be increased when Sulfasalazine is combined with Lidocaine.]
[S01FA02, scopolamine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of methemoglobinemia can be increased when Secobarbital is combined with Lidocaine.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Lidocaine.]
[L01FA03, obinutuzumab, The risk or severity of methemoglobinemia can be increased when Obinutuzumab is combined with Lidocaine.]
[D06BA01, silver sulfadiazine, The risk or severity of methemoglobinemia can be increased when Silver sulfadiazine is combined with Lidocaine.]
[J01GB08, sisomicin, The risk or severity of methemoglobinemia can be increased when Sisomicin is combined with Lidocaine.]
[C07AA07, sotalol, The serum concentration of Lidocaine can be increased when it is combined with Sotalol.]
[L01CD04, cabazitaxel, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Lidocaine.]
[J01FA02, spiramycin, The risk or severity of methemoglobinemia can be increased when Spiramycin is combined with Lidocaine.]
[R03BB01, ipratropium bromide, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
